node_id,street_name,lat,lng,heading_fwd_deg,heading_rev_deg,seq_fwd,seq_rev,is_tunnel,is_bridge
abchurch_lane_001,Abchurch Lane,51.511252,-0.088343,9.0,189.0,1,9,0,0
abchurch_lane_002,Abchurch Lane,51.511398,-0.088306,24.4,204.4,2,8,0,0
abchurch_lane_003,Abchurch Lane,51.51157,-0.088181,26.2,206.2,3,7,0,0
abchurch_lane_004,Abchurch Lane,51.511735,-0.088052,28.3,208.3,4,6,0,0
abchurch_lane_005,Abchurch Lane,51.511911,-0.087901,7.0,187.0,5,5,0,0
abchurch_lane_006,Abchurch Lane,51.512144,-0.087855,54.2,234.2,6,4,0,0
abchurch_lane_007,Abchurch Lane,51.512236,-0.087651,28.4,208.4,7,3,0,0
abchurch_lane_008,Abchurch Lane,51.512392,-0.087516,29.8,209.8,8,2,0,0
abchurch_lane_009,Abchurch Lane,51.512551,-0.087371,29.8,209.8,9,1,0,0
abchurch_yard_001,Abchurch Yard,51.51157,-0.088181,286.5,106.5,1,3,0,0
abchurch_yard_002,Abchurch Yard,51.511633,-0.088518,9.9,189.9,2,2,0,0
abchurch_yard_003,Abchurch Yard,51.511796,-0.088473,9.9,189.9,3,1,0,0
adams_court_south_001,Adams Court,51.514666,-0.084573,252.9,72.9,1,3,0,0
adams_court_south_002,Adams Court,51.514612,-0.084852,293.9,113.9,2,2,0,0
adams_court_south_003,Adams Court,51.514682,-0.085105,293.9,113.9,3,1,0,0
adams_court_north_001,Adams Court,51.514383,-0.084304,320.2,140.2,1,2,0,0
adams_court_north_002,Adams Court,51.514499,-0.084457,320.2,140.2,2,1,0,0
alderman_s_walk_001,Alderman's Walk,51.516738,-0.081128,285.6,105.6,1,4,0,0
alderman_s_walk_002,Alderman's Walk,51.516785,-0.081399,287.1,107.1,2,3,0,0
alderman_s_walk_003,Alderman's Walk,51.516836,-0.081664,287.2,107.2,3,2,0,0
alderman_s_walk_004,Alderman's Walk,51.516878,-0.081884,287.2,107.2,4,1,0,0
aldermanbury_west_001,Aldermanbury,51.516259,-0.093126,71.2,251.2,1,6,0,0
aldermanbury_west_002,Aldermanbury,51.516307,-0.092901,33.5,213.5,2,5,0,0
aldermanbury_west_003,Aldermanbury,51.516473,-0.092726,31.9,211.9,3,4,0,0
aldermanbury_west_004,Aldermanbury,51.51662,-0.092579,27.8,207.8,4,3,0,0
aldermanbury_west_005,Aldermanbury,51.516779,-0.092445,32.6,212.6,5,2,0,0
aldermanbury_west_006,Aldermanbury,51.516942,-0.092279,32.6,212.6,6,1,0,0
aldermanbury_east_001,Aldermanbury,51.515347,-0.093152,4.1,184.1,1,6,0,0
aldermanbury_east_002,Aldermanbury,51.515537,-0.09313,0.1,180.1,2,5,0,0
aldermanbury_east_003,Aldermanbury,51.51573,-0.09313,0.0,180.0,3,4,0,0
aldermanbury_east_004,Aldermanbury,51.515913,-0.09313,358.9,178.9,4,3,0,0
aldermanbury_east_005,Aldermanbury,51.516093,-0.093135,2.0,182.0,5,2,0,0
aldermanbury_east_006,Aldermanbury,51.516259,-0.093126,2.0,182.0,6,1,0,0
aldermanbury_square_001,Aldermanbury Square,51.517009,-0.093045,18.2,198.2,1,5,0,0
aldermanbury_square_002,Aldermanbury Square,51.51708,-0.093007,0.0,180.0,2,4,0,0
aldermanbury_square_003,Aldermanbury Square,51.51708,-0.093007,100.4,280.4,3,3,0,0
aldermanbury_square_004,Aldermanbury Square,51.517046,-0.092713,114.1,294.1,4,2,0,0
aldermanbury_square_005,Aldermanbury Square,51.516973,-0.09245,114.1,294.1,5,1,0,0
aldersgate_rotunda_001,Aldersgate Rotunda,51.517583,-0.096442,204.1,24.1,1,8,0,0
aldersgate_rotunda_002,Aldersgate Rotunda,51.517417,-0.09656,245.1,65.1,2,7,0,0
aldersgate_rotunda_003,Aldersgate Rotunda,51.517335,-0.09684,273.5,93.5,3,6,0,0
aldersgate_rotunda_004,Aldersgate Rotunda,51.517341,-0.096988,303.3,123.3,4,5,0,0
aldersgate_rotunda_005,Aldersgate Rotunda,51.517439,-0.097226,342.6,162.6,5,4,0,0
aldersgate_rotunda_006,Aldersgate Rotunda,51.517608,-0.09731,19.6,199.6,6,3,0,0
aldersgate_rotunda_007,Aldersgate Rotunda,51.517771,-0.097217,45.5,225.5,7,2,0,0
aldersgate_rotunda_008,Aldersgate Rotunda,51.517897,-0.097011,45.5,225.5,8,1,0,0
aldersgate_street_west_seg1_001,Aldersgate Street,51.516912,-0.096869,5.7,185.7,1,3,0,0
aldersgate_street_west_seg1_002,Aldersgate Street,51.517097,-0.096839,4.3,184.3,2,2,0,0
aldersgate_street_west_seg1_003,Aldersgate Street,51.517258,-0.09682,4.3,184.3,3,1,0,0
aldersgate_street_west_seg2_001,Aldersgate Street,51.517835,-0.097116,19.4,199.4,1,4,0,0
aldersgate_street_west_seg2_002,Aldersgate Street,51.518068,-0.096985,353.5,173.5,2,3,0,0
aldersgate_street_west_seg2_003,Aldersgate Street,51.518246,-0.097018,352.4,172.4,3,2,0,0
aldersgate_street_west_seg2_004,Aldersgate Street,51.518421,-0.097055,352.4,172.4,4,1,0,0
aldersgate_street_east_001,Aldersgate Street,51.517941,-0.096769,340.9,160.9,1,3,0,0
aldersgate_street_east_002,Aldersgate Street,51.518091,-0.096851,352.2,172.2,2,2,0,0
aldersgate_street_east_003,Aldersgate Street,51.518272,-0.096891,352.2,172.2,3,1,0,0
all_hallows_lane_001,All Hallows Lane,51.509251,-0.090771,15.6,195.6,1,7,0,0
all_hallows_lane_002,All Hallows Lane,51.509425,-0.090693,16.9,196.9,2,6,0,0
all_hallows_lane_003,All Hallows Lane,51.509598,-0.09061,18.1,198.1,3,5,0,0
all_hallows_lane_004,All Hallows Lane,51.50977,-0.09052,18.6,198.6,4,4,0,0
all_hallows_lane_005,All Hallows Lane,51.509951,-0.090423,17.8,197.8,5,3,0,0
all_hallows_lane_006,All Hallows Lane,51.510123,-0.090334,19.5,199.5,6,2,0,0
all_hallows_lane_007,All Hallows Lane,51.510304,-0.090231,19.5,199.5,7,1,0,0
angel_court_001,Angel Court,51.514844,-0.087408,343.0,163.0,1,5,0,0
angel_court_002,Angel Court,51.515052,-0.087509,342.9,162.9,2,4,0,0
angel_court_003,Angel Court,51.515141,-0.087553,351.5,171.5,3,3,0,0
angel_court_004,Angel Court,51.515333,-0.087598,353.4,173.4,4,2,0,0
angel_court_005,Angel Court,51.515515,-0.087632,353.4,173.4,5,1,0,0
angel_lane_001,Angel Lane,51.509663,-0.089265,17.2,197.2,1,2,0,0
angel_lane_002,Angel Lane,51.509841,-0.089177,17.2,197.2,2,1,0,0
angel_street_001,Angel Street,51.515892,-0.097091,324.6,144.6,1,5,0,0
angel_street_002,Angel Street,51.515982,-0.097194,304.7,124.7,2,4,0,0
angel_street_003,Angel Street,51.516092,-0.097447,276.9,96.9,3,3,0,0
angel_street_004,Angel Street,51.516114,-0.097737,274.7,94.7,4,2,0,0
angel_street_005,Angel Street,51.516128,-0.098022,274.7,94.7,5,1,0,0
arthur_street_001,Arthur Street,51.509807,-0.088247,5.0,185.0,1,3,0,0
arthur_street_002,Arthur Street,51.50999,-0.088221,26.5,206.5,2,2,0,0
arthur_street_003,Arthur Street,51.510147,-0.088096,26.5,206.5,3,1,0,0
austin_friars_west_001,Austin Friars,51.514996,-0.08547,314.6,134.6,1,8,0,0
austin_friars_west_002,Austin Friars,51.515112,-0.085658,301.4,121.4,2,7,0,0
austin_friars_west_003,Austin Friars,51.515207,-0.085907,2.6,182.6,3,6,0,0
austin_friars_west_004,Austin Friars,51.515382,-0.085895,15.3,195.3,4,5,0,0
austin_friars_west_005,Austin Friars,51.51556,-0.085817,16.1,196.1,5,4,0,0
austin_friars_west_006,Austin Friars,51.51565,-0.085776,84.0,264.0,6,3,0,0
austin_friars_west_007,Austin Friars,51.515669,-0.085488,94.6,274.6,7,2,0,0
austin_friars_west_008,Austin Friars,51.515658,-0.085283,94.6,274.6,8,1,0,0
