n,file,tunnel,ground,sky,ceil,old_rule,new_rule,street,why,label,is_strip
1,pancras_lane/west_to_east/004_n01325_E_L.jpg,0.0,0.044689,0.0,0.354206,True,True,pancras_lane,boundary ground .03-.08,indoor,False
2,dunster_court/south_to_north/004_n00518_E_L.jpg,0.0,0.154724,0.0,0.022869,True,False,dunster_court,rules disagree,indoor,False
3,cannon_street/west_to_east/040_n00309_E_R.jpg,0.0,0.108762,0.0,0.448626,True,False,cannon_street,rules disagree,indoor,False
4,dowgate_hill/north_to_south/002_n00513_S_L.jpg,0.695532,0.245187,0.0,0.400074,True,False,dowgate_hill,tunnel class fires,indoor,False
5,beehive_passage/north_to_south/002_n00126_S_R.jpg,0.690972,0.0,0.0,0.84365,True,True,beehive_passage,tunnel class fires,indoor,False
6,abchurch_lane/south_to_north/006_n00005_E_L.jpg,0.965498,0.003003,0.0,0.32889,True,True,abchurch_lane,tunnel class fires,indoor,False
7,king_william_street/north_to_south/011_n00846_S_R.jpg,0.77618,0.222548,0.0,0.254953,True,False,king_william_street,tunnel class fires,indoor,False
8,st_paul_s_churchyard/east_to_west/003_n01506_W_L.jpg,0.0,0.0,0.322288,0.0,False,True,st_paul_s_churchyard,very low ground,vehicle,False
9,fenchurch_street/west_to_east/015_n00567_E_L.jpg,0.999456,0.0,0.0,0.449817,True,True,fenchurch_street,very low ground,indoor,False
10,college_hill/south_to_north/004_n00432_N_L.jpg,0.0,0.0,0.0,0.103665,True,True,college_hill,very low ground,indoor,False
11,billingsgate_walk/south_to_north/002_n00129_N_R.jpg,0.0,0.0,0.0,0.014723,False,True,billingsgate_walk,very low ground,indoor,False
12,sun_street_passage/south_to_north/005_n01592_N_R.jpg,0.0,0.0,0.0,0.0,False,True,sun_street_passage,very low ground,street,False
13,cavendish_court/south_to_north/001_n00353_N_R.jpg,0.0,0.773679,0.15241,0.0,False,False,cavendish_court,"clear street, control",street,False
14,bond_court/west_to_east/004_n00199_N_L.jpg,0.0,0.6119570000000001,0.026535,0.0,False,False,bond_court,"clear street, control",street,False
