node_id,street_name,lat,lng,heading_fwd_deg,heading_rev_deg,seq_fwd,seq_rev,is_tunnel,is_bridge,_seq,source_id,folder,osm_name,lon,easting_m,northing_m,chain,chain_pos_m,street_segment,cleaned_street,typology,in_study,usable,exclude_reason
n00000,Abchurch Lane,51.511252,-0.088343,9.0,189.0,1,9,0,0,1,abchurch_lane_001,abchurch_lane,Abchurch Lane,-0.088343,532755.6784221099,180879.2289348233,abchurch_lane,,abchurch_lane,abchurch_lane,unclassified,True,True,
n00001,Abchurch Lane,51.511398,-0.088306,24.4,204.4,2,8,0,0,2,abchurch_lane_002,abchurch_lane,Abchurch Lane,-0.088306,532757.8217085095,180895.53162548493,abchurch_lane,,abchurch_lane,abchurch_lane,unclassified,True,True,
n00002,Abchurch Lane,51.51157,-0.088181,26.2,206.2,3,7,0,0,3,abchurch_lane_003,abchurch_lane,Abchurch Lane,-0.088181,532765.9956404839,180914.8851068247,abchurch_lane,,abchurch_lane,abchurch_lane,unclassified,True,True,
n00003,Abchurch Lane,51.511735,-0.088052,28.3,208.3,4,6,0,0,4,abchurch_lane_004,abchurch_lane,Abchurch Lane,-0.088052,532774.467395514,180933.46743366256,abchurch_lane,,abchurch_lane,abchurch_lane,unclassified,True,True,
n00004,Abchurch Lane,51.511911,-0.087901,7.0,187.0,5,5,0,0,5,abchurch_lane_005,abchurch_lane,Abchurch Lane,-0.087901,532784.4336607751,180953.312893,abchurch_lane,,abchurch_lane,abchurch_lane,unclassified,True,True,
n00005,Abchurch Lane,51.512144,-0.087855,54.2,234.2,6,4,0,0,6,abchurch_lane_006,abchurch_lane,Abchurch Lane,-0.087855,532786.9485142212,180979.3065708008,abchurch_lane,,abchurch_lane,abchurch_lane,unclassified,True,True,
n00006,Abchurch Lane,51.512236,-0.087651,28.4,208.4,7,3,0,0,7,abchurch_lane_007,abchurch_lane,Abchurch Lane,-0.087651,532800.8362546971,180989.90710999508,abchurch_lane,,abchurch_lane,abchurch_lane,unclassified,True,True,
n00007,Abchurch Lane,51.512392,-0.087516,29.8,209.8,8,2,0,0,8,abchurch_lane_008,abchurch_lane,Abchurch Lane,-0.087516,532809.7502193698,181007.4995545717,abchurch_lane,,abchurch_lane,abchurch_lane,unclassified,True,True,
n00008,Abchurch Lane,51.512551,-0.087371,29.8,209.8,9,1,0,0,9,abchurch_lane_009,abchurch_lane,Abchurch Lane,-0.087371,532819.349270235,181025.4437594289,abchurch_lane,,abchurch_lane,abchurch_lane,unclassified,True,True,
n00009,Abchurch Yard,51.51157,-0.088181,286.5,106.5,1,3,0,0,1,abchurch_yard_001,abchurch_yard,Abchurch Yard,-0.088181,532765.9956404839,180914.8851068247,abchurch_yard,,abchurch_yard,abchurch_yard,unclassified,True,True,
n00010,Abchurch Yard,51.511633,-0.088518,9.9,189.9,2,2,0,0,2,abchurch_yard_002,abchurch_yard,Abchurch Yard,-0.088518,532742.4287204776,180921.28006770927,abchurch_yard,,abchurch_yard,abchurch_yard,unclassified,True,False,"user-contributed panorama, not a Street View capture"
n00011,Abchurch Yard,51.511796,-0.088473,9.9,189.9,3,1,0,0,3,abchurch_yard_003,abchurch_yard,Abchurch Yard,-0.088473,532745.0777494521,180939.48770237085,abchurch_yard,,abchurch_yard,abchurch_yard,unclassified,True,True,
n00012,Adams Court,51.514666,-0.084573,252.9,72.9,1,3,0,0,1,adams_court_south_001,adams_court,Adams Court,-0.084573,533007.3381974094,181265.71563299827,adams_court,,adams_court,adams_court,unclassified,True,True,
n00013,Adams Court,51.514383,-0.084304,320.2,140.2,1,2,0,0,1,adams_court_north_001,adams_court,Adams Court,-0.084304,533026.8262655915,181234.73376575,adams_court,,adams_court,adams_court,unclassified,True,True,
n00014,Adams Court,51.514612,-0.084852,293.9,113.9,2,2,0,0,2,adams_court_south_002,adams_court,Adams Court,-0.084852,532988.1372726844,181259.2040285137,adams_court,,adams_court,adams_court,unclassified,True,True,
