node_id,osm_name,hw,snap_m,is_pedestrian,fov
n00000,Abchurch Lane,tertiary,0.4154284349353693,False,90
n00001,Abchurch Lane,unclassified,0.6259993592535545,False,90
n00002,Abchurch Lane,unclassified,0.03455719409689192,False,90
n00003,Abchurch Lane,unclassified,0.09006002748572849,False,90
n00004,Abchurch Lane,unclassified,0.6240518257209452,False,90
n00005,Abchurch Lane,tertiary,1.403828500775924,False,90
n00006,Abchurch Lane,unclassified,1.199100158668455,False,90
n00007,Abchurch Lane,unclassified,0.9728100515951477,False,90
n00008,Abchurch Lane,unclassified,0.28727129322687994,False,90
n00009,Abchurch Yard,unclassified,0.03455719409689192,False,90
n00010,Abchurch Yard,footway,2.242502815681,True,180
n00011,Abchurch Yard,footway,2.9565808616588787,True,180
n00012,Adams Court,steps,2.7447247468256384,True,180
n00013,Adams Court,unclassified,1.9724320533095339,False,90
n00014,Adams Court,footway,1.0584854388842284,True,180
n00015,Adams Court,footway,3.7321336836295136,True,180
n00016,Adams Court,footway,0.5158561087991125,True,180
n00017,Alderman's Walk,primary,0.8470854762260516,False,90
n00018,Alderman's Walk,footway,0.5855048013342624,True,180
n00019,Alderman's Walk,footway,0.17622383797783647,True,180
n00020,Alderman's Walk,footway,0.8492552217985588,True,180
n00021,Aldermanbury,unclassified,0.14506734922067713,False,90
n00022,Aldermanbury,unclassified,0.32934804138027807,False,90
n00023,Aldermanbury,unclassified,1.7944875376938993,False,90
n00024,Aldermanbury,unclassified,1.47241549503383,False,90
n00025,Aldermanbury,unclassified,0.8946077370658894,False,90
n00026,Aldermanbury,unclassified,1.1077872040671777,False,90
n00027,Aldermanbury,unclassified,0.18272065547176986,False,90
n00028,Aldermanbury,unclassified,0.7620529428367018,False,90
n00029,Aldermanbury,unclassified,0.5530963450146398,False,90
n00030,Aldermanbury,unclassified,0.7689639431943339,False,90
n00031,Aldermanbury,unclassified,1.228028143244197,False,90
n00032,Aldermanbury,unclassified,0.14506734922067713,False,90
n00033,Aldermanbury Square,unclassified,1.3350041437220683,False,90
n00034,Aldermanbury Square,unclassified,1.6603637376987075,False,90
n00035,Aldermanbury Square,unclassified,1.6603637376987075,False,90
n00036,Aldermanbury Square,unclassified,0.4308964623174673,False,90
n00037,Aldermanbury Square,unclassified,1.420230779582205,False,90
n00038,Aldersgate Rotunda,primary,0.16425529427656096,False,90
n00039,Aldersgate Rotunda,primary,0.33455606503666446,False,90
n00040,Aldersgate Rotunda,primary,1.6339904507861995,False,90
n00041,Aldersgate Rotunda,primary,1.9587474868042374,False,90
n00042,Aldersgate Rotunda,primary,2.115700322064526,False,90
n00043,Aldersgate Rotunda,primary,0.5094708472638438,False,90
n00044,Aldersgate Rotunda,primary,0.11544212919070602,False,90
n00045,Aldersgate Rotunda,primary,2.1978993598495316,False,90
n00046,Aldersgate Street,primary,0.4621721601037668,False,90
n00047,Aldersgate Street,primary,0.20069688969090296,False,90
n00048,Aldersgate Street,primary,1.564813960170756,False,90
n00049,Aldersgate Street,primary,0.04579942457739291,False,90
n00050,Aldersgate Street,primary,0.38448816385996176,False,90
n00051,Aldersgate Street,primary,1.6680579812848246,False,90
n00052,Aldersgate Street,primary,0.0147115502208964,False,90
n00053,Aldersgate Street,primary,0.41070251058234064,False,90
n00054,Aldersgate Street,primary,1.514779639222564,False,90
n00055,Aldersgate Street,primary,0.5073350170246553,False,90
n00056,All Hallows Lane,footway,0.4787032642243218,True,180
n00057,All Hallows Lane,unclassified,0.11756946929285883,False,90
n00058,All Hallows Lane,unclassified,0.2751311930173824,False,90
n00059,All Hallows Lane,unclassified,0.06438489137636909,False,90
n00060,All Hallows Lane,unclassified,0.5735792213997271,False,90
n00061,All Hallows Lane,unclassified,0.8466548830872915,False,90
n00062,All Hallows Lane,unclassified,1.5007221110726618,False,90
n00063,Angel Court,footway,0.44609692751942953,True,180
n00064,Angel Court,footway,0.23474582934482927,True,180
n00065,Angel Court,footway,0.6406680432550111,True,180
n00066,Angel Court,footway,3.844369502710613,True,180
n00067,Angel Court,footway,1.0683555241185303,True,180
n00068,Angel Lane,footway,2.9146436556862008,True,180
n00069,Angel Lane,unclassified,2.6867495760151803,False,90
n00070,Angel Street,tertiary,1.8086413023078842,False,90
n00071,Angel Street,tertiary,0.2879643849647761,False,90
n00072,Angel Street,tertiary,0.5655029767698776,False,90
n00073,Angel Street,tertiary,0.5270299768802372,False,90
n00074,Angel Street,tertiary,0.10411616591095751,False,90
n00075,Arthur Street,unclassified,2.269922767133183,False,90
n00076,Arthur Street,unclassified,0.43882326922528153,False,90
n00077,Arthur Street,unclassified,0.9056757474033077,False,90
n00078,Austin Friars,unclassified,1.3217420256169554,False,90
n00079,Austin Friars,unclassified,1.340841726889141,False,90
n00080,Austin Friars,unclassified,0.3716165381011797,False,90
n00081,Austin Friars,footway,4.208199280241638,True,180
n00082,Austin Friars,unclassified,0.4852921993774492,False,90
n00083,Austin Friars,footway,3.117280629211715,True,180
n00084,Austin Friars,unclassified,1.2662151259647958,False,90
n00085,Austin Friars,unclassified,0.5104823865499263,False,90
n00086,Austin Friars,unclassified,1.340841726889141,False,90
n00087,Austin Friars,footway,1.7432679033274785,True,180
n00088,Austin Friars,unclassified,6.427316997504476,False,90
n00089,Bakers Hall Court,service,0.840195536938007,False,90
n00090,Bakers Hall Court,service,1.117868526589714,False,90
n00091,Bakers Hall Court,service,1.131619216814331,False,90
n00092,Bakers Hall Court,service,0.840195536938007,False,90
n00093,Bankside,footway,0.8681543111312742,True,180
n00094,Bankside,footway,0.7417410031896898,True,180
n00095,Bankside,footway,1.0491984069485716,True,180
n00096,Bankside,footway,0.14793925361844978,True,180
n00097,Bankside,footway,0.15184970794757824,True,180
n00098,Bankside,footway,0.2718019586038204,True,180
n00099,Bartholomew Lane,unclassified,0.9114791808796855,False,90
n00100,Bartholomew Lane,unclassified,1.1710470599711242,False,90
n00101,Bartholomew Lane,unclassified,1.3164545657914435,False,90
n00102,Bartholomew Lane,unclassified,1.9828549799813897,False,90
n00103,Bartholomew Lane,pedestrian,2.649251872497529,True,180
n00104,Basinghall Avenue,unclassified,0.31947303704396873,False,90
n00105,Basinghall Avenue,unclassified,0.1757733137079153,False,90
n00106,Basinghall Avenue,unclassified,0.3104851391298327,False,90
n00107,Basinghall Avenue,unclassified,0.697784574820962,False,90
n00108,Basinghall Avenue,unclassified,0.3654094328892884,False,90
n00109,Basinghall Avenue,unclassified,0.9737634564145535,False,90
n00110,Basinghall Avenue,unclassified,0.32107895187136526,False,90
n00111,Basinghall Street,unclassified,0.15873926571441782,False,90
n00112,Basinghall Street,unclassified,1.6827266250469013,False,90
n00113,Basinghall Street,unclassified,2.3459383872914317,False,90
n00114,Basinghall Street,unclassified,0.13416957463455592,False,90
n00115,Basinghall Street,unclassified,0.8540222388613771,False,90
n00116,Basinghall Street,unclassified,0.10778203786475134,False,90
n00117,Basinghall Street,unclassified,0.0075856435935532165,False,90
n00118,Basinghall Street,unclassified,0.23563212280361087,False,90
n00119,Basinghall Street,unclassified,0.1564037314117989,False,90
n00120,Basinghall Street,unclassified,0.4848408498736247,False,90
n00121,Basinghall Street,unclassified,0.49624425946433687,False,90
n00122,Basinghall Street,unclassified,0.31947303704396873,False,90
n00123,Basinghall Street,unclassified,0.11174729614333252,False,90
n00124,Basinghall Street,unclassified,1.1588768939383647,False,90
n00125,Basinghall Street,unclassified,1.228028143244197,False,90
n00126,Beehive Passage,unclassified,1.106306028783297,False,90
n00127,Beehive Passage,footway,0.678993278642267,True,180
n00128,Billingsgate Walk,footway,0.22991234973639874,True,180
n00129,Billingsgate Walk,unmatched,14.408690347607784,False,90
n00130,Billiter Street,tertiary,1.920096984764698,False,90
n00131,Billiter Street,pedestrian,0.9724337263892987,True,180
n00132,Billiter Street,unclassified,1.5350317331645673,False,90
n00133,Billiter Street,unclassified,0.0375303563626509,False,90
n00134,Billiter Street,unclassified,1.4844795559863486,False,90
n00135,Billiter Street,unclassified,0.31089152231272543,False,90
n00136,Billiter Street,unclassified,0.013704646630880314,False,90
n00137,Billiter Street,unclassified,0.3728413177286502,False,90
n00138,Bishopsgate,tertiary,0.17082040731799789,False,90
n00139,Bishopsgate,primary,0.7579454756183925,False,90
n00140,Bishopsgate,primary,1.7257128286599666,False,90
n00141,Bishopsgate,primary,1.7257128286599666,False,90
n00142,Bishopsgate,primary,0.7212331703216754,False,90
n00143,Bishopsgate,primary,1.1492398414995135,False,90
n00144,Bishopsgate,primary,2.096770893193373,False,90
n00145,Bishopsgate,primary,2.096770893193373,False,90
n00146,Bishopsgate,primary,1.3741064658716127,False,90
n00147,Bishopsgate,primary,1.1697996076699464,False,90
n00148,Bishopsgate,primary,1.1224231176073445,False,90
n00149,Bishopsgate,primary,2.028265664233156,False,90
n00150,Bishopsgate,primary,0.6504018481034243,False,90
n00151,Bishopsgate,primary,3.4281427609430835,False,90
n00152,Bishopsgate,primary,3.4281427609430835,False,90
n00153,Bishopsgate,primary,2.4443623174779523,False,90
n00154,Bishopsgate,primary,1.670736370635451,False,90
n00155,Bishopsgate,primary,1.670736370635451,False,90
n00156,Bishopsgate,primary,2.6952731454697103,False,90
n00157,Bishopsgate,primary,2.6071012929774557,False,90
n00158,Bishopsgate,primary,2.4931668173412325,False,90
n00159,Bishopsgate,primary,0.20782007897126528,False,90
n00160,Bishopsgate,primary,0.8725030843275807,False,90
n00161,Bishopsgate,primary,0.726065878308825,False,90
n00162,Bishopsgate,primary,0.8029606422419352,False,90
n00163,Bishopsgate,primary,0.6392085917058478,False,90
n00164,Bishopsgate,primary,0.8104411146685601,False,90
n00165,Bishopsgate,primary,0.18923047467678145,False,90
n00166,Bishopsgate,primary,0.7572048613771475,False,90
n00167,Bishopsgate,primary,0.35968842391480293,False,90
n00168,Bishopsgate,primary,0.7267333535933573,False,90
n00169,Bishopsgate,primary,1.1687892318727948,False,90
n00170,Bishopsgate,primary,0.7645181108880438,False,90
n00171,Bishopsgate,primary,2.0855001186821296,False,90
n00172,Bishopsgate,primary,0.2982274531848989,False,90
n00173,Bishopsgate,primary,1.1081202045962506,False,90
n00174,Bishopsgate Arcade,steps,2.6200138322532336,True,180
n00175,Bishopsgate Arcade,footway,0.45300381280798374,True,180
n00176,Bishopsgate Arcade,footway,0.8728003049572918,True,180
n00177,Bishopsgate Arcade,footway,0.3956465507620494,True,180
n00178,Bishopsgate Churchyard,primary,3.0988050705132815,False,90
n00179,Bishopsgate Churchyard,footway,1.8743485256892465,True,180
n00180,Bishopsgate Churchyard,footway,2.241686095858249,True,180
n00181,Bishopsgate Churchyard,footway,2.813092095595358,True,180
n00182,Bishopsgate Churchyard,footway,3.2637347619816848,True,180
n00183,Bishopsgate Churchyard,pedestrian,4.674884376114327,True,180
n00184,Bishopsgate Churchyard,pedestrian,4.578617303051214,True,180
n00185,Blomfield Street,primary,1.053310383528196,False,90
n00186,Blomfield Street,tertiary,2.9866145947576723,False,90
n00187,Blomfield Street,tertiary,0.12971491801657759,False,90
n00188,Blomfield Street,tertiary,0.20702810004381744,False,90
n00189,Blomfield Street,tertiary,0.4135050742195342,False,90
n00190,Blomfield Street,tertiary,0.7248117016971731,False,90
n00191,Blomfield Street,tertiary,1.1708250268454032,False,90
n00192,Blomfield Street,tertiary,2.415430412744963,False,90
n00193,Blomfield Street,tertiary,0.8608423026296446,False,90
n00194,Bloomberg Arcade,pedestrian,0.21652414284363278,True,180
n00195,Bloomberg Arcade,pedestrian,2.3072105551351907,True,180
n00196,Bloomberg Arcade,pedestrian,2.083147589000982,True,180
n00197,Bloomberg Arcade,pedestrian,2.7713331156411067,True,180
n00198,Bloomberg Arcade,pedestrian,1.353100890151318,True,180
n00199,Bond Court,unclassified,2.166748702811447,False,90
n00200,Bond Court,footway,11.019077087344144,True,180
n00201,Bond Court,unclassified,2.7487607716507285,False,90
n00202,Bond Court,footway,11.019077087344144,True,180
n00203,Botolph Alley,footway,0.04503870548694131,True,180
n00204,Botolph Alley,footway,0.2418590789538181,True,180
n00205,Botolph Lane,unclassified,0.2798595875749985,False,90
n00206,Botolph Lane,unclassified,0.3809396920131457,False,90
n00207,Botolph Lane,unclassified,0.3462359310448313,False,90
n00208,Botolph Lane,unclassified,0.2731234240621024,False,90
n00209,Botolph Lane,unclassified,0.3368512360181829,False,90
n00210,Botolph Lane,unclassified,0.07042844011337715,False,90
n00211,Bow Churchyard,pedestrian,0.7686649493142504,True,180
n00212,Bow Churchyard,footway,0.22421814149934022,True,180
n00213,Bow Churchyard,footway,0.43483497007023825,True,180
n00214,Bow Churchyard,footway,2.908570142781562,True,180
n00215,Bow Lane,tertiary,1.298657781781143,False,90
n00216,Bow Lane,footway,1.531295329667677,True,180
n00217,Bow Lane,pedestrian,0.2807824588429189,True,180
n00218,Bow Lane,pedestrian,1.993372280208405,True,180
n00219,Bow Lane,pedestrian,4.73241148672898,True,180
n00220,Bow Lane,pedestrian,0.8654197728693932,True,180
n00221,Bow Lane,pedestrian,0.7686649493142504,True,180
n00222,Bow Lane,pedestrian,0.3882573345725866,True,180
n00223,Bow Lane,pedestrian,0.25770748179035363,True,180
n00224,Bread Street,tertiary,0.5690331848597902,False,90
n00225,Bread Street,tertiary,0.0925238101787031,False,90
n00226,Bread Street,unclassified,0.252802362489956,False,90
n00227,Bread Street,unclassified,0.5357280772225914,False,90
n00228,Bread Street,unclassified,0.20081823377929411,False,90
n00229,Bread Street,unclassified,0.673339885398586,False,90
n00230,Bread Street,unclassified,0.17452037093871672,False,90
n00231,Bread Street,residential,0.8773561264770522,False,90
n00232,Bread Street,residential,0.5760217112964294,False,90
n00233,Bread Street,residential,0.44622424147459244,False,90
n00234,Bread Street,residential,0.11802068265019464,False,90
n00235,Bread Street,residential,0.46297909848270336,False,90
n00236,Brewers' Hall Garden,service,2.5677959463662257,False,90
n00237,Brewers' Hall Garden,footway,0.4263767344903603,True,180
n00238,Broad Street Avenue,tertiary,0.1888472877074768,False,90
n00239,Broad Street Avenue,service,5.776590069418077,False,90
n00240,Broad Street Avenue,unmatched,16.91141480742708,False,90
n00241,Broken Wharf,footway,0.538260008718594,True,180
n00242,Broken Wharf,unclassified,0.2051851146685082,False,90
n00243,Broken Wharf,unclassified,0.16183717286645002,False,90
n00244,Brown's Buildings,service,0.45865508957545675,False,90
n00245,Brown's Buildings,footway,0.5957816650549951,True,180
n00246,Brown's Buildings,footway,1.927452312353788,True,180
n00247,Brown's Buildings,footway,2.091534151494368,True,180
n00248,Bucklersbury,unclassified,3.8589321282362357,False,90
n00249,Bucklersbury,unclassified,1.6321403713099367,False,90
n00250,Bucklersbury,footway,2.6958265356185334,True,180
n00251,Bull's Head Passage,pedestrian,2.429385310835327,True,180
n00252,Bull's Head Passage,footway,1.5481701242090864,True,180
n00253,Bull's Head Passage,footway,1.9961306097594513,True,180
n00254,Bury Court,service,1.5608120168800867,False,90
n00255,Bury Court,service,0.08123991345730791,False,90
n00256,Bury Court,service,0.6646975531858842,False,90
n00257,Bush Lane,unclassified,1.8467348614537338,False,90
n00258,Bush Lane,unclassified,0.8664688583984876,False,90
n00259,Bush Lane,residential,0.21552222818533537,False,90
n00260,Bush Lane,residential,0.7042426520168906,False,90
n00261,Bush Lane,residential,0.7557904686957926,False,90
n00262,Bush Lane,residential,0.688267398883097,False,90
n00263,Byward Street,primary,0.39810861053621344,False,90
n00264,Byward Street,primary,0.2943805381521112,False,90
n00265,Byward Street,primary,0.23521795269341744,False,90
n00266,Byward Street,primary,2.799936807212855,False,90
n00267,Byward Street,primary,0.3887703144951971,False,90
n00268,Byward Street,primary,2.408351530901115,False,90
n00269,Byward Street,primary,0.5428207613411618,False,90
n00270,Byward Street,primary,2.329624780871567,False,90
n00271,Byward Street,primary,0.8536255150481283,False,90
n00272,Byward Street,primary,0.4624707792894843,False,90
n00273,Byward Street,primary,0.5430369320068081,False,90
n00274,Byward Street,primary,1.6197328972026355,False,90
n00275,Byward Street,primary,1.168096287874343,False,90
n00276,Byward Street,primary,0.09890905767787952,False,90
n00277,Byward Street,primary,3.5959116536887197,False,90
n00278,Byward Street,primary,0.04887935198837299,False,90
n00279,Camomile Street,primary,1.1379914871023686,False,90
