node_id,osm_name,dob_nearest_m,dob_n_within,dob_shed,dob_any,dob_types
n00000,1st Avenue,22.2,4,True,True,Construction Fence|Sidewalk Shed|Suspended Scaffold
n00001,1st Avenue,13.9,8,True,True,Construction Fence|Sidewalk Shed|Suspended Scaffold
n00002,1st Avenue,6.2,4,True,True,Sidewalk Shed|Suspended Scaffold
n00003,1st Avenue,26.2,4,True,True,Sidewalk Shed|Suspended Scaffold
n00004,1st Avenue,46.2,0,False,False,
n00005,1st Avenue,66.1,0,False,False,
n00006,1st Avenue,57.4,0,False,False,
n00007,1st Avenue,38.8,0,False,False,
n00008,1st Avenue,22.8,1,False,True,Suspended Scaffold
n00009,1st Avenue,18.3,1,False,True,Suspended Scaffold
n00010,1st Avenue,30.8,0,False,False,
n00011,1st Avenue,44.9,0,False,False,
n00012,1st Avenue,31.2,0,False,False,
n00013,1st Avenue,11.1,8,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00014,1st Avenue,4.6,4,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00015,1st Avenue,15.6,4,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00016,1st Avenue,35.6,0,False,False,
n00017,1st Avenue,55.6,0,False,False,
n00018,1st Avenue,75.6,0,False,False,
n00019,1st Avenue,95.6,0,False,False,
n00020,1st Avenue,114.7,0,False,False,
n00021,1st Avenue,94.7,0,False,False,
n00022,1st Avenue,74.7,0,False,False,
n00023,1st Avenue,71.0,0,False,False,
n00024,1st Avenue,54.1,0,False,False,
n00025,1st Avenue,51.0,0,False,False,
n00026,1st Avenue,34.7,0,False,False,
n00027,1st Avenue,31.0,0,False,False,
n00028,1st Avenue,16.9,2,False,True,Supported Scaffold
n00029,1st Avenue,11.2,2,False,True,Supported Scaffold
n00030,1st Avenue,12.7,2,False,True,Supported Scaffold
n00031,1st Avenue,9.2,2,False,True,Supported Scaffold
n00033,1st Avenue,28.6,2,False,True,Supported Scaffold
n00032,1st Avenue,28.9,2,False,True,Supported Scaffold
n00034,1st Avenue,48.4,0,False,False,
n00036,1st Avenue,68.1,0,False,False,
n00038,1st Avenue,87.8,0,False,False,
n00040,1st Avenue,72.8,0,False,False,
n00042,1st Avenue,57.5,0,False,False,
n00044,1st Avenue,49.4,0,False,False,
n00045,1st Avenue,67.2,0,False,False,
n00043,1st Avenue,78.1,0,False,False,
n00041,1st Avenue,90.3,0,False,False,
n00039,1st Avenue,87.7,0,False,False,
n00037,1st Avenue,68.0,0,False,False,
n00035,1st Avenue,48.1,0,False,False,
n00046,2nd Avenue,13.8,1,False,True,Supported Scaffold
n00047,2nd Avenue,6.6,1,False,True,Supported Scaffold
n00048,2nd Avenue,26.4,1,False,True,Supported Scaffold
n00049,2nd Avenue,46.4,0,False,False,
n00050,2nd Avenue,66.4,0,False,False,
n00051,2nd Avenue,86.4,0,False,False,
n00052,2nd Avenue,100.3,0,False,False,
n00053,2nd Avenue,98.9,0,False,False,
n00054,2nd Avenue,84.2,0,False,False,
n00055,2nd Avenue,64.5,0,False,False,
n00056,2nd Avenue,45.1,0,False,False,
n00057,2nd Avenue,26.4,2,True,True,Sidewalk Shed|Suspended Scaffold
n00058,2nd Avenue,13.0,2,True,True,Sidewalk Shed|Suspended Scaffold
n00059,2nd Avenue,21.0,2,True,True,Sidewalk Shed|Suspended Scaffold
n00060,2nd Avenue,38.9,0,False,False,
n00061,2nd Avenue,40.9,0,False,False,
n00062,2nd Avenue,35.9,0,False,False,
n00063,2nd Avenue,41.2,0,False,False,
n00064,2nd Avenue,51.2,0,False,False,
n00065,2nd Avenue,31.2,0,False,False,
n00066,2nd Avenue,11.2,3,True,True,Sidewalk Shed|Suspended Scaffold
n00067,2nd Avenue,8.9,3,True,True,Sidewalk Shed|Suspended Scaffold
n00068,2nd Avenue,28.8,3,True,True,Sidewalk Shed|Suspended Scaffold
n00069,2nd Avenue,48.8,0,False,False,
n00070,2nd Avenue,68.8,0,False,False,
n00071,2nd Avenue,63.7,0,False,False,
n00072,2nd Avenue,47.4,0,False,False,
n00073,2nd Avenue,35.1,0,False,False,
n00074,2nd Avenue,31.7,0,False,False,
n00075,2nd Avenue,25.6,2,True,True,Sidewalk Shed|Suspended Scaffold
n00076,2nd Avenue,17.6,2,True,True,Sidewalk Shed|Suspended Scaffold
n00077,2nd Avenue,27.7,2,True,True,Sidewalk Shed|Suspended Scaffold
n00078,2nd Avenue,44.9,0,False,False,
n00079,2nd Avenue,51.4,0,False,False,
n00113,3rd Avenue,16.6,4,True,True,Construction Fence|Sidewalk Shed
n00112,3rd Avenue,23.6,4,True,True,Construction Fence|Sidewalk Shed
n00111,3rd Avenue,36.2,0,False,False,
n00110,3rd Avenue,16.4,1,False,True,Suspended Scaffold
n00109,3rd Avenue,5.2,1,False,True,Suspended Scaffold
n00108,3rd Avenue,12.8,3,True,True,Sidewalk Shed|Suspended Scaffold
n00107,3rd Avenue,8.2,2,True,True,Sidewalk Shed|Suspended Scaffold
n00106,3rd Avenue,27.8,2,True,True,Sidewalk Shed|Suspended Scaffold
n00105,3rd Avenue,47.7,0,False,False,
n00104,3rd Avenue,52.2,0,False,False,
n00103,3rd Avenue,32.3,0,False,False,
n00102,3rd Avenue,12.3,2,False,True,Construction Fence|Suspended Scaffold
n00101,3rd Avenue,7.7,2,False,True,Construction Fence|Suspended Scaffold
n00100,3rd Avenue,27.8,2,False,True,Construction Fence|Suspended Scaffold
n00099,3rd Avenue,21.0,10,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold
n00098,3rd Avenue,2.9,16,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold
n00097,3rd Avenue,8.4,22,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold
n00096,3rd Avenue,13.1,7,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold
n00095,3rd Avenue,8.1,1,False,True,Construction Fence
n00094,3rd Avenue,27.5,1,False,True,Construction Fence
n00093,3rd Avenue,28.0,2,True,True,Sidewalk Shed|Suspended Scaffold
n00092,3rd Avenue,8.0,2,True,True,Sidewalk Shed|Suspended Scaffold
n00091,3rd Avenue,12.0,2,True,True,Sidewalk Shed|Suspended Scaffold
n00090,3rd Avenue,32.0,0,False,False,
n00089,3rd Avenue,33.4,0,False,False,
n00088,3rd Avenue,13.5,2,True,True,Sidewalk Shed|Supported Scaffold
n00087,3rd Avenue,6.9,2,True,True,Sidewalk Shed|Supported Scaffold
n00086,3rd Avenue,26.8,2,True,True,Sidewalk Shed|Supported Scaffold
n00085,3rd Avenue,46.8,0,False,False,
n00084,3rd Avenue,34.3,0,False,False,
n00083,3rd Avenue,14.3,5,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00082,3rd Avenue,5.8,5,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00081,3rd Avenue,25.8,5,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00080,3rd Avenue,45.7,0,False,False,
n00114,Park Avenue,26.2,3,True,True,Construction Fence|Sidewalk Shed|Suspended Scaffold
n00115,Park Avenue,12.6,2,True,True,Sidewalk Shed|Suspended Scaffold
n00116,Park Avenue,13.8,2,True,True,Sidewalk Shed|Suspended Scaffold
n00117,Park Avenue,31.9,0,False,False,
n00118,Park Avenue,47.9,0,False,False,
n00119,Park Avenue,28.2,5,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00120,Park Avenue,10.2,5,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00121,Park Avenue,14.5,5,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00122,Park Avenue,33.4,0,False,False,
n00123,Park Avenue,53.1,0,False,False,
n00124,Park Avenue,69.2,0,False,False,
n00125,Park Avenue,53.7,0,False,False,
n00126,Park Avenue,42.2,0,False,False,
n00127,Park Avenue,38.5,0,False,False,
n00128,Park Avenue,44.4,0,False,False,
n00129,Park Avenue,49.5,0,False,False,
n00130,Park Avenue,36.5,0,False,False,
n00131,Park Avenue,29.7,1,False,True,Supported Scaffold
