node_id,street_axis_deg,GVI,VEI,osm_name,typology,northing_m,lat,lon,chain,chain_pos_m,street_segment,cross_dist,along_dist,mapping_id,scaffold_frac,SVF_band,BVF_band,sky_of_pair,sky_veg_residual,face_id,H_m,facade_sides_hit,facade_sides_open,facade_empty_bearing,W_facade,HW_facade,HW_assigned,HW_effective,HW_source,HW_ratio,is_tunnel,is_bridge,osm_heading_fwd,osm_heading_rev
n00000,28.547950369586164,0.6662862136086946,0.7572749729537567,1st Avenue,avenue_secondary,5.714837758915053,40.74368599999999,-73.973583,1st_avenue,0.0,1st_avenue,463.7657666678082,-339.74209065682527,1st_avenue_001,0.0656032066326588,0.1145085703311516,0.3572539492764198,0.2427250270462433,0.1282164567150917,f1,12.737592,1,0,,,,0.6960432786885246,0.5306981504889148,series,,0.0,0.0,29.4,209.4
n00001,28.547950369586168,1.1215576010366646,0.7494814100794457,1st Avenue,avenue_secondary,25.636448912101343,40.743843,-73.973467,1st_avenue,19.992772658185583,1st_avenue,463.8765050764937,-319.74646911701194,1st_avenue_002,0.0124269587722664,0.123269373115805,0.3687874165815058,0.2505185899205543,0.1272492168047492,f1,27.459432000000003,1,0,,,,1.5005154098360658,0.5306981504889148,series,,0.0,0.0,29.3,209.3
n00002,28.547950369586147,4.127419383038202,0.8050657532559079,1st Avenue,avenue_secondary,45.558060063913786,40.74399999999999,-73.973351,1st_avenue,39.98553485593306,1st_avenue,463.9872434851792,-299.7508475771988,1st_avenue_003,0.004019240674097,0.0941618653890968,0.3888823762556856,0.1949342467440921,0.1007723813549952,f1,41.86732800000001,1,0,,,,2.287832131147541,0.5306981504889148,series,,0.0,0.0,29.3,209.3
n00003,28.332310330918432,2.809635544226922,0.8497553498720423,1st Avenue,avenue_secondary,65.47967121593803,40.744157,-73.97323500000002,1st_avenue,59.97828659498957,1st_avenue,464.0979818928157,-279.755226037967,1st_avenue_004,0.0012368446041364,0.0728587736478412,0.4120754558624283,0.1502446501279577,0.0773858764801165,f1,41.86732800000001,1,0,,,,2.287832131147541,0.5306981504889148,series,,0.0,0.0,28.7,208.7
n00004,28.13774280441089,2.681277597493759,0.7760906129185163,1st Avenue,avenue_secondary,85.41619078615616,40.74431499999999,-73.973121,1st_avenue,79.98609753208494,1st_avenue,464.007238403909,-259.7443180677121,1st_avenue_005,0.0263550805393605,0.1087837147376817,0.3770544010984081,0.2239093870814836,0.1151256723438019,f1,33.569713660032,1,0,,,,1.8344105825154096,0.5306981504889148,series,,0.0,0.0,28.8,208.8
n00005,28.022150987711917,4.124110325138792,0.6871678155598397,1st Avenue,avenue_secondary,105.31182433654666,40.744473000000006,-73.973008,1st_avenue,99.95341608004384,1st_avenue,463.8426730645041,-239.7743302173832,1st_avenue_006,0.0001755391131155,0.1458588920324638,0.3203939402759853,0.3128321844401602,0.1669732924076963,f1,26.483592830016,1,0,,,,1.4471908650281966,0.5306981504889148,series,,0.0,0.0,28.9,208.9
n00006,28.158676024703567,2.717776818135808,0.6893878035142189,1st Avenue,avenue_secondary,125.24834390618378,40.744631,-73.972894,1st_avenue,119.96120674546482,1st_avenue,463.7519295755974,-219.76342224712823,1st_avenue_007,0.0026734406128525,0.1504194216226161,0.3338481741911943,0.3106121964857811,0.160192774863165,f1,99.080856830016,1,0,,,,5.414254471585574,0.5306981504889148,series,,0.0,0.0,28.8,208.8
n00007,28.30092465091805,5.647411737527635,0.6748072135076166,1st Avenue,avenue_secondary,145.18486347650793,40.744789,-73.97278,1st_avenue,139.96898727718656,1st_avenue,463.6611860866907,-199.75251427687337,1st_avenue_008,0.0202233172021805,0.1460952038676339,0.3031620058123717,0.3251927864923833,0.1790975826247494,f1,99.080856830016,1,0,,,,5.414254471585574,0.5306981504889148,series,,0.0,0.0,29.3,209.3
n00008,28.43730767960122,4.960007051185799,0.6774725230797686,1st Avenue,avenue_secondary,165.10647462969425,40.744946000000006,-73.972664,1st_avenue,159.96168641359648,1st_avenue,463.77192449537625,-179.75689273706013,1st_avenue_009,0.006081320811063,0.1489330182595157,0.3128354477380349,0.3225274769202314,0.1735944586607157,f1,99.080856830016,1,0,,,,5.414254471585574,0.5306981504889148,series,,0.0,0.0,29.3,209.3
n00009,28.51037060803681,5.265925125808537,0.5985825264923436,1st Avenue,avenue_secondary,185.08388022190692,40.745104000000005,-73.972549,1st_avenue,180.01020217295053,1st_avenue,463.75500285801695,-159.70506464629744,1st_avenue_010,0.0031092618592083,0.1806814984175255,0.2694272047206286,0.4014174735076564,0.2207359750901308,f1,164.592,0,1,298.5103706080368,,,8.994098360655737,0.5306981504889148,series,,0.0,0.0,29.3,209.3
n00010,28.483482049449663,10.14426219351584,0.5878376102486164,1st Avenue,avenue_secondary,205.0054913737193,40.745261,-73.972433,1st_avenue,200.00288031765288,1st_avenue,463.86574126670246,-139.70944310648423,1st_avenue_011,0.001658542023506,0.166771812566856,0.2378546567901679,0.4121623897513836,0.2453905771845276,f1,99.9744,1,1,298.48348204944966,,,5.463081967213115,0.5306981504889148,series,,0.0,0.0,29.2,209.2
n00011,28.38880641196812,7.463877080800902,0.5951006692478065,1st Avenue,avenue_secondary,224.88621650306203,40.745418,-73.972318,1st_avenue,219.95432157886228,1st_avenue,463.9026578227915,-119.75474168776024,1st_avenue_012,0.0030608372762799,0.1693545740308787,0.248908834101369,0.4048993307521935,0.2355447567213148,f1,99.9744,1,1,298.3888064119681,,,5.463081967213115,,open_one_side,,0.0,0.0,29.0,209.0
n00012,28.294367855660795,4.389921079326959,0.6345049971599115,1st Avenue,avenue_secondary,244.7669416343597,40.745575,-73.972203,1st_avenue,239.90575254781496,1st_avenue,463.9395743799298,-99.8000402684546,1st_avenue_013,0.0068379550793906,0.170442571280749,0.2958909488941386,0.3654950028400885,0.1950524315593394,f1,63.922656,1,0,,,,3.4930413114754097,0.5306981504889148,series,,0.0,0.0,28.9,208.9
n00013,28.29423297218824,6.3759827923325,0.5868522748092759,1st Avenue,avenue_secondary,264.8001416661799,40.74573399999999,-73.972089,1st_avenue,260.01086788010866,1st_avenue,463.79499269757457,-79.69200562616103,1st_avenue_014,0.0,0.1840929646503027,0.2614933315475492,0.413147725190724,0.2290547605404213,f1,27.870912,1,0,,,,1.523000655737705,0.5306981504889148,radius_mean,,0.0,0.0,29.1,209.1
n00014,28.24212544287508,11.544927849505664,0.714707182126892,1st Avenue,avenue_secondary,284.6808667962096,40.74589099999999,-73.971974,1st_avenue,279.9622781278624,1st_avenue,463.83190925366375,-59.73730420743704,1st_avenue_015,0.0076430137269198,0.1163246353286961,0.2914130574597526,0.285292817873108,0.1689681825444118,f1,27.171396,2,0,,51.19934180092372,0.5306981504889148,1.484775737704918,0.5306981504889148,measured,0.5306981504889148,0.0,0.0,29.1,209.1
n00015,28.293962860794352,7.523512567026711,0.7640134878831241,1st Avenue,avenue_secondary,304.56159192750727,40.746048,-73.971859,1st_avenue,299.9136780817776,1st_avenue,463.868825810802,-39.78260278813147,1st_avenue_016,0.0892182608076836,0.1066787986501278,0.3453758450377009,0.2359865121168759,0.129307713466748,f1,27.171396,2,0,,50.62375866522728,0.5367320941078925,1.484775737704918,0.5367320941078925,measured,0.5367320941078925,0.0,0.0,28.7,208.7
n00016,28.33614676178691,4.135632516693593,0.6507512161862778,1st Avenue,avenue_secondary,324.5947919600145,40.746207,-73.971745,1st_avenue,320.01876326282974,1st_avenue,463.72424412844686,-19.674568145837924,1st_avenue_017,0.0587834091857075,0.166108012264532,0.3095071364860748,0.3492487838137221,0.1831407715491901,f1,27.870912,1,0,,,,1.523000655737705,0.5367320941078925,radius_mean,,0.0,0.0,29.4,209.4
n00017,28.3360118160866,1.9742923184480123,0.6003349052351582,1st Avenue,avenue_secondary,344.4755170894631,40.746364,-73.97163000000002,1st_avenue,339.970142495048,1st_avenue,463.7611606845359,0.2801332728861609,1st_avenue_018,0.0770677272230386,0.1939253793075228,0.2912943255096472,0.3996650947648418,0.2057397154573189,f1,35.48634,1,0,,,,1.9391442622950816,0.5367320941078925,series,,0.0,0.0,29.2,209.2
n00018,28.28789870642709,0.4182275204096575,0.5186422324751853,1st Avenue,avenue_secondary,364.3971282432304,40.74652100000001,-73.971514,1st_avenue,359.9627366602509,1st_avenue,463.8718990932215,20.275754812699347,1st_avenue_019,0.0898477834707591,0.1893851446564833,0.2040543247641908,0.4813577675248147,0.2919726228683313,f1,44.500800000000005,1,1,118.28789870642709,,,2.431737704918033,,open_one_side,,0.0,0.0,28.8,208.8
n00019,28.409087372427,0.0036112848030508,0.572299613657707,1st Avenue,avenue_secondary,384.33364781218063,40.74667899999999,-73.9714,1st_avenue,379.9703960333373,1st_avenue,463.7811556043149,40.28666278295435,1st_avenue_020,0.0473612610949202,0.1895865415690598,0.2536829705078636,0.427700386342293,0.2381138447732331,f1,44.500800000000005,1,1,118.409087372427,,,2.431737704918033,,open_one_side,,0.0,0.0,28.9,208.9
n00020,28.15679634039992,0.1191394579974442,0.5847655031455594,1st Avenue,avenue_secondary,404.2292813613031,40.746837,-73.971287,1st_avenue,399.9375655569101,1st_avenue,463.6165902638608,60.25665063270159,1st_avenue_021,0.0943774990737437,0.1959837314666008,0.2759995284774844,0.4152344968544406,0.2192507653878397,f1,92.202,1,1,118.15679634039992,,,5.038360655737705,0.5367320941078925,series,,0.0,0.0,29.5,209.5
n00021,27.99594715563936,0.4651166739749774,0.5943332297379051,1st Avenue,avenue_secondary,424.17687011728526,40.746993,-73.971168,1st_avenue,419.95931926796254,1st_avenue,464.0026324206368,80.27790586199927,1st_avenue_022,0.068807297386229,0.2003326075068833,0.2935027820110987,0.4056667702620948,0.2053341627552115,f1,92.202,1,1,117.99594715563936,,,5.038360655737705,0.5367320941078925,series,,0.0,0.0,27.4,207.4
n00022,20.620023869689312,0.4664021044091837,0.5824060453049993,1st Avenue,avenue_secondary,444.10232050253234,40.747153,-73.971059,1st_avenue,439.9642006660657,1st_avenue,463.4351032870965,100.27846657379304,1st_avenue_023,0.0111255482770502,0.2111833141834377,0.2945311766733092,0.4175939546950007,0.206410640511563,f1,139.9032,1,1,110.6200238696893,,,7.644983606557377,,open_one_side,,0.0,0.0,27.4,207.4
n00023,20.62002386968932,0.4664021044091837,0.5824060453049993,1st Avenue,avenue_secondary,447.8204548150976,40.747183,-73.971039,1st_avenue,443.6982662632991,1st_avenue,463.2963945135277,104.01066915444116,1st_avenue_024,0.0111255482770502,0.2111833141834377,0.2945311766733092,0.4175939546950007,0.206410640511563,f1,139.9032,1,1,110.62002386968932,,,7.644983606557377,,open_one_side,,0.0,0.0,27.4,207.4
n00025,22.26128428495676,0.0458642214838545,0.5675092316281081,1st Avenue,avenue_secondary,467.7459052003448,40.747343,-73.97093,1st_avenue,471.99272474105504,1st_avenue,462.7288653796049,124.01122986692506,1st_avenue_026,0.0379668918903916,0.2198539433496241,0.2884897241401181,0.4324907683718919,0.2126368250222678,f1,139.9032,1,1,112.26128428495676,,,7.644983606557377,,open_one_side,,0.0,0.0,27.6,207.6
n00026,22.745140810281573,0.0948283243357292,0.531274004450575,1st Avenue,avenue_secondary,485.4456597760394,40.74752099999999,-73.970918,1st_avenue,491.77933739800994,1st_avenue,454.0315291423396,141.7908189805319,1st_avenue_027,0.0826486609876155,0.2356613228703191,0.2671085791789258,0.4687259955494249,0.2330646726791057,f1,114.66576,1,1,112.74514081028155,,,6.265888524590164,0.5367320941078925,series,,1.0,0.0,210.8,30.8
