node_id,osm_name,chain,chain_pos_m,lat,lon,typology,northing_m,easting_m,in_study,in_cleaned,cleaned_street,cleaned_direction,cleaned_id,street_segment,cross_dist,along_dist,mapping_id,is_tunnel,is_bridge,osm_heading_fwd,osm_heading_rev,usable,exclude_reason
n00000,1st Avenue,1st_avenue,0.0,40.74368599999999,-73.973583,avenue_secondary,5.714837758915053,919.8196294697968,False,True,1st_avenue,Northbound,1st_avenue_001,1st_avenue,463.7657666678082,-339.74209065682527,1st_avenue_001,0.0,0.0,29.4,209.4,True,
n00001,1st Avenue,1st_avenue,19.992772658185583,40.743843,-73.973467,avenue_secondary,25.636448912101343,919.9620641672692,True,True,1st_avenue,Northbound,1st_avenue_002,1st_avenue,463.8765050764937,-319.74646911701194,1st_avenue_002,0.0,0.0,29.3,209.3,True,
n00002,1st Avenue,1st_avenue,39.98553485593306,40.74399999999999,-73.973351,avenue_secondary,45.558060063913786,920.1044988655036,True,True,1st_avenue,Northbound,1st_avenue_003,1st_avenue,463.9872434851792,-299.7508475771988,1st_avenue_003,0.0,0.0,29.3,209.3,True,
n00003,1st Avenue,1st_avenue,59.97828659498957,40.744157,-73.97323500000002,avenue_secondary,65.47967121593803,920.2469335608798,True,True,1st_avenue,Northbound,1st_avenue_004,1st_avenue,464.0979818928157,-279.755226037967,1st_avenue_004,0.0,0.0,28.7,208.7,True,
n00004,1st Avenue,1st_avenue,79.98609753208494,40.74431499999999,-73.973121,avenue_secondary,85.41619078615616,920.1882567318067,True,True,1st_avenue,Northbound,1st_avenue_005,1st_avenue,464.007238403909,-259.7443180677121,1st_avenue_005,0.0,0.0,28.8,208.8,True,
n00005,1st Avenue,1st_avenue,99.95341608004384,40.744473000000006,-73.973008,avenue_secondary,105.31182433654666,920.0558195655811,True,True,1st_avenue,Northbound,1st_avenue_006,1st_avenue,463.8426730645041,-239.7743302173832,1st_avenue_006,0.0,0.0,28.9,208.9,True,
n00006,1st Avenue,1st_avenue,119.96120674546482,40.744631,-73.972894,avenue_secondary,125.24834390618378,919.9971427354602,True,True,1st_avenue,Northbound,1st_avenue_007,1st_avenue,463.7519295755974,-219.76342224712823,1st_avenue_007,0.0,0.0,28.8,208.8,True,
n00007,1st Avenue,1st_avenue,139.96898727718656,40.744789,-73.97278,avenue_secondary,145.18486347650793,919.9384659049584,True,True,1st_avenue,Northbound,1st_avenue_008,1st_avenue,463.6611860866907,-199.75251427687337,1st_avenue_008,0.0,0.0,29.3,209.3,True,
n00008,1st Avenue,1st_avenue,159.96168641359648,40.744946000000006,-73.972664,avenue_secondary,165.10647462969425,920.0809006024308,True,True,1st_avenue,Northbound,1st_avenue_009,1st_avenue,463.77192449537625,-179.75689273706013,1st_avenue_009,0.0,0.0,29.3,209.3,True,
n00009,1st Avenue,1st_avenue,180.01020217295053,40.745104000000005,-73.972549,avenue_secondary,185.08388022190687,920.0959841079392,True,True,1st_avenue,Northbound,1st_avenue_010,1st_avenue,463.75500285801695,-159.70506464629744,1st_avenue_010,0.0,0.0,29.3,209.3,True,
