osm_name,chain,chain_pos_m,node_id,typology,lat,lon
East 36th Street,East 36th Street#2,20.0,n00601,mid_block,40.74701753858806,-73.97719640261823
East 36th Street,East 36th Street#2,40.0,n00602,mid_block,40.74692919733313,-73.97698995478423
East 36th Street,East 36th Street#2,60.0,n00603,mid_block,40.74684085571408,-73.97678350750195
East 36th Street,East 36th Street#2,80.0,n00604,mid_block,40.746752513730925,-73.97657706077135
East 36th Street,East 36th Street#2,100.0,n00605,mid_block,40.74666417138365,-73.97637061459247
East 36th Street,East 36th Street#2,120.0,n00606,mid_block,40.74657582867226,-73.9761641689653
East 36th Street,East 36th Street#2,140.0,n00607,mid_block,40.746487485596774,-73.97595772388983
East 36th Street,East 36th Street#2,160.0,n00608,mid_block,40.74639914215717,-73.97575127936607
East 36th Street,East 36th Street#2,180.0,n00609,mid_block,40.74631079835347,-73.97554483539402
East 36th Street,East 36th Street#2,200.0,n00610,mid_block,40.746222454185684,-73.97533839197368
East 36th Street,East 36th Street#2,220.0,n00611,mid_block,40.7461341096538,-73.97513194910503
East 36th Street,East 36th Street#2,240.0,n00612,mid_block,40.74604576475783,-73.97492550678811
