node_id,street,street_pos_m,seg_id
n00000,1st Avenue,0.0,s1
n00001,1st Avenue,19.999183466968134,s1
n00002,1st Avenue,39.99864801004844,s1
n00003,1st Avenue,59.998113278124265,s1
n00004,1st Avenue,79.99748622564306,s1
n00005,1st Avenue,99.99611491311703,s1
n00006,1st Avenue,119.99592223352244,s1
n00007,1st Avenue,139.99591732208998,s1
n00008,1st Avenue,159.9952717644931,s1
n00009,1st Avenue,179.99334307797156,s1
n00010,1st Avenue,199.9928806957837,s1
n00011,1st Avenue,219.99241831441725,s1
n00012,1st Avenue,239.99180883264128,s1
n00013,1st Avenue,259.988839775703,s1
n00014,1st Avenue,279.98861379910176,s1
n00015,1st Avenue,299.98839412978424,s1
n00016,1st Avenue,319.9881269966994,s1
n00017,1st Avenue,339.9850437161317,s1
n00018,1st Avenue,359.984631190093,s1
n00019,1st Avenue,379.98460558459453,s1
n00020,1st Avenue,399.98407290651704,s1
n00021,1st Avenue,419.9759412388261,s1
n00022,1st Avenue,439.96986183892614,s1
n00023,1st Avenue,459.9636490654558,s1
n00024,1st Avenue,479.958158897422,s1
n00028,1st Avenue,485.6979741357473,s1
n00025,1st Avenue,499.95417353258443,s1
n00029,1st Avenue,505.6944205478593,s1
n00026,1st Avenue,519.9502762572718,s1
n00030,1st Avenue,525.694212435042,s1
n00027,1st Avenue,539.4855910151566,s1
n00031,1st Avenue,545.6262293587087,s1
n00038,1st Avenue,562.0833339926579,s1
n00032,1st Avenue,565.538334863884,s1
n00039,1st Avenue,581.8967672071067,s1
n00033,1st Avenue,585.5129273592454,s1
n00040,1st Avenue,601.8952735588681,s1
n00034,1st Avenue,605.5125436838216,s1
n00041,1st Avenue,621.8937799113959,s1
n00035,1st Avenue,625.5122573875392,s1
n00042,1st Avenue,641.8209776828985,s1
n00036,1st Avenue,645.4739075264752,s1
n00043,1st Avenue,661.6005096720041,s1
n00053,2nd Avenue,0.0,s2
n00052,2nd Avenue,19.999856672785427,s2
n00051,2nd Avenue,39.999697497174736,s2
n00050,2nd Avenue,59.99952745929954,s2
n00049,2nd Avenue,79.99936017856146,s2
n00048,2nd Avenue,99.9991996540636,s2
n00047,2nd Avenue,119.9990154192738,s2
n00046,2nd Avenue,139.99887239902313,s2
n00045,2nd Avenue,159.99869350641941,s2
n00044,2nd Avenue,179.9985290756881,s2
n00075,2nd Avenue,257.06463923798884,s3
n00074,2nd Avenue,277.06456619426365,s3
n00073,2nd Avenue,297.06444954316333,s3
n00072,2nd Avenue,317.06433289124345,s3
n00071,2nd Avenue,337.0642199433697,s3
n00070,2nd Avenue,357.0641055786191,s3
n00069,2nd Avenue,377.0640027361839,s3
n00068,2nd Avenue,397.06390646411927,s3
n00067,2nd Avenue,417.0637497887377,s3
n00066,2nd Avenue,437.06366969622513,s3
n00065,2nd Avenue,457.06355870581365,s3
n00064,2nd Avenue,477.0634489137526,s3
n00063,2nd Avenue,497.0633526951773,s3
n00062,2nd Avenue,517.0632288879551,s3
n00061,2nd Avenue,537.0631333363265,s3
n00060,2nd Avenue,557.0630419241263,s3
n00059,2nd Avenue,577.0623968530422,s3
n00058,2nd Avenue,597.0612643461437,s3
n00057,2nd Avenue,617.0601458110293,s3
n00056,2nd Avenue,637.05893050278,s3
n00055,2nd Avenue,657.0576473747725,s3
n00054,2nd Avenue,677.0575439282993,s3
n00076,3rd Avenue,0.0,s4
n00077,3rd Avenue,19.99821261323325,s4
n00078,3rd Avenue,39.99798166990746,s4
n00079,3rd Avenue,59.997973098595594,s4
n00080,3rd Avenue,79.99796452728373,s4
n00081,3rd Avenue,99.99791877273921,s4
n00082,3rd Avenue,119.99594855815317,s4
n00083,3rd Avenue,139.99269997834168,s4
n00084,3rd Avenue,159.98945139929597,s4
n00085,3rd Avenue,179.9861378839671,s4
n00086,3rd Avenue,199.9796647255288,s4
n00087,3rd Avenue,219.97311219409923,s4
n00088,3rd Avenue,239.96655966266962,s4
n00089,3rd Avenue,259.96028450368635,s4
n00090,3rd Avenue,279.9590986219058,s4
n00091,3rd Avenue,299.9588325360306,s4
n00092,3rd Avenue,319.9586663661973,s4
n00094,3rd Avenue,359.9582882031006,s4
n00095,3rd Avenue,379.9580750264073,s4
n00096,3rd Avenue,399.9578618488931,s4
n00097,3rd Avenue,419.95781905860656,s4
n00098,3rd Avenue,439.9577970302118,s4
n00099,3rd Avenue,459.9577965213923,s4
n00100,3rd Avenue,479.9577960133387,s4
n00101,3rd Avenue,499.95561981576424,s4
n00102,3rd Avenue,519.9551112322624,s4
n00103,3rd Avenue,539.9550153337718,s4
n00104,3rd Avenue,559.9548819082885,s4
n00105,3rd Avenue,579.9544262948199,s4
n00106,3rd Avenue,599.9537518731352,s4
n00107,3rd Avenue,619.9531072374522,s4
n00108,3rd Avenue,639.9525241342872,s4
n00109,3rd Avenue,659.952459226781,s4
n00110,3rd Avenue,679.9523414630468,s4
n00111,East 34th Street,0.0,s5
n00112,East 34th Street,19.99474245444526,s5
n00113,East 34th Street,39.988212282702534,s5
n00114,East 34th Street,59.97412857701124,s5
n00115,East 34th Street,79.96704896112885,s5
n00116,East 34th Street,99.96685931320383,s5
n00117,East 34th Street,119.96666966527874,s5
n00118,East 34th Street,139.96643605339807,s5
n00119,East 34th Street,159.96632548814313,s5
n00120,East 34th Street,179.9662787973831,s5
n00121,East 34th Street,199.9662295959415,s5
n00122,East 34th Street,219.9662030987973,s5
n00123,East 34th Street,239.9662020850702,s5
n00124,East 34th Street,259.96620107100455,s5
n00125,East 34th Street,279.96620005727743,s5
n00126,East 34th Street,299.9661990435503,s5
n00127,East 34th Street,319.9661422527772,s5
n00128,East 34th Street,339.9559494560906,s5
n00129,East 34th Street,359.8944618990806,s5
n00130,East 34th Street,379.8944587939752,s5
n00131,East 34th Street,399.89445632587217,s5
n00132,East 34th Street,419.8944548016793,s5
n00133,East 34th Street,439.8944532775889,s5
n00134,East 34th Street,459.89445236892846,s5
n00135,East 34th Street,499.84291397071854,s5
n00136,East 34th Street,519.8419068143062,s5
n00137,East 34th Street,539.841337894431,s5
n00138,East 34th Street,559.8410861456118,s5
n00139,East 34th Street,579.8410860093261,s5
n00140,East 34th Street,599.8410858724969,s5
n00141,East 34th Street,619.8410857356677,s5
n00142,East 34th Street,639.8410855992794,s5
n00143,East 34th Street,659.8410796950059,s5
n00144,East 34th Street,679.8410687966762,s5
n00145,East 34th Street,719.8407474426592,s5
n00146,East 34th Street,739.8405766347046,s5
n00147,East 34th Street,759.8401162395037,s5
n00148,East 34th Street,779.8388556719163,s5
n00149,East 34th Street,799.8388549320272,s5
n00150,East 34th Street,819.8388541916969,s5
n00151,East 34th Street,839.8388534518077,s5
n00152,East 34th Street,859.83883582458,s5
n00153,East 34th Street,879.8387940732206,s5
n00154,East 34th Street,899.8387523214201,s5
n00155,East 34th Street,919.8387085220459,s5
n00156,East 34th Street,939.8386642331329,s5
n00157,East 35th Street,0.0,s6
n00158,East 35th Street,39.98870874328259,s6
n00159,East 35th Street,59.98867843573578,s6
n00160,East 35th Street,79.98864812808642,s6
n00161,East 35th Street,99.98861782053962,s6
n00162,East 35th Street,119.98858751299281,s6
n00163,East 35th Street,139.98855720500438,s6
n00164,East 35th Street,159.98852689745758,s6
n00165,East 35th Street,179.98840966846421,s6
n00166,East 35th Street,199.98838134408413,s6
n00167,East 35th Street,219.98835302004318,s6
n00168,East 35th Street,259.987315384947,s6
n00169,East 35th Street,279.9873105489028,s6
n00170,East 35th Street,299.98730540787403,s6
n00171,East 35th Street,319.98730026409385,s6
n00172,East 35th Street,339.987295119872,s6
n00173,East 35th Street,359.98728997609174,s6
n00174,East 35th Street,379.9782671270803,s6
n00175,East 35th Street,399.9745294051954,s6
n00176,East 35th Street,419.97349855466734,s6
n00177,East 35th Street,439.97246770403683,s6
n00178,East 35th Street,479.9723499188411,s6
n00179,East 35th Street,499.97231784241444,s6
n00180,East 35th Street,519.9722857655462,s6
