node_id,osm_name,hw,snap_m,is_pedestrian,fov
n00000,1st Avenue,primary,0.07101650788819104,False,90
n00001,1st Avenue,primary,0.0746364923311173,False,90
n00002,1st Avenue,primary,0.013685853529411896,False,90
n00003,1st Avenue,primary,0.048911449279650875,False,90
n00004,1st Avenue,primary,0.03841915757241239,False,90
n00005,1st Avenue,primary,0.07216724930466088,False,90
n00006,1st Avenue,primary,0.06323813209928297,False,90
n00007,1st Avenue,primary,0.06029260208597312,False,90
n00008,1st Avenue,primary,0.04613064484719258,False,90
n00009,1st Avenue,primary,0.0010194967594005125,False,90
n00010,1st Avenue,primary,0.000110650918588823,False,90
n00011,1st Avenue,primary,0.029220104954592815,False,90
n00012,1st Avenue,primary,0.02154376035210768,False,90
n00013,1st Avenue,primary,0.004300100686570347,False,90
n00014,1st Avenue,primary,0.005961416642686268,False,90
n00015,1st Avenue,primary,0.023215239375658236,False,90
n00016,1st Avenue,primary,0.0016647694484081706,False,90
n00017,1st Avenue,primary,0.05500218641567448,False,90
n00018,1st Avenue,primary,0.015180001385525744,False,90
n00019,1st Avenue,primary,0.03219603035648497,False,90
n00020,1st Avenue,primary,0.04646108768776117,False,90
n00021,1st Avenue,primary,0.04095037041723988,False,90
n00022,1st Avenue,primary,0.04585036106638765,False,90
n00023,1st Avenue,primary,0.00044806571167896466,False,90
n00024,1st Avenue,primary_link,0.00965270046909374,False,90
n00025,1st Avenue,primary,0.01245273211712555,False,90
n00026,1st Avenue,primary_link,0.0017363928717292769,False,90
n00027,1st Avenue,primary,0.016499125893562273,False,90
n00028,1st Avenue,primary,0.03412248255096778,False,90
n00029,1st Avenue,primary,0.034267565895485554,False,90
n00030,1st Avenue,primary,0.05457346530502634,False,90
n00031,1st Avenue,primary,0.027959974357119277,False,90
n00032,1st Avenue,primary,0.04697663229061567,False,90
n00033,1st Avenue,primary,0.03951580535267472,False,90
n00034,1st Avenue,primary,0.02201629842728274,False,90
n00035,1st Avenue,primary,0.03105308103786625,False,90
n00036,1st Avenue,primary,0.01501374381719749,False,90
n00037,1st Avenue,primary,0.043033545674536225,False,90
n00038,1st Avenue,primary,0.03014613780388278,False,90
n00039,1st Avenue,primary,0.02072979266392481,False,90
n00040,1st Avenue,primary,0.01689056176436942,False,90
n00041,1st Avenue,primary,0.022672761872938086,False,90
n00042,1st Avenue,primary,0.03352027161743112,False,90
n00043,1st Avenue,primary,0.052701982869006264,False,90
n00044,1st Avenue,primary,0.019361268490029872,False,90
n00045,1st Avenue,primary,0.03143582591329475,False,90
n00046,2nd Avenue,primary,0.036919260751319787,False,90
n00047,2nd Avenue,primary,0.08477772708831924,False,90
n00048,2nd Avenue,primary,0.057929332780237534,False,90
n00049,2nd Avenue,primary,0.015903340922280573,False,90
n00050,2nd Avenue,primary,0.027221971727598212,False,90
n00051,2nd Avenue,primary,0.06399018049193475,False,90
n00052,2nd Avenue,primary,0.008458420821286016,False,90
n00053,2nd Avenue,primary,0.026220195739189666,False,90
n00054,2nd Avenue,primary,0.011137384590374921,False,90
n00055,2nd Avenue,primary,0.0460302503609534,False,90
n00056,2nd Avenue,primary,0.005919339713480162,False,90
n00057,2nd Avenue,primary,0.05893136859226594,False,90
n00058,2nd Avenue,primary,0.07258326058357101,False,90
n00059,2nd Avenue,primary,0.015457040462617092,False,90
n00060,2nd Avenue,primary,0.047861876437400135,False,90
n00061,2nd Avenue,primary,0.026168085863092425,False,90
n00062,2nd Avenue,primary,0.009009589219581851,False,90
n00063,2nd Avenue,primary,0.03590337034176792,False,90
n00064,2nd Avenue,primary,0.0022098501128709584,False,90
n00065,2nd Avenue,primary,0.04395985055372926,False,90
n00066,2nd Avenue,primary,0.04447672739547856,False,90
n00067,2nd Avenue,primary,0.01905192680715613,False,90
n00068,2nd Avenue,primary,0.05441447128306623,False,90
n00069,2nd Avenue,primary,0.012784901409704166,False,90
n00070,2nd Avenue,primary,0.0489164395863903,False,90
n00071,2nd Avenue,primary,0.019592275579006252,False,90
n00072,2nd Avenue,primary,0.0212578343001954,False,90
n00073,2nd Avenue,primary,0.06583388856124384,False,90
n00074,2nd Avenue,primary,0.01562038594503542,False,90
n00075,2nd Avenue,primary,0.023150875938648133,False,90
n00076,2nd Avenue,primary,0.018008119115240005,False,90
n00077,2nd Avenue,primary,0.06815750894343693,False,90
n00078,2nd Avenue,primary,0.051417124722498424,False,90
n00079,2nd Avenue,primary,0.011209331368805966,False,90
n00080,3rd Avenue,primary,0.03160310760832847,False,90
n00081,3rd Avenue,primary,0.07373241482368476,False,90
n00082,3rd Avenue,primary,0.010846058627428665,False,90
n00083,3rd Avenue,primary,0.017055027062829485,False,90
n00084,3rd Avenue,primary,0.06153218621076221,False,90
n00085,3rd Avenue,primary,0.014549065061874627,False,90
n00086,3rd Avenue,primary,0.01350700876988081,False,90
n00087,3rd Avenue,primary,0.02309173733562632,False,90
n00088,3rd Avenue,primary,0.04705765588931293,False,90
n00089,3rd Avenue,primary,0.01156993731625225,False,90
n00090,3rd Avenue,primary,0.005454147372840865,False,90
n00091,3rd Avenue,primary,0.003681657907126208,False,90
n00092,3rd Avenue,primary,0.0018428332822008476,False,90
n00093,3rd Avenue,primary,0.019856834898908562,False,90
n00094,3rd Avenue,primary,0.036187070521102295,False,90
n00095,3rd Avenue,primary,0.0534079100819076,False,90
n00096,3rd Avenue,primary,0.06965002087302567,False,90
n00097,3rd Avenue,primary,0.04178136201918089,False,90
n00098,3rd Avenue,primary,0.02533035577962013,False,90
n00099,3rd Avenue,primary,0.023387230315046945,False,90
n00100,3rd Avenue,primary,0.021372584193436968,False,90
