node_id,osm_name,d
n00000,1st Avenue,724.9944920227922
n00001,1st Avenue,727.5926578150777
n00002,1st Avenue,730.7287382396913
n00003,1st Avenue,734.3958413244819
n00004,1st Avenue,738.3926404549176
n00005,1st Avenue,734.5427036354977
n00006,1st Avenue,719.9995888347595
n00007,1st Avenue,705.7240388258308
n00008,1st Avenue,691.889202280718
n00009,1st Avenue,678.2292518255152
n00010,1st Avenue,665.026418563453
n00011,1st Avenue,652.138567520725
n00012,1st Avenue,639.613450414095
n00013,1st Avenue,627.2356399916844
n00014,1st Avenue,615.5026083504523
n00015,1st Avenue,604.200671006019
n00016,1st Avenue,593.1191935552538
n00017,1st Avenue,582.7551959877484
n00018,1st Avenue,572.9436274456006
n00019,1st Avenue,563.4842412556396
n00020,1st Avenue,554.5362323430406
n00021,1st Avenue,546.6571133219396
n00022,1st Avenue,538.5259616300418
n00023,1st Avenue,537.0468960258935
n00025,1st Avenue,529.6652858024696
n00026,1st Avenue,515.8374508265365
n00027,1st Avenue,522.9451301984872
n00028,1st Avenue,509.97854222955056
n00029,1st Avenue,517.3095472501528
n00030,1st Avenue,504.76411375631585
n00031,1st Avenue,512.8533819168242
n00032,1st Avenue,500.1679208083288
n00033,1st Avenue,512.7645807141786
n00034,1st Avenue,494.65375025263194
n00035,1st Avenue,516.3417038137097
n00036,1st Avenue,490.6377555554281
n00037,1st Avenue,517.649352667328
n00038,1st Avenue,488.84184152677466
n00039,1st Avenue,515.5499898113195
n00040,1st Avenue,487.8514902876426
n00041,1st Avenue,514.2919097354066
n00042,1st Avenue,487.6231015031153
n00043,1st Avenue,513.4618817648668
n00044,1st Avenue,491.77353012245624
n00045,1st Avenue,510.9968297185657
n00046,2nd Avenue,499.30112293616304
n00047,2nd Avenue,503.4572938583088
n00048,2nd Avenue,508.2574421002981
n00049,2nd Avenue,513.9009722275806
n00050,2nd Avenue,520.2520104675152
n00051,2nd Avenue,527.2849908875104
n00052,2nd Avenue,534.889007310513
n00053,2nd Avenue,543.1967008130212
n00054,2nd Avenue,539.2201126286712
n00055,2nd Avenue,522.1297176467759
n00056,2nd Avenue,505.2469378324879
n00057,2nd Avenue,488.48492739813327
n00058,2nd Avenue,472.0896235506164
n00059,2nd Avenue,455.85645929788467
n00060,2nd Avenue,439.934316811922
n00061,2nd Avenue,424.3742663676456
n00062,2nd Avenue,409.1862860454279
n00063,2nd Avenue,394.5359671262193
n00064,2nd Avenue,380.2575584024451
n00065,2nd Avenue,366.5154550647251
n00066,2nd Avenue,353.4030332901024
n00067,2nd Avenue,340.93146952375724
n00068,2nd Avenue,329.2042116108872
n00069,2nd Avenue,318.3999428831838
n00070,2nd Avenue,308.45619447071175
n00071,2nd Avenue,299.47594638987914
n00072,2nd Avenue,291.5939629242523
n00073,2nd Avenue,284.90140914114886
n00074,2nd Avenue,279.6832377480844
n00075,2nd Avenue,275.9538994667391
n00076,2nd Avenue,273.5674020970126
n00077,2nd Avenue,272.63598214232456
n00078,2nd Avenue,273.29896672689256
n00079,2nd Avenue,275.1371025781314
n00080,3rd Avenue,284.7424649594725
n00081,3rd Avenue,290.9667326144905
n00082,3rd Avenue,298.03656004545667
n00083,3rd Avenue,306.4158066218284
n00084,3rd Avenue,315.7626142650246
n00085,3rd Avenue,326.1474973366908
n00086,3rd Avenue,336.3969472719389
n00087,3rd Avenue,346.6218694234373
n00088,3rd Avenue,357.68115792993785
n00089,3rd Avenue,369.4863028408181
n00090,3rd Avenue,381.30089267840407
