the_geom,borocode,boroname,borocd,coundist,assemdist,stsendist,congdist,siteid,benchid,category,benchtype,installati,address,geocodeadd,street,crossstree,borough,comdist,busroute,bid,latitude,longitude,femafldz,femafldt,hrcevac
"{'type': 'Point', 'coordinates': [-73.97459255980438, 40.74228473708302]}",1,Manhattan,106,4,74,27,12,3201.0,1897.0,AAR,backed,2015-10-28T00:00:00.000,550 1st Avenue,550 1st Avenue,1st Avenue,E. 34th Street and E. 30th Street,Manhattan,106.0,Not Applicable,Not Applicable,40.742293,-73.974594,X,AREA OF MINIMAL FLOOD HAZARD,1
"{'type': 'Point', 'coordinates': [-73.9827295570742, 40.74805373557445]}",1,Manhattan,106,2,75,28,12,431.0,493.0,Bus Route,backless,2013-04-09T00:00:00.000,191 Madison Avenue,191 Madison Ave,Madison Avenue,E34th Street & E35th Street,Manhattan,106.0,M04,Not Applicable,40.748062,-73.982731,X,AREA OF MINIMAL FLOOD HAZARD,
"{'type': 'Point', 'coordinates': [-73.98402155626255, 40.746277736317865]}",1,Manhattan,105,2,75,28,12,427.0,0.0,Bus Route,backless,2013-04-09T00:00:00.000,145 & 147 Madison Ave,147 Madison Ave,Madison Avenue,E31st Street & E32nd Street,Manhattan,105.0,M04,Not Applicable,40.746286,-73.984023,X,AREA OF MINIMAL FLOOD HAZARD,
"{'type': 'Point', 'coordinates': [-73.98354855624879, 40.74693073589491]}",1,Manhattan,105,2,75,28,12,429.0,583.0,General,backless 2,2013-04-09T00:00:00.000,165 Madison Avenue,165 Madison Ave,Madison Avenue,E32nd & E33rd Street,Manhattan,105.0,X63,Not Applicable,40.746939,-73.98355,X,AREA OF MINIMAL FLOOD HAZARD,
"{'type': 'Point', 'coordinates': [-73.97328955969388, 40.74369573649997]}",1,Manhattan,106,4,74,27,12,3994.0,523.0,Municipal Facilities,backed 2,2018-04-26T00:00:00.000,403 East 34th Street,403 East 34th Street,East 34th Street,1st Avenue & FDR Drive,Manhattan,106.0,Not Applicable,Not Applicable,40.743704,-73.973291,AE,,1
"{'type': 'Point', 'coordinates': [-73.97747855878882, 40.746580735698544]}",1,Manhattan,106,4,73,28,12,2144.0,1072.0,General,backed,2013-10-07T00:00:00.000,529 Third Avenue,529 Third Avenue,3rd Avenue,East 35th and 36th Streets,Manhattan,106.0,Not Applicable,Not Applicable,40.746589,-73.97748,X,AREA OF MINIMAL FLOOD HAZARD,6
"{'type': 'Point', 'coordinates': [-73.9817185576156, 40.74943873540296]}",1,Manhattan,106,4,73,28,12,435.0,522.0,General,backless,2013-04-09T00:00:00.000,227 Madison Avenue,227 Madison Avenue,Madison Avenue,E36th & E37th Street,Manhattan,106.0,M1,Not Applicable,40.749447,-73.98172,X,AREA OF MINIMAL FLOOD HAZARD,
"{'type': 'Point', 'coordinates': [-73.97603555857695, 40.744568736237625]}",1,Manhattan,106,2,73,28,12,1470.0,0.0,General,backed,,617 Second Avenue,617 Second Avenue,Second Avenue,E33rd & E34th Street,Manhattan,106.0,M15,Not Applicable,40.744577,-73.976037,X,AREA OF MINIMAL FLOOD HAZARD,5
"{'type': 'Point', 'coordinates': [-73.97496055937961, 40.744395736327974]}",1,Manhattan,106,2,74,28,12,2477.0,393.0,Health Care Facilities,backed,2014-05-09T00:00:00.000,317 E. 34th Street,173 E. 34th Street,E. 34th Street,1st Avenue and Tunnel Entrance Road,Manhattan,106.0,Not Applicable,Not Applicable,40.744404,-73.974962,X,AREA OF MINIMAL FLOOD HAZARD,2
"{'type': 'Point', 'coordinates': [-73.98253455739689, 40.74831973551904]}",1,Manhattan,106,2,75,28,12,432.0,525.0,General,backless,2013-04-09T00:00:00.000,199 Madison Avenue,199 Madison Avenue,Madison Avenue,E34th Street & E35th Street,Manhattan,106.0,M1,Not Applicable,40.748328,-73.982536,X,AREA OF MINIMAL FLOOD HAZARD,
