tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council_district,census_tract,bin,bbl
198121,104405,2015-09-02T00:00:00.000,8,0,OnCurb,Alive,Fair,Quercus palustris,pin oak,None,None,Damage,Volunteer,"Stones,BranchOther",Yes,No,No,No,No,No,No,No,Yes,100 EAST 31 STREET,10016,New York,105,1,Manhattan,2,75,28,MN20,Murray Hill-Kips Bay,1007200,New York,40.74503399,-73.98253015,989090.7833,210713.094,2,72,1018347,1008860087
175693,105648,2015-08-25T00:00:00.000,4,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,1or2,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,30 PARK AVENUE,10016,New York,106,1,Manhattan,4,75,28,MN20,Murray Hill-Kips Bay,1008200,New York,40.74829709,-73.98065645,989609.7097,211902.0549,4,82,1017127,1008650040
178606,105607,2015-08-26T00:00:00.000,7,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,137 EAST 36 STREET,10016,New York,106,1,Manhattan,4,73,28,MN20,Murray Hill-Kips Bay,1008000,New York,40.74780138,-73.97857966,990185.1915,211721.5855,,,,
195995,104413,2015-09-01T00:00:00.000,3,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,Volunteer,"Stones,BranchOther",Yes,No,No,No,No,No,No,No,Yes,3 EAST 29 STREET,10016,New York,105,1,Manhattan,4,75,28,MN17,Midtown-Midtown South,1007400,New York,40.74486653,-73.98598251,988134.1658,210651.9085,4,74,1016926,1008590006
187229,104671,2015-08-29T00:00:00.000,4,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,honeylocust,3or4,Helpful,NoDamage,NYC Parks Staff,"RootOther,TrunkOther,BranchOther",No,No,Yes,No,No,Yes,No,No,Yes,301 MADISON AVENUE,10017,New York,105,1,Manhattan,4,73,27,MN20,Murray Hill-Kips Bay,1008200,New York,40.75235028,-73.97971637,989869.8454,213378.8197,4,82,1035331,1012760022
198018,105722,2015-09-02T00:00:00.000,8,0,OnCurb,Alive,Poor,Ginkgo biloba,ginkgo,1or2,Helpful,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,207 EAST 41 STREET,10017,New York,106,1,Manhattan,4,73,27,MN19,Turtle Bay-East Midtown,1008800,New York,40.75019786,-73.97469992,991259.9446,212594.9869,4,88,1037545,1013150001
198020,105722,2015-09-02T00:00:00.000,6,0,OnCurb,Alive,Poor,Ginkgo biloba,ginkgo,1or2,Helpful,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,655 3 AVENUE,10017,New York,106,1,Manhattan,4,73,27,MN19,Turtle Bay-East Midtown,1008800,New York,40.75041366,-73.97454407,991303.1037,212673.6216,4,88,1037545,1013150001
175704,105612,2015-08-25T00:00:00.000,4,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,3or4,Helpful,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,23 PARK AVENUE,10016,New York,106,1,Manhattan,4,73,28,MN20,Murray Hill-Kips Bay,1008000,New York,40.74791179,-73.98052056,989647.3934,211761.6861,4,80,1078766,1008910001
197862,105693,2015-09-02T00:00:00.000,14,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,1or2,Helpful,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,134 EAST 40 STREET,10016,New York,106,1,Manhattan,4,73,27,MN20,Murray Hill-Kips Bay,1008000,New York,40.74990774,-73.97654061,990749.9686,212489.1443,4,80,1082117,1008950067
196005,104414,2015-09-01T00:00:00.000,6,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,90 MADISON AVENUE,10016,New York,105,1,Manhattan,4,75,28,MN17,Midtown-Midtown South,1007400,New York,40.74452808,-73.9854111,988292.5208,210528.6275,4,74,1080776,1008580017
178575,105639,2015-08-26T00:00:00.000,10,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,1or2,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,305 LEXINGTON AVENUE,10016,New York,106,1,Manhattan,4,73,28,MN20,Murray Hill-Kips Bay,1008000,New York,40.74865418,-73.97795891,990357.1124,212032.3289,4,80,1019108,1008930066
174141,105814,2015-08-25T00:00:00.000,4,0,OnCurb,Alive,Good,Acer platanoides,Norway maple,1or2,Helpful,NoDamage,Volunteer,TrunkLights,No,No,No,No,Yes,No,No,No,No,889 1 AVENUE,10022,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009800,New York,40.75376323,-73.96638946,993562.043,213894.7399,4,98,1039469,1013420027
196030,104469,2015-09-01T00:00:00.000,10,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,None,None,NoDamage,Volunteer,MetalGrates,No,Yes,No,No,No,No,No,No,No,113 EAST 34 STREET,10016,New York,105,1,Manhattan,2,75,28,MN20,Murray Hill-Kips Bay,1007200,New York,40.74668938,-73.98064292,989613.5877,211316.3156,2,72,1078764,1008900001
178572,105682,2015-08-26T00:00:00.000,12,0,OnCurb,Alive,Good,Ulmus americana,American elm,None,Helpful,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,315 LEXINGTON AVENUE,10016,New York,106,1,Manhattan,4,73,28,MN20,Murray Hill-Kips Bay,1008000,New York,40.74905627,-73.9776674,990437.8456,212178.8431,4,80,1019137,1008940026
198113,104405,2015-09-02T00:00:00.000,6,0,OnCurb,Alive,Fair,Zelkova serrata,Japanese zelkova,None,None,Damage,Volunteer,"Stones,BranchOther",Yes,No,No,No,No,No,No,No,Yes,130 EAST 31 STREET,10016,New York,105,1,Manhattan,2,75,28,MN20,Murray Hill-Kips Bay,1007200,New York,40.74455271,-73.98138805,989407.2876,210537.8109,2,72,1018335,1008860071
196051,104477,2015-09-01T00:00:00.000,5,0,OnCurb,Alive,Fair,Ginkgo biloba,ginkgo,None,None,Damage,Volunteer,"MetalGrates,BranchOther",No,Yes,No,No,No,No,No,No,Yes,14 EAST 32 STREET,10016,New York,105,1,Manhattan,4,75,28,MN17,Midtown-Midtown South,1007400,New York,40.74668429,-73.98454526,988532.3031,211314.2451,4,74,1017001,1008610066
198117,104405,2015-09-02T00:00:00.000,4,0,OnCurb,Alive,Fair,Zelkova serrata,Japanese zelkova,1or2,Harmful,NoDamage,Volunteer,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No,124 EAST 31 STREET,10016,New York,105,1,Manhattan,2,75,28,MN20,Murray Hill-Kips Bay,1007200,New York,40.74464396,-73.9816046,989347.2759,210571.0454,2,72,1018338,1008860074
198338,105514,2015-09-02T00:00:00.000,10,0,OnCurb,Alive,Fair,Quercus palustris,pin oak,1or2,Unsure,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,142 EAST 31 STREET,10016,New York,106,1,Manhattan,2,75,28,MN20,Murray Hill-Kips Bay,1007200,New York,40.74414068,-73.9801313,989755.5618,210387.7732,2,72,1018326,1008860056
178573,105682,2015-08-26T00:00:00.000,13,0,OnCurb,Alive,Good,Ulmus americana,American elm,None,Helpful,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,127 EAST 38 STREET,10016,New York,106,1,Manhattan,4,73,28,MN20,Murray Hill-Kips Bay,1008000,New York,40.74899564,-73.97771193,990425.5122,212156.7529,4,80,1019137,1008940026
198337,105514,2015-09-02T00:00:00.000,11,0,OnCurb,Alive,Fair,Quercus palustris,pin oak,1or2,Unsure,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,142 EAST 31 STREET,10016,New York,106,1,Manhattan,2,75,28,MN20,Murray Hill-Kips Bay,1007200,New York,40.74417854,-73.9802213,989730.6189,210401.5605,2,72,1018326,1008860056
174202,106045,2015-08-25T00:00:00.000,14,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,None,None,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,771 UNITED NATIONS PLAZA,10017,New York,106,1,Manhattan,4,74,28,MN19,Turtle Bay-East Midtown,1008800,New York,40.74991592,-73.96916843,992792.601,212492.7565,,,,
198336,105514,2015-09-02T00:00:00.000,13,0,OnCurb,Alive,Fair,Quercus palustris,pin oak,1or2,Unsure,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,142 EAST 31 STREET,10016,New York,106,1,Manhattan,2,75,28,MN20,Murray Hill-Kips Bay,1007200,New York,40.74421095,-73.98029836,989709.264,210413.3647,2,72,1018326,1008860056
178626,105590,2015-08-26T00:00:00.000,8,0,OnCurb,Alive,Fair,Quercus palustris,pin oak,1or2,Helpful,NoDamage,Volunteer,TrunkOther,No,No,No,No,No,Yes,No,No,No,271 LEXINGTON AVENUE,10016,New York,106,1,Manhattan,4,73,28,MN20,Murray Hill-Kips Bay,1008000,New York,40.74739401,-73.97887588,990103.15,211573.1458,4,80,1018924,1008910066
178670,105497,2015-08-26T00:00:00.000,9,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,green ash,None,None,Damage,Volunteer,TrunkOther,No,No,No,No,No,Yes,No,No,No,165 LEXINGTON AVENUE,10016,New York,106,1,Manhattan,2,75,28,MN20,Murray Hill-Kips Bay,1007200,New York,40.74403913,-73.98132351,989425.2114,210350.7011,2,72,1018311,1008860028
178628,105590,2015-08-26T00:00:00.000,8,0,OnCurb,Alive,Good,Quercus palustris,pin oak,3or4,Helpful,NoDamage,Volunteer,BranchOther,No,No,No,No,No,No,No,No,Yes,265 LEXINGTON AVENUE,10016,New York,106,1,Manhattan,4,73,28,MN20,Murray Hill-Kips Bay,1008000,New York,40.74725406,-73.97897864,990074.6898,211522.1498,4,80,1018903,1008910027
