file,street,walk,seq,node_id,cardinal,side,vertical_greenery,vertical_hardscape,green_eye_level,sky_openness,walkable_ground,green_softening,signage_detail,facade_variation,ground_floor_activity,resting_affordance,vertical_greenery_ev,vertical_hardscape_ev,green_eye_level_ev,sky_openness_ev,walkable_ground_ev,green_softening_ev,signage_detail_ev,facade_variation_ev,ground_floor_activity_ev,resting_affordance_ev,vertical_greenery_argmax,vertical_hardscape_argmax,green_eye_level_argmax,sky_openness_argmax,walkable_ground_argmax,green_softening_argmax,signage_detail_argmax,facade_variation_argmax,ground_floor_activity_argmax,resting_affordance_argmax,vertical_greenery_p1,vertical_greenery_p2,vertical_greenery_p3,vertical_greenery_p4,vertical_greenery_p5,vertical_greenery_p6,vertical_greenery_p7,vertical_hardscape_p1,vertical_hardscape_p2,vertical_hardscape_p3,vertical_hardscape_p4,vertical_hardscape_p5,vertical_hardscape_p6,vertical_hardscape_p7,green_eye_level_p1,green_eye_level_p2,green_eye_level_p3,green_eye_level_p4,green_eye_level_p5,green_eye_level_p6,green_eye_level_p7,sky_openness_p1,sky_openness_p2,sky_openness_p3,sky_openness_p4,sky_openness_p5,sky_openness_p6,sky_openness_p7,walkable_ground_p1,walkable_ground_p2,walkable_ground_p3,walkable_ground_p4,walkable_ground_p5,walkable_ground_p6,walkable_ground_p7,green_softening_p1,green_softening_p2,green_softening_p3,green_softening_p4,green_softening_p5,green_softening_p6,green_softening_p7,signage_detail_p1,signage_detail_p2,signage_detail_p3,signage_detail_p4,signage_detail_p5,signage_detail_p6,signage_detail_p7,facade_variation_p1,facade_variation_p2,facade_variation_p3,facade_variation_p4,facade_variation_p5,facade_variation_p6,facade_variation_p7,ground_floor_activity_p1,ground_floor_activity_p2,ground_floor_activity_p3,ground_floor_activity_p4,ground_floor_activity_p5,ground_floor_activity_p6,ground_floor_activity_p7,resting_affordance_p1,resting_affordance_p2,resting_affordance_p3,resting_affordance_p4,resting_affordance_p5,resting_affordance_p6,resting_affordance_p7
abchurch_lane/north_to_south/001_n00008_S_L.jpg,abchurch_lane,north_to_south,1,n00008,S,L,1,6,2,2,6,1,2,4,4,2,1.098973484011367,6.453809118596837,1.7528460901230574,1.955300034955144,5.886326281353831,1.4841517535969615,1.9375963686034083,4.278041157871485,4.08860182389617,1.7067889953032136,1,7,1,1,7,1,1,5,6,1,0.9591,0.0199,0.0083,0.0019,0.0031,0.0021,0.0057,0.0014,0.0027,0.0135,0.0197,0.0999,0.2115,0.6514,0.6079,0.2534,0.0565,0.0162,0.0184,0.0208,0.0267,0.4745,0.3261,0.0825,0.05,0.0303,0.0268,0.0098,0.0216,0.0216,0.0403,0.0456,0.1405,0.2975,0.4329,0.7882,0.1209,0.0306,0.0077,0.0112,0.0144,0.027,0.552,0.2301,0.0959,0.0353,0.0353,0.04,0.0115,0.0304,0.0936,0.1982,0.1982,0.2545,0.1749,0.0501,0.0769,0.1268,0.1845,0.1845,0.1437,0.2369,0.0467,0.6525,0.1869,0.0779,0.0197,0.0253,0.0223,0.0153
abchurch_lane/north_to_south/001_n00008_S_R.jpg,abchurch_lane,north_to_south,1,n00008,S,R,1,5,1,2,6,1,2,4,4,1,1.0675796479918063,5.474916520528495,1.4410554179921746,1.6174559956416488,5.609313867986202,1.3093205248005688,2.4593357713893056,4.132278414443135,3.5005217269062996,1.3513951785862446,1,6,1,1,6,1,2,5,3,1,0.9718,0.0139,0.0058,0.0015,0.0019,0.0013,0.004,0.0078,0.0165,0.074,0.0839,0.2583,0.3316,0.2279,0.7258,0.208,0.0281,0.0081,0.0091,0.0091,0.0117,0.6306,0.232,0.0753,0.0314,0.0168,0.0102,0.0037,0.0193,0.0248,0.0596,0.0675,0.1835,0.3428,0.3025,0.8338,0.1128,0.0222,0.0056,0.0056,0.0064,0.0135,0.2594,0.4277,0.1226,0.0579,0.0579,0.0656,0.0089,0.0302,0.1195,0.1969,0.1534,0.3679,0.1054,0.0267,0.055,0.192,0.3166,0.192,0.132,0.1028,0.0096,0.7669,0.1711,0.0382,0.0075,0.0059,0.0046,0.0059
abchurch_lane/north_to_south/002_n00007_S_L.jpg,abchurch_lane,north_to_south,2,n00007,S,L,1,6,2,2,6,1,2,4,4,1,1.079233763506636,6.182412981055677,1.5591214429587126,1.731480517424643,6.035587010905147,1.3177867089398205,1.7143851546570659,3.7517333552241325,4.08137583732605,1.4221119042485952,1,7,1,1,7,1,1,3,6,1,0.9696,0.0138,0.0058,0.0015,0.0024,0.0019,0.0051,0.0035,0.0074,0.0334,0.0378,0.1165,0.2794,0.522,0.7289,0.1626,0.0411,0.0134,0.0151,0.0194,0.0194,0.6278,0.2038,0.075,0.0354,0.0276,0.0215,0.009,0.022,0.0172,0.0321,0.0321,0.1268,0.2684,0.5015,0.8753,0.0634,0.0182,0.0052,0.0076,0.0097,0.0206,0.6389,0.2074,0.0673,0.0248,0.0219,0.0281,0.0117,0.0683,0.1637,0.2382,0.1637,0.2382,0.0993,0.0285,0.0753,0.1241,0.2046,0.1593,0.1593,0.2318,0.0456,0.7769,0.135,0.0438,0.0111,0.0111,0.0111,0.0111
abchurch_lane/north_to_south/002_n00007_S_R.jpg,abchurch_lane,north_to_south,2,n00007,S,R,1,5,1,1,6,1,3,4,3,1,1.0854901655111462,5.317638374865055,1.413538216613233,1.431512612849474,5.503716345876455,1.4186042696237564,3.406941767781973,4.14565671980381,3.3195011522620916,1.273861519061029,1,6,1,1,6,1,2,5,2,1,0.967,0.0156,0.0057,0.0016,0.0024,0.0019,0.0057,0.0168,0.0277,0.0966,0.0853,0.2318,0.3373,0.2046,0.7751,0.1526,0.0265,0.0111,0.0111,0.0111,0.0125,0.7636,0.1327,0.0553,0.0231,0.0123,0.0085,0.0045,0.0289,0.0328,0.0613,0.0613,0.1887,0.3525,0.2745,0.8178,0.0977,0.0317,0.0091,0.0103,0.0117,0.0218,0.1171,0.248,0.2188,0.1327,0.1034,0.1704,0.0096,0.0336,0.1173,0.1935,0.1507,0.3614,0.1173,0.0262,0.1265,0.2363,0.2363,0.1433,0.1265,0.1116,0.0194,0.8247,0.1265,0.0282,0.0063,0.0049,0.0038,0.0056
abchurch_lane/north_to_south/003_n00006_S_L.jpg,abchurch_lane,north_to_south,3,n00006,S,L,1,5,1,2,6,1,4,4,3,1,1.0963643658906221,5.093216687440872,1.428998057730496,1.9950176740530878,5.640811102464795,1.377499621361494,3.9250116464681923,4.248347673565149,2.964766440913081,1.3378917924128473,1,6,1,1,6,1,3,5,2,1,0.9597,0.0199,0.0083,0.0019,0.0027,0.0019,0.0057,0.0164,0.0306,0.1067,0.1067,0.2901,0.3287,0.1209,0.756,0.1687,0.0332,0.0095,0.0095,0.0108,0.0122,0.4302,0.335,0.1232,0.0582,0.0312,0.0189,0.0033,0.0196,0.0252,0.0534,0.0605,0.1863,0.348,0.3071,0.8357,0.0881,0.0286,0.0082,0.0093,0.0105,0.0197,0.0181,0.1183,0.2838,0.221,0.221,0.1341,0.0036,0.0261,0.1169,0.1701,0.1325,0.408,0.1169,0.0296,0.206,0.2997,0.1818,0.0973,0.0859,0.1102,0.0192,0.7945,0.1381,0.0396,0.0088,0.0069,0.0061,0.0061
abchurch_lane/north_to_south/003_n00006_S_R.jpg,abchurch_lane,north_to_south,3,n00006,S,R,1,5,2,3,6,2,4,4,5,2,1.1048658087383956,5.291004145517945,1.8776162769645452,2.6940244883298874,5.594457942992449,1.71487807482481,4.272952876985073,4.27039513643831,4.577234998345375,1.6739102639257908,1,5,1,2,6,1,5,5,6,1,0.9518,0.0254,0.0106,0.0024,0.003,0.0018,0.005,0.0082,0.0198,0.1003,0.1137,0.2728,0.2728,0.2124,0.4756,0.3704,0.0729,0.0209,0.0209,0.0209,0.0184,0.2578,0.2921,0.1772,0.1218,0.0837,0.0575,0.01,0.0114,0.0212,0.0577,0.074,0.2013,0.376,0.2584,0.6342,0.2333,0.0521,0.0149,0.0192,0.0217,0.0246,0.0248,0.0981,0.2078,0.1834,0.2354,0.2354,0.0151,0.0106,0.0692,0.2416,0.2132,0.2738,0.1661,0.0255,0.0302,0.0821,0.1739,0.1534,0.1534,0.3681,0.0388,0.6052,0.2523,0.0819,0.0183,0.0183,0.0142,0.0098
abchurch_lane/north_to_south/004_n00005_W_L.jpg,abchurch_lane,north_to_south,4,n00005,W,L,2,4,2,2,5,2,5,5,4,1,1.5281119514256716,4.480559058487415,1.5950448717921972,1.9169227192178369,4.894999038428068,1.5260637933388352,4.595210169441998,4.923850849270821,4.479851819574833,1.344997133128345,1,6,1,1,6,1,4,5,6,1,0.7981,0.0841,0.0397,0.0114,0.0241,0.0213,0.0213,0.0965,0.0852,0.1591,0.1094,0.1591,0.2315,0.1591,0.7133,0.1804,0.0355,0.0115,0.0148,0.0168,0.0277,0.571,0.1854,0.1274,0.0414,0.0322,0.0322,0.0105,0.0441,0.0642,0.1059,0.12,0.2241,0.2877,0.154,0.8129,0.0756,0.0357,0.0102,0.0149,0.0149,0.0357,0.0049,0.0365,0.1442,0.2694,0.2694,0.2694,0.0063,0.0138,0.0545,0.1153,0.1018,0.3552,0.2441,0.1153,0.0423,0.1015,0.1673,0.1476,0.1673,0.3125,0.0615,0.7932,0.1378,0.0395,0.0088,0.0078,0.0069,0.0061
abchurch_lane/north_to_south/004_n00005_W_R.jpg,abchurch_lane,north_to_south,4,n00005,W,R,1,5,2,1,6,2,3,4,4,3,1.264119567349553,5.240391738712788,1.961405050009489,1.4127585906535387,5.529125228524208,1.544837862253189,3.361794106196612,3.5072540268301964,3.692607805132866,2.8140299692749977,1,6,1,1,7,1,3,2,1,1,0.8989,0.0448,0.0187,0.0053,0.01,0.0078,0.0145,0.0863,0.036,0.0863,0.0524,0.0863,0.3868,0.2659,0.5866,0.2158,0.0701,0.0227,0.0292,0.0331,0.0425,0.8127,0.0971,0.0357,0.0149,0.0116,0.0149,0.0131,0.0485,0.0334,0.0623,0.0485,0.1694,0.2793,0.3586,0.8146,0.0669,0.0358,0.0132,0.0169,0.0169,0.0358,0.0616,0.1674,0.3543,0.2435,0.115,0.0543,0.0039,0.1432,0.2084,0.2084,0.1116,0.1623,0.0984,0.0677,0.2362,0.1433,0.1264,0.0869,0.1116,0.184,0.1116,0.2923,0.1773,0.258,0.0838,0.0838,0.0949,0.01
abchurch_lane/north_to_south/005_n00004_S_L.jpg,abchurch_lane,north_to_south,5,n00004,S,L,1,5,2,2,4,2,3,4,4,1,1.3198191318660975,5.136876605451107,1.9688887279480696,1.6865758746862411,4.304429579526186,2.183994073420763,2.754272294230759,4.025952231138945,3.605037208646536,1.2567532388493419,1,6,1,1,1,1,2,5,6,1,0.8809,0.0497,0.0235,0.0067,0.0111,0.0098,0.0183,0.0793,0.0545,0.0899,0.07,0.1154,0.3138,0.2769,0.5326,0.2851,0.0636,0.0206,0.03,0.034,0.034,0.689,0.1537,0.0641,0.0236,0.0267,0.0303,0.0126,0.2713,0.0605,0.0605,0.0367,0.1131,0.1865,0.2713,0.6615,0.0895,0.0543,0.02,0.0373,0.0479,0.0895,0.1975,0.3255,0.2237,0.1057,0.0823,0.0566,0.0087,0.0645,0.1548,0.1754,0.1064,0.3277,0.1366,0.0345,0.1837,0.1837,0.1621,0.0983,0.1114,0.2081,0.0526,0.8659,0.0805,0.0261,0.0066,0.0075,0.0058,0.0075
abchurch_lane/north_to_south/005_n00004_S_R.jpg,abchurch_lane,north_to_south,5,n00004,S,R,1,6,2,1,5,2,3,4,4,1,1.1619063597172499,5.667966779321432,1.7170461528003216,1.27478634333238,4.639727413654327,1.5334943681955338,3.452301584649831,4.460942439734936,3.8266463428735733,1.1802296927198768,1,7,1,1,7,1,2,5,1,1,0.9404,0.0251,0.0118,0.003,0.0049,0.0044,0.0104,0.06,0.0283,0.0467,0.0412,0.0873,0.3452,0.3912,0.6353,0.2337,0.046,0.0169,0.0217,0.0246,0.0217,0.8533,0.0899,0.0258,0.0095,0.0084,0.0074,0.0057,0.2565,0.0446,0.0393,0.0239,0.1069,0.1556,0.3732,0.8433,0.0476,0.0225,0.0094,0.0154,0.0198,0.042,0.1071,0.2266,0.2266,0.1558,0.1213,0.1558,0.0068,0.05,0.0934,0.12,0.0934,0.4187,0.1745,0.05,0.199,0.155,0.1207,0.083,0.1368,0.199,0.1065,0.9124,0.0515,0.0147,0.0048,0.0048,0.0048,0.007
