file,vertical_greenery_p1,vertical_greenery_p2,vertical_greenery_p3,vertical_greenery_p4,vertical_greenery_p5,vertical_greenery_p6,vertical_greenery_p7,vertical_greenery,vertical_greenery_rounds,vertical_greenery_path,vertical_hardscape_p1,vertical_hardscape_p2,vertical_hardscape_p3,vertical_hardscape_p4,vertical_hardscape_p5,vertical_hardscape_p6,vertical_hardscape_p7,vertical_hardscape,vertical_hardscape_rounds,vertical_hardscape_path,green_eye_level_p1,green_eye_level_p2,green_eye_level_p3,green_eye_level_p4,green_eye_level_p5,green_eye_level_p6,green_eye_level_p7,green_eye_level,green_eye_level_rounds,green_eye_level_path,sky_openness_p1,sky_openness_p2,sky_openness_p3,sky_openness_p4,sky_openness_p5,sky_openness_p6,sky_openness_p7,sky_openness,sky_openness_rounds,sky_openness_path,walkable_ground_p1,walkable_ground_p2,walkable_ground_p3,walkable_ground_p4,walkable_ground_p5,walkable_ground_p6,walkable_ground_p7,walkable_ground,walkable_ground_rounds,walkable_ground_path,green_softening_p1,green_softening_p2,green_softening_p3,green_softening_p4,green_softening_p5,green_softening_p6,green_softening_p7,green_softening,green_softening_rounds,green_softening_path,signage_detail_p1,signage_detail_p2,signage_detail_p3,signage_detail_p4,signage_detail_p5,signage_detail_p6,signage_detail_p7,signage_detail,signage_detail_rounds,signage_detail_path,facade_variation_p1,facade_variation_p2,facade_variation_p3,facade_variation_p4,facade_variation_p5,facade_variation_p6,facade_variation_p7,facade_variation,facade_variation_rounds,facade_variation_path,ground_floor_activity_p1,ground_floor_activity_p2,ground_floor_activity_p3,ground_floor_activity_p4,ground_floor_activity_p5,ground_floor_activity_p6,ground_floor_activity_p7,ground_floor_activity,ground_floor_activity_rounds,ground_floor_activity_path,resting_affordance_p1,resting_affordance_p2,resting_affordance_p3,resting_affordance_p4,resting_affordance_p5,resting_affordance_p6,resting_affordance_p7,resting_affordance,resting_affordance_rounds,resting_affordance_path
abchurch_lane/north_to_south/001_n00008_S_L.jpg,0.9642,0.0177,0.0074,0.0016,0.0024,0.0016,0.0051,1,2,"1,2,3,4,5,6,7|1",0.0016,0.0033,0.0169,0.0279,0.1251,0.2647,0.5605,7,3,"1,2,3,4,5,6,7|6,7|7",0.6456,0.2375,0.0468,0.0134,0.0152,0.0195,0.0221,1,3,"1,2,3,4,5,6,7|1,2|1",0.486,0.334,0.0844,0.0399,0.0274,0.0214,0.0069,1,3,"1,2,3,4,5,6,7|1,2|1",0.0201,0.0257,0.0618,0.07,0.1902,0.3554,0.2768,7,3,"1,2,3,4,5,6,7|5,6,7|7",0.848,0.0894,0.0226,0.0057,0.0073,0.0094,0.0176,1,2,"1,2,3,4,5,6,7|1",0.612,0.2251,0.0731,0.0269,0.0237,0.0305,0.0087,1,3,"1,2,3,4,5,6,7|1,2|1",0.0317,0.1107,0.2069,0.2069,0.2656,0.1422,0.036,3,4,"1,2,3,4,5,6,7|3,4,5|3,4|3",0.0818,0.1349,0.2224,0.1963,0.1528,0.1732,0.0386,3,4,"1,2,3,4,5,6,7|3,4,5,6|3,4|3",0.635,0.2062,0.0758,0.0217,0.0246,0.0217,0.0149,1,3,"1,2,3,4,5,6,7|1,2|1"
abchurch_lane/north_to_south/001_n00008_S_R.jpg,0.9718,0.0139,0.0058,0.0015,0.0019,0.0013,0.004,1,2,"1,2,3,4,5,6,7|1",0.0154,0.0288,0.114,0.114,0.2413,0.2735,0.213,7,3,"1,2,3,4,5,6,7|5,6,7|7",0.7268,0.2082,0.0282,0.0091,0.0081,0.0091,0.0104,1,3,"1,2,3,4,5,6,7|1,2|1",0.5492,0.2594,0.0954,0.0451,0.0273,0.0188,0.0048,1,3,"1,2,3,4,5,6,7|1,2|1",0.0192,0.0192,0.0461,0.0522,0.1823,0.3405,0.3405,7,3,"1,2,3,4,5,6,7|5,6,7|7",0.8288,0.1122,0.025,0.0063,0.0072,0.0072,0.0134,1,2,"1,2,3,4,5,6,7|1",0.261,0.4303,0.1397,0.0582,0.0514,0.0514,0.0079,2,3,"1,2,3,4,5,6,7|1,2|2",0.0408,0.1425,0.2074,0.1615,0.3419,0.0865,0.0193,5,3,"1,2,3,4,5,6,7|3,4,5|5",0.0623,0.192,0.3166,0.2176,0.1028,0.1028,0.0058,3,4,"1,2,3,4,5,6,7|2,3,4|2,3|3",0.7655,0.1708,0.0381,0.0085,0.0066,0.0046,0.0058,1,3,"1,2,3,4,5,6,7|1,2|1"
abchurch_lane/north_to_south/002_n00007_S_L.jpg,0.9727,0.0122,0.0051,0.0013,0.0021,0.0015,0.0051,1,2,"1,2,3,4,5,6,7|1",0.0021,0.0045,0.0228,0.0332,0.1024,0.2456,0.5893,7,3,"1,2,3,4,5,6,7|6,7|7",0.7244,0.1832,0.0361,0.0103,0.0117,0.015,0.0193,1,3,"1,2,3,4,5,6,7|1,2|1",0.536,0.2869,0.0822,0.0388,0.0267,0.0208,0.0087,1,3,"1,2,3,4,5,6,7|1,2|1",0.0228,0.0177,0.0331,0.0331,0.1309,0.2446,0.5178,7,3,"1,2,3,4,5,6,7|6,7|7",0.8922,0.057,0.0144,0.0041,0.006,0.0077,0.0185,1,2,"1,2,3,4,5,6,7|1",0.6461,0.2098,0.0772,0.0221,0.0172,0.0195,0.0081,1,3,"1,2,3,4,5,6,7|1,2|1",0.0637,0.1731,0.2518,0.1731,0.2222,0.0926,0.0234,3,3,"1,2,3,4,5,6,7|2,3,4,5|3",0.0851,0.1402,0.2312,0.1801,0.1589,0.1589,0.0455,3,4,"1,2,3,4,5,6,7|3,4,5,6|3,4|3",0.7827,0.136,0.0442,0.0099,0.0099,0.0087,0.0087,1,2,"1,2,3,4,5,6,7|1"
abchurch_lane/north_to_south/002_n00007_S_R.jpg,0.9637,0.0177,0.0065,0.0019,0.0027,0.0019,0.0057,1,2,"1,2,3,4,5,6,7|1",0.0258,0.0331,0.1157,0.1021,0.2775,0.2775,0.1683,7,3,"1,2,3,4,5,6,7|5,6,7|7",0.7763,0.1529,0.0266,0.0111,0.0111,0.0111,0.0111,1,3,"1,2,3,4,5,6,7|1,2|1",0.6736,0.193,0.071,0.0296,0.018,0.0109,0.004,1,3,"1,2,3,4,5,6,7|1,2|1",0.0411,0.0411,0.0767,0.0767,0.1841,0.3439,0.2364,7,3,"1,2,3,4,5,6,7|5,6,7|7",0.8326,0.0878,0.0285,0.0092,0.0105,0.0119,0.0196,1,2,"1,2,3,4,5,6,7|1",0.1071,0.2569,0.2267,0.1375,0.1071,0.1558,0.0088,6,3,"1,2,3,4,5,6,7|2,3,6|6",0.0493,0.1519,0.2504,0.1519,0.2838,0.0921,0.0206,3,4,"1,2,3,4,5,6,7|2,3,4,5|3,4|3",0.1592,0.2316,0.2316,0.1405,0.1239,0.0965,0.0168,3,3,"1,2,3,4,5,6,7|1,2,3|3",0.8079,0.1404,0.0313,0.007,0.0048,0.0037,0.0048,1,2,"1,2,3,4,5,6,7|1"
abchurch_lane/north_to_south/003_n00006_S_L.jpg,0.9604,0.0199,0.0073,0.0019,0.0027,0.0021,0.0057,1,2,"1,2,3,4,5,6,7|1",0.0192,0.0358,0.125,0.1103,0.2998,0.2998,0.1103,6,3,"1,2,3,4,5,6,7|5,6|6",0.6583,0.2422,0.0477,0.0121,0.0106,0.0137,0.0155,1,3,"1,2,3,4,5,6,7|1,2|1",0.469,0.3223,0.1046,0.0494,0.03,0.0206,0.0041,1,3,"1,2,3,4,5,6,7|1,2|1",0.02,0.0226,0.0479,0.0543,0.1894,0.3122,0.3538,7,3,"1,2,3,4,5,6,7|5,6,7|7",0.8306,0.0992,0.0284,0.0072,0.0081,0.0092,0.0172,1,2,"1,2,3,4,5,6,7|1",0.0303,0.1746,0.3262,0.1979,0.1746,0.0935,0.0028,2,5,"1,2,3,4,5,6,7|2,3,4,5|2,3,4|2,3|2",0.0319,0.1262,0.1836,0.1262,0.3888,0.1114,0.0319,3,3,"1,2,3,4,5,6,7|3,5|3",0.2082,0.2674,0.1838,0.1115,0.0984,0.1115,0.0194,2,3,"1,2,3,4,5,6,7|1,2,3|2",0.8136,0.1248,0.0357,0.008,0.0062,0.0055,0.0062,1,2,"1,2,3,4,5,6,7|1"
abchurch_lane/north_to_south/003_n00006_S_R.jpg,0.9487,0.0253,0.0119,0.0027,0.0034,0.0024,0.0056,1,2,"1,2,3,4,5,6,7|1",0.0089,0.0213,0.1079,0.1079,0.2934,0.2589,0.2017,7,3,"1,2,3,4,5,6,7|5,6,7|7",0.3824,0.4333,0.0967,0.0277,0.0216,0.0216,0.0168,1,3,"1,2,3,4,5,6,7|1,2|1",0.28,0.28,0.1698,0.1167,0.0802,0.0625,0.0109,2,3,"1,2,3,4,5,6,7|1,2,3|2",0.0102,0.019,0.0517,0.0586,0.1805,0.3822,0.2977,7,3,"1,2,3,4,5,6,7|5,6,7|7",0.5473,0.2929,0.0654,0.0187,0.0212,0.0272,0.0272,1,3,"1,2,3,4,5,6,7|1,2|1",0.0268,0.0935,0.1746,0.1746,0.2242,0.2879,0.0184,6,4,"1,2,3,4,5,6,7|3,4,5,6|5,6|6",0.0069,0.0448,0.1772,0.2008,0.2921,0.2275,0.0508,5,4,"1,2,3,4,5,6,7|3,4,5,6|4,5|5",0.0266,0.082,0.1735,0.1531,0.1966,0.3242,0.0439,3,4,"1,2,3,4,5,6,7|3,4,5,6|3,4|3",0.5679,0.2682,0.0871,0.022,0.025,0.0194,0.0104,1,3,"1,2,3,4,5,6,7|1,2|1"
abchurch_lane/north_to_south/004_n00005_W_L.jpg,0.8628,0.0625,0.0295,0.0075,0.0123,0.0096,0.0158,1,2,"1,2,3,4,5,6,7|1",0.0705,0.0705,0.1493,0.1026,0.1692,0.2462,0.1917,6,5,"1,2,3,4,5,6,7|3,5,6,7|5,6,7|6,7|6",0.6973,0.1763,0.0347,0.0145,0.0186,0.0239,0.0347,1,3,"1,2,3,4,5,6,7|1,2|1",0.699,0.156,0.0737,0.0239,0.0186,0.0211,0.0078,1,3,"1,2,3,4,5,6,7|1,2|1",0.0498,0.0564,0.1054,0.1054,0.223,0.2864,0.1737,6,4,"1,2,3,4,5,6,7|5,6,7|6,7|6",0.8277,0.06,0.0283,0.0104,0.0152,0.0172,0.0412,1,2,"1,2,3,4,5,6,7|1",0.006,0.0347,0.1211,0.1997,0.2565,0.3731,0.0088,6,3,"1,2,3,4,5,6,7|4,5,6|6",0.0123,0.0488,0.1171,0.1033,0.4086,0.2187,0.0912,5,3,"1,2,3,4,5,6,7|5,6|5",0.0333,0.0905,0.1492,0.1492,0.1916,0.3158,0.0705,5,3,"1,2,3,4,5,6,7|3,4,5,6|5",0.7699,0.1516,0.0434,0.011,0.0097,0.0086,0.0059,1,3,"1,2,3,4,5,6,7|1,2|1"
abchurch_lane/north_to_south/004_n00005_W_R.jpg,0.9104,0.04,0.0167,0.0042,0.0079,0.0061,0.0147,1,2,"1,2,3,4,5,6,7|1",0.1077,0.035,0.0653,0.0396,0.0839,0.3759,0.2927,6,3,"1,2,3,4,5,6,7|6,7|6",0.515,0.2433,0.0895,0.0291,0.0329,0.0423,0.0479,1,3,"1,2,3,4,5,6,7|1,2|1",0.8113,0.0969,0.0356,0.0131,0.0131,0.0168,0.0131,1,2,"1,2,3,4,5,6,7|1",0.0359,0.0247,0.0461,0.0461,0.1609,0.3005,0.3859,7,3,"1,2,3,4,5,6,7|5,6,7|7",0.7987,0.0743,0.0398,0.0146,0.0188,0.0188,0.0351,1,2,"1,2,3,4,5,6,7|1",0.1373,0.2565,0.3294,0.1556,0.0833,0.0347,0.0032,3,3,"1,2,3,4,5,6,7|2,3,4|3",0.1606,0.1819,0.1819,0.0974,0.1819,0.1103,0.0859,3,4,"1,2,3,4,5,6,7|1,2,3,5|1,2,3|3",0.2447,0.1484,0.131,0.09,0.102,0.1682,0.1156,1,3,"1,2,3,4,5,6,7|1,2,6|1",0.2956,0.1793,0.2609,0.0847,0.0847,0.0847,0.0101,1,4,"1,2,3,4,5,6,7|1,2,3|1,2|1"
abchurch_lane/north_to_south/005_n00004_S_L.jpg,0.8968,0.0394,0.0186,0.0053,0.0088,0.01,0.0211,1,2,"1,2,3,4,5,6,7|1",0.045,0.0309,0.0578,0.051,0.0952,0.2933,0.4268,6,3,"1,2,3,4,5,6,7|6,7|6",0.601,0.2505,0.0493,0.016,0.0233,0.0299,0.0299,1,3,"1,2,3,4,5,6,7|1,2|1",0.704,0.1571,0.0578,0.0213,0.0213,0.0273,0.0114,1,3,"1,2,3,4,5,6,7|1,2|1",0.2546,0.0568,0.0501,0.0304,0.1061,0.175,0.3269,7,3,"1,2,3,4,5,6,7|1,6,7|7",0.7288,0.0678,0.0363,0.0171,0.032,0.0411,0.0768,1,2,"1,2,3,4,5,6,7|1",0.2023,0.3335,0.2023,0.1083,0.0843,0.058,0.0114,2,3,"1,2,3,4,5,6,7|1,2,3|2",0.0849,0.1796,0.1796,0.0962,0.2962,0.1235,0.0401,3,4,"1,2,3,4,5,6,7|2,3,5|2,3|3",0.1939,0.1711,0.151,0.0916,0.1176,0.1939,0.0808,2,4,"1,2,3,4,5,6,7|1,2,3,6|1,2|2",0.8591,0.0799,0.0259,0.0084,0.0084,0.0074,0.0108,1,2,"1,2,3,4,5,6,7|1"
abchurch_lane/north_to_south/005_n00004_S_R.jpg,0.9548,0.0198,0.0083,0.0024,0.0034,0.003,0.0083,1,2,"1,2,3,4,5,6,7|1",0.0917,0.0382,0.063,0.0433,0.0809,0.3201,0.3627,6,3,"1,2,3,4,5,6,7|6,7|6",0.6923,0.175,0.0391,0.0163,0.0237,0.0268,0.0268,1,3,"1,2,3,4,5,6,7|1,2|1",0.8645,0.0804,0.0261,0.0085,0.0085,0.0075,0.0045,1,2,"1,2,3,4,5,6,7|1",0.2273,0.0395,0.0395,0.024,0.1074,0.1378,0.4246,1,3,"1,2,3,4,5,6,7|1,7|1",0.8658,0.038,0.018,0.0085,0.0159,0.0159,0.038,1,2,"1,2,3,4,5,6,7|1",0.1441,0.2691,0.2375,0.1441,0.099,0.099,0.0072,3,4,"1,2,3,4,5,6,7|1,2,3,4|2,3|3",0.0793,0.1153,0.1307,0.0898,0.3553,0.1678,0.0617,5,3,"1,2,3,4,5,6,7|5,6|5",0.2781,0.1488,0.1159,0.0703,0.1159,0.1687,0.1023,2,4,"1,2,3,4,5,6,7|1,2,6|1,2|2",0.9219,0.0459,0.0132,0.0043,0.0043,0.0043,0.0062,1,2,"1,2,3,4,5,6,7|1"
