city,file,node_id,street,walk,side,seq,cardinal,nat_built,GVI_eye,GMI,V_sign,SVF,SFV,V_pave,GFAPI,IAS,I_raw,I,Y,D_raw,D,HW_effective,Omega,a,b,c,M,M_local,M_noA,M_local_noA,I_local,D_local,Omega_local
City of London,abchurch_lane/north_to_south/001_n00008_S_L.jpg,n00008,abchurch_lane,north_to_south,L,1,S,0.1315978183883949,0.051516148489334834,0.021578702528968947,0.06591183574879227,0.09386180108351223,0.5789186007399932,0.8851260504201681,0.4965672990063234,0.04241379310344828,0.0682308898022329,0.17062145044911065,0.5169895451350911,0.47470238084331323,0.4062561109379383,,1.0,0.4,0.2,0.4,0.30132125433799933,0.31424653333514857,0.30132125433799933,0.31424653333514857,0.27171650048935087,0.2833474741819526,1.0
City of London,abchurch_lane/north_to_south/001_n00008_S_R.jpg,n00008,abchurch_lane,north_to_south,R,1,S,0.15121885451102382,0.03054101221640489,0.01604101703046294,0.17535655833528171,0.04832699016809391,0.5688287700999566,0.8253354725787632,0.38065908612339444,0.024840266005998164,0.06593362791929722,0.16675577564230723,0.5652861127557147,0.4102782749027185,0.20655362778031255,,1.0,0.4,0.2,0.4,0.23189914531761457,0.23290878407875226,0.23189914531761457,0.23290878407875226,0.266295787661117,0.13075738162813572,1.0
City of London,abchurch_lane/north_to_south/002_n00007_S_L.jpg,n00007,abchurch_lane,north_to_south,L,2,S,0.13424521785897123,0.02945077056752184,0.011377051677520086,0.04558616371889183,0.048223956674100066,0.43244756668702916,0.9200066467264872,0.49325172630257375,0.022750675762646406,0.058357680034671046,0.15450342676511744,0.476603257910607,0.47866968293056905,0.4206867741902221,,1.0,0.4,0.2,0.4,0.28892837250368497,0.30361619091330344,0.28892837250368497,0.30361619091330344,0.24891456779198054,0.2955857550887257,1.0
City of London,abchurch_lane/north_to_south/002_n00007_S_R.jpg,n00007,abchurch_lane,north_to_south,R,2,S,0.15246203909162678,0.02298628134004214,0.01764897692997473,0.34910115783059115,0.025307752750130936,0.5742645432426454,0.8168794326241136,0.33989279164903374,0.0173295339719494,0.06436576578721455,0.16415791915329744,0.6326859827743685,0.3913672527483656,0.16390007244200577,,1.0,0.4,0.2,0.4,0.21486913530807097,0.21428454764506477,0.21486913530807097,0.21428454764506477,0.2626359968012267,0.10174867912560627,1.0
City of London,abchurch_lane/north_to_south/003_n00006_S_L.jpg,n00006,abchurch_lane,north_to_south,L,3,S,0.16002373939769116,0.025837742504409178,0.015575764827888769,0.47545248868778284,0.11723880597014928,0.610906862745098,0.8289511494252874,0.24151929707485262,0.020925110132158586,0.06714574890999636,0.16878664948593758,0.6563735151542438,0.3637985188774328,0.11475934847685512,,1.0,0.4,0.2,0.4,0.18979321223440795,0.18736659923341079,0.18979321223440795,0.18736659923341079,0.26914735525746786,0.06968909017412234,1.0
City of London,abchurch_lane/north_to_south/003_n00006_S_R.jpg,n00006,abchurch_lane,north_to_south,R,3,S,0.15795695605840349,0.09017278617710585,0.04610795753179856,0.5636586695747,0.21870364030583142,0.560428392745466,0.8121010638297873,0.6653085614950021,0.053012778144965855,0.09807923325576931,0.22740029304714612,0.6351278073381115,0.510140801156585,0.5379548490607401,,1.0,0.4,0.2,0.4,0.3940823317075365,0.4158986646563262,0.3940823317075365,0.4158986646563262,0.3480206600590398,0.4021918119637624,1.0
City of London,abchurch_lane/north_to_south/004_n00005_W_L.jpg,n00005,abchurch_lane,north_to_south,L,4,W,0.18054553676751262,0.0321510350950979,0.01812441054660267,0.6127196238554813,0.06109165207238765,0.6872653903903904,0.723040309385691,0.6455469216975493,0.02109598251807025,0.07694032746973772,0.18592394994835842,0.7462977873911613,0.4632277378671035,0.36549700279691305,,1.0,0.4,0.2,0.4,0.32171409872131995,0.3313226228564768,0.32171409872131995,0.3313226228564768,0.2928840418652409,0.24973300355929853,1.0
City of London,abchurch_lane/north_to_south/004_n00005_W_R.jpg,n00005,abchurch_lane,north_to_south,R,4,W,0.15058577289435082,0.05550346630298897,0.017626237826336027,0.37656411703829146,0.01801607809359747,0.3416106845809341,0.8422544456379043,0.3515954641350212,0.2664405684754522,0.0745718256745586,0.18166044570990922,0.5667195745085426,0.48676349274945924,0.45052551954803,,1.0,0.4,0.2,0.4,0.3279937372485207,0.34411621764417577,0.3279937372485207,0.34411621764417577,0.2870325958489393,0.32147523789606997,1.0
City of London,abchurch_lane/north_to_south/005_n00004_S_L.jpg,n00004,abchurch_lane,north_to_south,L,5,S,0.15328521572563425,0.06989297784453623,0.04012345679012349,0.23599590373783919,0.03609095307208517,0.5545112781954886,0.7149277925139995,0.3592432654739872,0.012337837317627129,0.08776721678676465,0.2063951063507727,0.5848054096204142,0.36216963176853795,0.11230044489732124,,1.0,0.4,0.2,0.4,0.19926665260947427,0.19455615378377356,0.19926665260947427,0.19455615378377356,0.320495585921704,0.06812157600884872,1.0
City of London,abchurch_lane/north_to_south/005_n00004_S_R.jpg,n00004,abchurch_lane,north_to_south,R,5,S,0.14196341560892653,0.04560837399653709,0.01455591130084192,0.3698146513680494,0.013770069143325903,0.6502866013852401,0.7936482433590402,0.3942971554819111,0.007562472599736969,0.06737590030210185,0.16917448058511314,0.6687770612033211,0.3985026238135627,0.17909946299710403,,1.0,0.4,0.2,0.4,0.22783892763848962,0.22752130674596274,0.22783892763848962,0.22752130674596274,0.2696909703405095,0.11195618557205324,1.0
