city,file,node_id,street,walk,side,seq,cardinal,usable,exclude_reason,osm_name,typology,face_id,vertical_greenery_median_round,vertical_greenery_median,vertical_hardscape_median_round,vertical_hardscape_median,green_eye_level_median_round,green_eye_level_median,sky_openness_median_round,sky_openness_median,walkable_ground_median_round,walkable_ground_median,green_softening_median_round,green_softening_median,signage_detail_median_round,signage_detail_median,facade_variation_median_round,facade_variation_median,ground_floor_activity_median_round,ground_floor_activity_median,resting_affordance_median_round,resting_affordance_median,arc_vegetation,arc_sky,arc_building,H_m,W_facade,HW_facade,HW_effective,HW_source,node_GVI,node_VEI,node_SVF_band,vertical_greenery_argmax,vertical_hardscape_argmax,green_eye_level_argmax,sky_openness_argmax,walkable_ground_argmax,green_softening_argmax,signage_detail_argmax,facade_variation_argmax,ground_floor_activity_argmax,resting_affordance_argmax,vertical_greenery_p1,vertical_greenery_p2,vertical_greenery_p3,vertical_greenery_p4,vertical_greenery_p5,vertical_greenery_p6,vertical_greenery_p7,vertical_hardscape_p1,vertical_hardscape_p2,vertical_hardscape_p3,vertical_hardscape_p4,vertical_hardscape_p5,vertical_hardscape_p6,vertical_hardscape_p7,green_eye_level_p1,green_eye_level_p2,green_eye_level_p3,green_eye_level_p4,green_eye_level_p5,green_eye_level_p6,green_eye_level_p7,sky_openness_p1,sky_openness_p2,sky_openness_p3,sky_openness_p4,sky_openness_p5,sky_openness_p6,sky_openness_p7,walkable_ground_p1,walkable_ground_p2,walkable_ground_p3,walkable_ground_p4,walkable_ground_p5,walkable_ground_p6,walkable_ground_p7,green_softening_p1,green_softening_p2,green_softening_p3,green_softening_p4,green_softening_p5,green_softening_p6,green_softening_p7,signage_detail_p1,signage_detail_p2,signage_detail_p3,signage_detail_p4,signage_detail_p5,signage_detail_p6,signage_detail_p7,facade_variation_p1,facade_variation_p2,facade_variation_p3,facade_variation_p4,facade_variation_p5,facade_variation_p6,facade_variation_p7,ground_floor_activity_p1,ground_floor_activity_p2,ground_floor_activity_p3,ground_floor_activity_p4,ground_floor_activity_p5,ground_floor_activity_p6,ground_floor_activity_p7,resting_affordance_p1,resting_affordance_p2,resting_affordance_p3,resting_affordance_p4,resting_affordance_p5,resting_affordance_p6,resting_affordance_p7,indoor,sky_share,road_share,ceiling_share
City of London,abchurch_lane/north_to_south/001_n00008_S_L.jpg,n00008,abchurch_lane,north_to_south,L,1,S,True,,abchurch_lane,,,1,1.0203836930455634,7,6.733420325452871,1,1.309096890936009,2,1.5631708065010734,6,6.310756302521009,1,1.1294722151738137,1,1.3954710144927536,4,4.47351160443996,4,3.9794037940379403,1,1.2544827586206897,,,,,,,,,,,,1,7,1,1,7,1,1,5,6,1,0.9591,0.0199,0.0083,0.0019,0.0031,0.0021,0.0057,0.0014,0.0027,0.0135,0.0197,0.0999,0.2115,0.6514,0.6079,0.2534,0.0565,0.0162,0.0184,0.0208,0.0267,0.4745,0.3261,0.0825,0.05,0.0303,0.0268,0.0098,0.0216,0.0216,0.0403,0.0456,0.1405,0.2975,0.4329,0.7882,0.1209,0.0306,0.0077,0.0112,0.0144,0.027,0.552,0.2301,0.0959,0.0353,0.0353,0.04,0.0115,0.0304,0.0936,0.1982,0.1982,0.2545,0.1749,0.0501,0.0769,0.1268,0.1845,0.1845,0.1437,0.2369,0.0467,0.6525,0.1869,0.0779,0.0197,0.0253,0.0223,0.0153,False,0.022234,0.094531,0.0
City of London,abchurch_lane/north_to_south/001_n00008_S_R.jpg,n00008,abchurch_lane,north_to_south,R,1,S,True,,abchurch_lane,,,1,1.0139431981889278,6,5.691194209891435,1,1.1832460732984293,1,1.2899619410085634,6,5.952012835472579,1,1.0962461021827776,2,2.0521393500116902,4,4.4129726205997395,3,3.2839545167403665,1,1.149041596035989,,,,,,,,,,,,1,6,1,1,6,1,2,5,3,1,0.9718,0.0139,0.0058,0.0015,0.0019,0.0013,0.004,0.0078,0.0165,0.074,0.0839,0.2583,0.3316,0.2279,0.7258,0.208,0.0281,0.0081,0.0091,0.0091,0.0117,0.6306,0.232,0.0753,0.0314,0.0168,0.0102,0.0037,0.0193,0.0248,0.0596,0.0675,0.1835,0.3428,0.3025,0.8338,0.1128,0.0222,0.0056,0.0056,0.0064,0.0135,0.2594,0.4277,0.1226,0.0579,0.0579,0.0656,0.0089,0.0302,0.1195,0.1969,0.1534,0.3679,0.1054,0.0267,0.055,0.192,0.3166,0.192,0.132,0.1028,0.0096,0.7669,0.1711,0.0382,0.0075,0.0059,0.0046,0.0059,False,0.015599,0.048196,0.0
City of London,abchurch_lane/north_to_south/002_n00007_S_L.jpg,n00007,abchurch_lane,north_to_south,L,2,S,True,,abchurch_lane,,,1,1.014954620462046,7,6.545498084291188,1,1.176704623405131,1,1.2893437400446004,7,6.520039880358923,1,1.0682623100651205,1,1.273516982313351,4,3.594685400122175,4,3.9595103578154425,1,1.1365040545758784,,,,,,,,,,,,1,7,1,1,7,1,1,3,6,1,0.9696,0.0138,0.0058,0.0015,0.0024,0.0019,0.0051,0.0035,0.0074,0.0334,0.0378,0.1165,0.2794,0.522,0.7289,0.1626,0.0411,0.0134,0.0151,0.0194,0.0194,0.6278,0.2038,0.075,0.0354,0.0276,0.0215,0.009,0.022,0.0172,0.0321,0.0321,0.1268,0.2684,0.5015,0.8753,0.0634,0.0182,0.0052,0.0076,0.0097,0.0206,0.6389,0.2074,0.0673,0.0248,0.0219,0.0281,0.0117,0.0683,0.1637,0.2382,0.1637,0.2382,0.0993,0.0285,0.0753,0.1241,0.2046,0.1593,0.1593,0.2318,0.0456,0.7769,0.135,0.0438,0.0111,0.0111,0.0111,0.0111,False,0.027394,0.096918,0.0
City of London,abchurch_lane/north_to_south/002_n00007_S_R.jpg,n00007,abchurch_lane,north_to_south,R,2,S,True,,abchurch_lane,,,1,1.0161840744570838,6,5.648977171657278,1,1.1379176880402528,1,1.1518465165007856,6,5.901276595744681,1,1.1058938615798484,3,3.094606946983547,4,4.4455872594558725,3,3.0393567498942025,1,1.1039772038316964,,,,,,,,,,,,1,6,1,1,6,1,2,5,2,1,0.967,0.0156,0.0057,0.0016,0.0024,0.0019,0.0057,0.0168,0.0277,0.0966,0.0853,0.2318,0.3373,0.2046,0.7751,0.1526,0.0265,0.0111,0.0111,0.0111,0.0125,0.7636,0.1327,0.0553,0.0231,0.0123,0.0085,0.0045,0.0289,0.0328,0.0613,0.0613,0.1887,0.3525,0.2745,0.8178,0.0977,0.0317,0.0091,0.0103,0.0117,0.0218,0.1171,0.248,0.2188,0.1327,0.1034,0.1704,0.0096,0.0336,0.1173,0.1935,0.1507,0.3614,0.1173,0.0262,0.1265,0.2363,0.2363,0.1433,0.1265,0.1116,0.0194,0.8247,0.1265,0.0282,0.0063,0.0049,0.0038,0.0056,False,0.023053,0.050835,0.0
City of London,abchurch_lane/north_to_south/003_n00006_S_L.jpg,n00006,abchurch_lane,north_to_south,L,3,S,True,,abchurch_lane,,,1,1.0200583515681982,5,5.3543605653223025,1,1.155026455026455,2,1.7034328358208957,6,5.973706896551724,1,1.0934545889673326,4,3.852714932126697,5,4.665441176470588,2,2.4491157824491157,1,1.1255506607929515,,,,,,,,,,,,1,6,1,1,6,1,3,5,2,1,0.9597,0.0199,0.0083,0.0019,0.0027,0.0019,0.0057,0.0164,0.0306,0.1067,0.1067,0.2901,0.3287,0.1209,0.756,0.1687,0.0332,0.0095,0.0095,0.0108,0.0122,0.4302,0.335,0.1232,0.0582,0.0312,0.0189,0.0033,0.0196,0.0252,0.0534,0.0605,0.1863,0.348,0.3071,0.8357,0.0881,0.0286,0.0082,0.0093,0.0105,0.0197,0.0181,0.1183,0.2838,0.221,0.221,0.1341,0.0036,0.0261,0.1169,0.1701,0.1325,0.408,0.1169,0.0296,0.206,0.2997,0.1818,0.0973,0.0859,0.1102,0.0192,0.7945,0.1381,0.0396,0.0088,0.0069,0.0061,0.0061,False,0.041554,0.085902,0.0
City of London,abchurch_lane/north_to_south/003_n00006_S_R.jpg,n00006,abchurch_lane,north_to_south,R,3,S,True,,abchurch_lane,,,1,1.0243748686698888,5,5.460777126099707,2,1.5410367170626351,2,2.3122218418349885,6,5.872606382978724,1,1.2766477451907914,4,4.3819520174482,4,4.362570356472796,5,4.991851368970012,1,1.3180766688697951,,,,,,,,,,,,1,5,1,2,6,1,5,5,6,1,0.9518,0.0254,0.0106,0.0024,0.003,0.0018,0.005,0.0082,0.0198,0.1003,0.1137,0.2728,0.2728,0.2124,0.4756,0.3704,0.0729,0.0209,0.0209,0.0209,0.0184,0.2578,0.2921,0.1772,0.1218,0.0837,0.0575,0.01,0.0114,0.0212,0.0577,0.074,0.2013,0.376,0.2584,0.6342,0.2333,0.0521,0.0149,0.0192,0.0217,0.0246,0.0248,0.0981,0.2078,0.1834,0.2354,0.2354,0.0151,0.0106,0.0692,0.2416,0.2132,0.2738,0.1661,0.0255,0.0302,0.0821,0.1739,0.1534,0.1534,0.3681,0.0388,0.6052,0.2523,0.0819,0.0183,0.0183,0.0142,0.0098,False,0.018669,0.147462,0.0
City of London,abchurch_lane/north_to_south/004_n00005_W_L.jpg,n00005,abchurch_lane,north_to_south,L,4,W,True,,abchurch_lane,,,1,1.11934594662323,5,5.080452545568825,1,1.1929062105705874,1,1.3665499124343259,5,5.338241856314146,1,1.108746463279616,5,4.676317743132888,5,5.123592342342342,5,4.873281530185296,1,1.1265758951084215,,,,,,,,,,,,1,6,1,1,6,1,4,5,6,1,0.7981,0.0841,0.0397,0.0114,0.0241,0.0213,0.0213,0.0965,0.0852,0.1591,0.1094,0.1591,0.2315,0.1591,0.7133,0.1804,0.0355,0.0115,0.0148,0.0168,0.0277,0.571,0.1854,0.1274,0.0414,0.0322,0.0322,0.0105,0.0441,0.0642,0.1059,0.12,0.2241,0.2877,0.154,0.8129,0.0756,0.0357,0.0102,0.0149,0.0149,0.0357,0.0049,0.0365,0.1442,0.2694,0.2694,0.2694,0.0063,0.0138,0.0545,0.1153,0.1018,0.3552,0.2441,0.1153,0.0423,0.1015,0.1673,0.1476,0.1673,0.3125,0.0615,0.7932,0.1378,0.0395,0.0088,0.0078,0.0069,0.0061,True,0.0,0.0,0.234237
City of London,abchurch_lane/north_to_south/004_n00005_W_R.jpg,n00005,abchurch_lane,north_to_south,R,4,W,True,,abchurch_lane,,,1,1.0532873512070307,6,5.941313340227508,1,1.3330207978179338,1,1.1080964685615848,6,6.053526673827426,1,1.1057574269580162,3,3.259384702229749,3,3.0496641074856043,3,3.109572784810127,3,2.598643410852713,,,,,,,,,,,,1,6,1,1,7,1,3,2,1,1,0.8989,0.0448,0.0187,0.0053,0.01,0.0078,0.0145,0.0863,0.036,0.0863,0.0524,0.0863,0.3868,0.2659,0.5866,0.2158,0.0701,0.0227,0.0292,0.0331,0.0425,0.8127,0.0971,0.0357,0.0149,0.0116,0.0149,0.0131,0.0485,0.0334,0.0623,0.0485,0.1694,0.2793,0.3586,0.8146,0.0669,0.0358,0.0132,0.0169,0.0169,0.0358,0.0616,0.1674,0.3543,0.2435,0.115,0.0543,0.0039,0.1432,0.2084,0.2084,0.1116,0.1623,0.0984,0.0677,0.2362,0.1433,0.1264,0.0869,0.1116,0.184,0.1116,0.2923,0.1773,0.258,0.0838,0.0838,0.0949,0.01,True,0.0,0.0,0.0941
City of London,abchurch_lane/north_to_south/005_n00004_S_L.jpg,n00004,abchurch_lane,north_to_south,L,5,S,True,,abchurch_lane,,,1,1.0637983880122601,6,5.876195028680688,1,1.4193578670672173,1,1.216545718432511,5,5.289566755083997,1,1.240740740740741,2,2.415975422427035,4,4.327067669172932,3,3.1554595928439233,1,1.0740270239057628,,,,,,,,,,,,1,6,1,1,1,1,2,5,6,1,0.8809,0.0497,0.0235,0.0067,0.0111,0.0098,0.0183,0.0793,0.0545,0.0899,0.07,0.1154,0.3138,0.2769,0.5326,0.2851,0.0636,0.0206,0.03,0.034,0.034,0.689,0.1537,0.0641,0.0236,0.0267,0.0303,0.0126,0.2713,0.0605,0.0605,0.0367,0.1131,0.1865,0.2713,0.6615,0.0895,0.0543,0.02,0.0373,0.0479,0.0895,0.1975,0.3255,0.2237,0.1057,0.0823,0.0566,0.0087,0.0645,0.1548,0.1754,0.1064,0.3277,0.1366,0.0345,0.1837,0.1837,0.1621,0.0983,0.1114,0.2081,0.0526,0.8659,0.0805,0.0261,0.0066,0.0075,0.0058,0.0075,True,0.0,0.0,0.032122
City of London,abchurch_lane/north_to_south/005_n00004_S_R.jpg,n00004,abchurch_lane,north_to_south,R,5,S,True,,abchurch_lane,,,1,1.030093577201191,6,6.22595596755504,1,1.2736502439792226,1,1.0826204148599554,6,5.761889460154241,1,1.0873354678050515,3,3.2188879082082966,5,4.90171960831144,3,3.3657829328914666,1,1.0453748355984218,,,,,,,,,,,,1,7,1,1,7,1,2,5,1,1,0.9404,0.0251,0.0118,0.003,0.0049,0.0044,0.0104,0.06,0.0283,0.0467,0.0412,0.0873,0.3452,0.3912,0.6353,0.2337,0.046,0.0169,0.0217,0.0246,0.0217,0.8533,0.0899,0.0258,0.0095,0.0084,0.0074,0.0057,0.2565,0.0446,0.0393,0.0239,0.1069,0.1556,0.3732,0.8433,0.0476,0.0225,0.0094,0.0154,0.0198,0.042,0.1071,0.2266,0.2266,0.1558,0.1213,0.1558,0.0068,0.05,0.0934,0.12,0.0934,0.4187,0.1745,0.05,0.199,0.155,0.1207,0.083,0.1368,0.199,0.1065,0.9124,0.0515,0.0147,0.0048,0.0048,0.0048,0.007,True,0.0,0.0,0.324779
