file,node_id,side,walkable_ground__a,walkable_ground__b,facade_variation__a,facade_variation__b,vertical_hardscape__a,vertical_hardscape__b,street,walk
2nd_avenue/north_to_south/25_n00054_S_L.jpg,n00054,L,3.0,3.0,3.0,3.0,2.0,3.0,2nd_avenue,north_to_south
east_39th_street/east_to_west/02_n00547_W_L.jpg,n00547,L,1.0,1.0,3.0,7.0,3.0,7.0,east_39th_street,east_to_west
1st_avenue/south_to_north/35_n00045_N_R.jpg,n00045,R,3.0,3.0,3.0,3.0,3.0,7.0,1st_avenue,south_to_north
east_35th_street/east_to_west/12_n00349_W_L.jpg,n00349,L,2.0,1.0,3.0,5.0,3.0,6.0,east_35th_street,east_to_west
2nd_avenue/south_to_north/06_n00051_N_L.jpg,n00051,L,3.0,3.0,3.0,5.0,5.0,5.0,2nd_avenue,south_to_north
east_36th_street/west_to_east/17_n00377_E_L.jpg,n00377,L,5.0,6.0,3.0,5.0,5.0,6.0,east_36th_street,west_to_east
Park_Ave_West/north_to_south/06_n00229_S_R.jpg,n00229,R,3.0,3.0,3.0,5.0,7.0,7.0,Park_Ave_West,north_to_south
Park_Ave_West/south_to_north/07_n00215_N_R.jpg,n00215,R,3.0,6.0,3.0,3.0,1.0,1.0,Park_Ave_West,south_to_north
east_35th_street/east_to_west/24_n00337_W_L.jpg,n00337,L,3.0,3.0,3.0,5.0,6.0,6.0,east_35th_street,east_to_west
east_36th_street/east_to_west/27_n00381_W_L.jpg,n00381,L,3.0,3.0,3.0,3.0,6.0,6.0,east_36th_street,east_to_west
east_34th_street/west_to_east/33_n00299_E_R.jpg,n00299,R,3.0,5.0,3.0,5.0,5.0,3.0,east_34th_street,west_to_east
Tunnel_Exit_Street/north_to_south/16_n00251_S_L.jpg,n00251,L,3.0,3.0,3.0,1.0,6.0,7.0,Tunnel_Exit_Street,north_to_south
madison_avenue/south_to_north/13_n00735_N_R.jpg,n00735,R,3.0,3.0,3.0,5.0,3.0,6.0,madison_avenue,south_to_north
Park_Ave_East/north_to_south/17_n00122_S_R.jpg,n00122,R,5.0,7.0,3.0,3.0,1.0,1.0,Park_Ave_East,north_to_south
east_34th_street/west_to_east/15_n00281_E_L.jpg,n00281,L,3.0,3.0,3.0,5.0,6.0,6.0,east_34th_street,west_to_east
east_35th_street/west_to_east/21_n00334_E_L.jpg,n00334,L,3.0,5.0,3.0,5.0,3.0,3.0,east_35th_street,west_to_east
east_34th_street/east_to_west/47_n00267_W_R.jpg,n00267,R,3.0,6.0,3.0,1.0,7.0,7.0,east_34th_street,east_to_west
Tunnel_Exit_Street/north_to_south/08_n00259_S_L.jpg,n00259,L,3.0,3.0,3.0,5.0,6.0,7.0,Tunnel_Exit_Street,north_to_south
madison_avenue/north_to_south/28_n00729_S_R.jpg,n00729,R,3.0,6.0,3.0,7.0,5.0,6.0,madison_avenue,north_to_south
madison_avenue/south_to_north/31_n00753_N_R.jpg,n00753,R,3.0,3.0,3.0,7.0,6.0,7.0,madison_avenue,south_to_north
east_39th_street/west_to_east/05_n00506_E_L.jpg,n00506,L,3.0,5.0,3.0,7.0,6.0,6.0,east_39th_street,west_to_east
east_40th_street/east_to_west/21_n00574_W_L.jpg,n00574,L,3.0,6.0,5.0,7.0,7.0,7.0,east_40th_street,east_to_west
east_39th_street/east_to_west/41_n00508_W_R.jpg,n00508,R,3.0,3.0,3.0,3.0,6.0,6.0,east_39th_street,east_to_west
Tunnel_Exit_Street/south_to_north/12_n00261_N_L.jpg,n00261,L,3.0,3.0,3.0,3.0,6.0,7.0,Tunnel_Exit_Street,south_to_north
