osm_name,n,typology,GVI,VEI,HW,W_n,GVI_lo,GVI_hi
Park Avenue,37,avenue_canyon,14.016139879349415,0.8662133629492735,1.177580947110856,35,11.72,18.44
East 37th Street,36,mid_block,4.630967114263203,0.8633560443426936,0.8843196447911378,27,2.92,5.64
East 36th Street,35,mid_block,4.444984181018258,0.8484716471933456,0.8240416823541213,21,3.55,5.08
East 35th Street,45,mid_block,4.1926699989610645,0.851317030029234,0.799581998938544,30,3.34,5.0
East 38th Street,44,mid_block,3.779423243814271,0.8877401618363693,0.9757894107068044,36,3.05,4.69
East 34th Street,46,mid_block,2.889261893107945,0.8885630002705379,0.7564430941047138,38,2.61,3.9
2nd Avenue,32,avenue_secondary,2.395802662577621,0.8277931789297536,1.1587566539326266,20,1.6,3.31
Lexington Avenue,25,avenue_canyon,2.2274367351476023,0.9010392728966887,0.9081330703231493,25,0.82,2.55
3rd Avenue,34,avenue_secondary,1.7617732897009195,0.8922936506107446,1.1453003873556196,26,1.14,2.7
East 39th Street,44,mid_block,1.6921996397100836,0.9268858256010184,0.9817293665709179,36,1.31,2.35
1st Avenue,43,avenue_secondary,1.3635176728703278,0.6026984205000255,0.6151098052403681,8,0.91,2.36
East 40th Street,44,mid_block,1.2820199120689986,0.9369548681199831,2.0450024979995978,36,0.78,2.49
Madison Avenue,27,avenue_canyon,0.5516793740587556,0.9253874135043946,2.8063035345632956,22,0.23,1.46
East 41st Street,42,mid_block,0.4335878375490111,0.9494211937864098,4.574108062363116,33,0.12,0.92
East 42nd Street,44,mid_block,0.13953809646279058,0.9291391461615086,2.8636303891743835,29,0.05,0.21
