node_id,pano_id,pano_date,pano_offset_m
n00044,OcAdKqVHpJBWZ04T3RKsyA,2021-05,2.498293645452464
n00141,g5gjCjVOEWChkWQ85-YOhw,2024-09,1.2528696879225123
n00142,KZtpyQqXvUjjkc_zl66Qpw,2024-07,1.488078365028202
n00143,nmao-iaqH5YVKmM5GF61Qg,2024-09,4.037603533283234
n00188,wXme8kfEA6KHSiWrJZZzMA,2019-06,8.856243220860899
n00202,OuIPpkbw9wK6wb2dIN4kgQ,2022-07,4.41323093447825
n00204,fUP7r9Om4SLCIuYg_pev1Q,2022-07,5.006861673905235
n00206,W5OX2Ih4xCN1Pe_v-ZCQhg,2022-07,4.655683311490538
n00208,f31esDnyEDV3NsgZd4HLsQ,2022-07,3.888759761306394
n00235,DhexN-k0OoCxKA8Up9LYjQ,2024-07,4.323381889759813
n00237,T1ZWyuHQCjr7KF3yIhTSUQ,2024-07,5.1486095764464
n00239,_dG0QcfE9v0TbgEUM0507w,2024-07,4.061713160812737
n00246,f_exQ_6vZTaR6zR_eE7lrQ,2023-05,3.856598037776872
n00247,5zJ4KmGYeRBA0EY7Zz3pFg,2023-05,2.9217870802700605
n00248,8r51w3vqGW-snLd05haDXA,2023-05,3.0702131957826118
n00249,iw_mIaQY-P432SCzmF0S0g,2023-05,1.44808741120331
n00433,UB_D8QS-GzB7kc01SWa2JA,2021-09,3.7052039676840702
n00446,25YdfkuLrcKfLecFzHSKhg,2021-05,4.116378666992231
n00447,Ea-T3kPlw5iwMHDrHOJFjw,2024-09,2.86365528986446
n00448,4pNgL7y58eOF1LEMhdLY5w,2024-09,3.577213522457059
n00449,CYMkeBh1FoXvJU5YUUGOBw,2024-09,5.548806605060299
n00451,Wc3Za0uN6mxNmfmuXHkfeQ,2024-09,2.1304419546992333
n00452,9tTVIZgSddfGIJeYWE_3EQ,2024-09,2.999730648782616
n00454,v8EDKJBfKy5hXmUhE67enA,2024-09,1.974095260667104
n00639,-UuHfZxyLSnkrSY4QaEJ0A,2017-11,3.075891356930532
n00640,FPQ2tXIGJoWuAAOQixCNag,2017-09,1.3338019927709814
n00688,Knaf1qYcqkmuT3dquz8CQA,2022-07,5.4092487497428206
n00712,CAoSF0NJSE0wb2dLRUlDQWdJQ3F5LV9Db0FF,2021-04,1.9545622136431815
n00757,qQE2Fc8kEFK1DyNq3Vq8xw,2021-05,6.692592504293161
n00758,16XK7dWFDYfHneEdmKmrBg,2021-05,5.720475433774514
n00759,dBK3wbHpBYkDsE8v5_resA,2021-05,4.93184398306697
