node_id,H_m,VEI,Wc,Wb,face_id,hwc,hwb
n00000,12.737592,0.7572749729537567,,37.91513840589474,f1,,0.3359500330353446
n00001,27.459432000000003,0.7494814100794457,,,f1,,
n00002,41.86732800000001,0.8050657532559079,67.43173828269983,67.38558875663485,f1,0.6208846022102535,0.621309819688675
n00003,41.86732800000001,0.8497553498720423,68.46637894300804,69.70373976463146,f1,0.611502005018415,0.6006467965904464
n00004,33.569713660032,0.7760906129185163,67.34635764720352,67.59101642152257,f1,0.4984636858297257,0.4966593999811877
n00005,26.483592830016,0.6871678155598397,,,f1,,
n00006,99.080856830016,0.6893878035142189,58.209976002070164,58.99567092680267,f1,1.7021284603603395,1.679459785328113
n00007,99.080856830016,0.6748072135076166,57.58034168249005,57.82381787728213,f1,1.7207410365219504,1.7134955882763143
n00008,99.080856830016,0.6774725230797686,,,f1,,
n00009,164.592,0.5985825264923436,,,f1,,
n00010,99.9744,0.5878376102486164,,,f1,,
n00011,99.9744,0.5951006692478065,,,f1,,
n00012,63.922656,0.6345049971599115,94.84039359700878,,f1,0.6740024326724862,
n00013,27.870912,0.5868522748092759,,109.5656392505912,f1,,0.2543763920023824
n00014,27.171396,0.714707182126892,52.5120547599735,54.83782001347347,f1,0.5174315902167091,0.4954864360640901
n00015,27.171396,0.7640134878831241,51.78732838481773,78.6317639403922,f1,0.524672672783903,0.34555241594983954
n00016,27.870912,0.6507512161862778,79.05923620809145,83.8589412591279,f1,0.3525320169630921,0.33235468492116577
n00017,35.48634,0.6003349052351582,68.9090429650844,84.68003029738861,f1,0.5149736300644984,0.4190638557328709
n00018,44.500800000000005,0.5186422324751853,,,f1,,
n00019,44.500800000000005,0.572299613657707,,,f1,,
n00020,92.202,0.5847655031455594,,,f1,,
n00021,92.202,0.5943332297379051,,,f1,,
n00022,139.9032,0.5824060453049993,,,f1,,
n00023,139.9032,0.5824060453049993,,,f1,,
n00025,139.9032,0.5675092316281081,,,f1,,
n00026,114.66576,0.531274004450575,,,f1,,
n00027,114.66576,0.531274004450575,,,f1,,
n00028,114.66576,0.5591901705487159,,,f1,,
n00029,114.66576,0.5591901705487159,,,f1,,
n00030,89.42832,0.5776011699830677,,,f1,,
n00031,89.42832,0.5824531313236516,,,f1,,
n00032,89.42832,0.5892452867565141,,,f1,,
n00033,89.42832,0.5655319375816512,,,f1,,
n00034,83.838288,0.583737671518041,,,f1,,
n00035,89.42832,0.5539720459261379,,,f1,,
n00036,83.838288,0.596876532546461,,,f1,,
n00037,,0.5898574533034389,102.84752269038094,110.79413113387304,f1,,
n00038,78.24825600000001,0.6348132757776395,99.55627681005694,110.51535363989893,f1,0.7859700915622786,0.7080306348651121
n00039,,0.5980649727436176,,,f1,,
n00040,78.24825600000001,0.6301954983937154,81.94846476956556,90.62235437413108,f1,0.9548471252027683,0.8634542386413284
n00041,,0.6165555665346012,110.2897140138218,,f1,,
n00042,77.27016390691202,0.6083693140264618,97.02892329013879,,f1,0.796362170028997,
n00043,18.373344000000003,0.610083536095573,91.56390132157979,108.81875503038033,f1,0.20066143681964074,0.1688435416750585
n00045,18.373344000000003,0.6017595356297097,63.85671811874248,70.21413942085246,f1,0.28772765875368833,0.26167584124150667
n00046,13.130784,0.6452019629575126,103.01315160180471,,f2,0.1274670641158207,
n00047,13.133832000000002,0.6627843205698145,52.63823941841543,53.04074631346438,f2,0.249511232615526,0.2476177827962798
n00048,13.149072,0.7359616330858161,52.573512342722054,53.08627287287191,f2,0.25010830385998123,0.24769250671428142
n00049,13.149072,0.7585139405500291,30.64143255736225,30.941466638736674,f2,0.4291271948654587,0.42496602224854557
n00050,13.478256,0.6439298411407739,73.33152710023971,46.84288675770772,f2,0.18379892705051742,0.287733249014211
n00051,13.587984,0.6351836244522436,89.29596990829404,,f2,0.15216794233776404,
n00052,17.6784,0.5939905413467659,,,f2,,
n00053,17.821656,0.6266483834946552,,,f2,,
n00054,18.01368,0.5725206203927834,,,f2,,
n00055,11.90244,0.525839561665407,,,f2,,
n00056,5.7912,0.5098561521373237,91.61138152120536,91.29778613526193,f2,0.06321485282545931,0.0634319871833482
n00057,5.7912,0.0010045264911365927,,,f2,,
n00058,19.927824,0.5533182199788219,,,f2,,
n00059,19.38528,0.7969942394231408,30.736440641834783,32.7822240374605,f2,0.6306937171383165,0.5913351082540431
n00060,18.908268,0.786189064267502,30.8552810742124,31.81196615757026,f2,0.6128049183710975,0.5943759623766738
n00061,18.908268,0.8035071387463185,30.5662848453567,30.86935617364713,f2,0.6185988286002752,0.6125255056709542
n00062,18.231612,0.755958426175973,59.8917011273584,48.98480183955486,f2,0.30440965370529166,0.3721891549080047
n00063,18.231612,0.8306809111043749,30.699466760281904,30.639113546382728,f2,0.5938738982785049,0.5950437166662883
n00064,17.63268,0.8613074548545518,30.936346364783624,31.672310600939284,f2,0.5699664657256409,0.5567222493542066
n00065,36.237672,0.885113507292102,29.776399440053144,31.35590784849457,f2,1.2169930777881628,1.1556888154887153
n00066,67.056,0.8499455648994558,61.13936872777408,57.94834123359068,f2,1.0967728551233493,1.1571685845104038
n00067,78.92796,0.8809695721744752,66.87382131772577,66.45564307665069,f2,1.1802519796947677,1.1876788237375657
n00068,90.52560000000001,0.8635844459231142,32.65759829217771,32.95107661881643,f2,2.771961342352695,2.747272905441461
n00069,78.7908,0.855215280162819,45.735861796210486,71.49114558601383,f2,1.7227356587501395,1.102105713290098
n00070,108.603288,0.8588088646761599,,95.38139513915362,f2,,1.1386212986458912
n00071,83.207352,0.8909621177067578,33.945765197535934,34.60360196712183,f2,2.451185045197917,2.404586438112957
n00072,60.707015999999996,0.910009870102063,30.44269628450441,30.726330979794177,f2,1.9941405791608668,1.9757326717570445
n00073,65.902332,0.9087788567856553,30.540271066773563,30.489251274639336,f2,2.1578830081733873,2.1614939444189276
n00074,65.902332,0.871343132897917,59.3000636751608,68.90751191130451,f2,1.1113366144260097,0.956388210400447
n00075,71.570088,0.9209137187058226,31.18718509565349,31.52118340055702,f2,2.294855652425477,2.270539373173891
n00076,106.797894091872,0.9149757913851817,34.968517791758615,35.35246728208244,f2,3.054115554106847,3.02094598489311
n00077,106.797894091872,0.8919055388429941,42.03024995940329,42.11994405877371,f2,2.5409768962836834,2.5355659053783968
n00078,95.687388,0.8495892437519666,99.11700464362238,,f2,0.9653983021787871,
n00079,85.78291200000001,0.8628622766112855,31.01741600434685,31.345610521395724,f2,2.7656369566045798,2.7366802105017785
n00080,50.292,0.8127424475231887,48.26558428444107,48.57766303531652,f3,1.041984692521627,1.035290643015024
n00081,83.588352,0.8303779531623176,98.84108658542307,114.6128312646124,f3,0.8456842684318232,0.729310593567097
n00082,16.770096000000002,0.8907039381547024,31.11555108362579,31.064521607580417,f3,0.538961882916002,0.5398472318951706
n00083,16.562832,0.8926248683511889,30.768727165040083,31.03137346210128,f3,0.5383008504433343,0.5337447283868451
n00084,16.66494,0.9127786660189549,30.799105413364906,31.41323629771787,f3,0.5410851963501657,0.5305069443357763
n00085,16.242792,0.8319513673383633,59.97010401416841,77.96825322993607,f3,0.27084815454317895,0.2083257136991181
n00086,34.923984000000004,0.9156046182212325,30.172375597015478,30.308338798000626,f3,1.1574820778598067,1.152289613520615
n00087,34.923984000000004,0.9159215417456658,30.39050751475476,30.97299190596607,f3,1.1491740959917902,1.127562493995709
n00088,34.923984000000004,0.8841413968995687,30.820923432035805,30.933077570752033,f3,1.1331258155522819,1.1290174383754648
n00089,14.749272000000001,0.8168827370251667,62.2186914341647,57.365665250217944,f3,0.2370553230873814,0.25710975259620067
n00090,17.978628,0.8948716968585668,30.465813580237636,30.51815391012521,f3,0.5901246639171408,0.5891125673245625
n00091,14.749272000000001,0.8701959413780981,30.160509662531386,30.716559495075593,f3,0.489025953640403,0.4801733085492394
n00092,18.223992,0.8596818030007679,30.49867045598869,30.639232949915222,f3,0.5975339818926944,0.5947926969904912
n00093,18.528792,0.7917373276611548,65.59766325115459,54.9494667141805,f3,0.2824611591583466,0.33719693944215073
n00094,15.508224000000002,0.8574959320663855,33.64268064774606,33.929273437584165,f3,0.46096873677748973,0.45707503959755347
n00095,39.873936,0.8919645713712419,33.24838290464422,33.56081905868483,f3,1.19927444635,1.188109739821188
n00096,45.034200000000006,0.9088987378434369,33.971927127637194,34.29087010884648,f3,1.3256298305009409,1.3133000083419268
n00097,55.168800000000005,0.8252657670507796,62.1497698397203,73.41653091654769,f3,0.8876750491961,0.7514492895709032
n00098,36.182808,0.8702823027662436,53.8228788340843,54.14336445878191,f3,0.6722570175322282,0.6682777910402139
n00099,17.196816000000002,0.8947684599688367,30.18176869147042,30.445720234921573,f3,0.5697749583794254,0.5648352499894244
n00100,17.196816000000002,0.9027225286477564,30.08168490869724,30.207273062638023,f3,0.5716706378713529,0.569293890393236
n00101,14.613636000000001,0.8507072838246662,60.33702104202605,62.983080812228025,f3,0.24220015750895765,0.2320247884279868
n00102,165.257988,0.8999478600475814,34.06858992735085,41.70677744979974,f3,4.850743407707874,3.9623772946474323
n00103,165.257988,0.9088447982221151,33.99765296984868,34.30540288461407,f3,4.860864605758565,4.817258335541018
n00104,157.834584,0.8988430780859945,41.20417564279331,40.565437322069734,f3,3.830548276667333,3.89086361246079
n00105,156.972,0.8748941773061667,65.78734921533916,48.59029787724629,f3,2.386051450198878,3.2305214591719214
n00106,155.7528,0.8863744414315442,35.95980993009856,34.12141921568897,f3,4.331302092607394,4.56466359196411
n00107,155.7528,0.9260758370493768,33.65289872817341,33.95732417711277,f3,4.6282134938232655,4.586721827303972
n00108,130.65556800000002,0.9334412659440678,30.91625498130781,31.429302826157468,f3,4.2261123825959945,4.157125874623605
n00109,130.65556800000002,0.8987257356780256,48.25092361600839,31.757072080438657,f3,2.7078355854861176,4.114219587657757
n00110,138.746484,0.9300017123100309,30.97053247457834,31.25787277199686,f3,4.47995151887969,4.438769234619814
n00111,138.746484,0.9384581091301922,30.970547700251796,31.265835176330995,f3,4.479949316455646,4.4376388226160195
n00112,129.47599200000002,0.9362008006803565,30.970503162779877,31.439525259496474,f3,4.180622811307868,4.118255314968254
n00113,121.717308,0.8830953691589569,100.64412233258551,,f3,1.2093831728968403,
n00114,123.844442900916,0.847333042866647,59.24068652399815,62.194291848359455,f4,2.090530177275159,1.9912509527863163
n00115,52.114703999999996,0.8351473826504238,106.6525876853564,,f4,0.4886398457930285,
n00116,50.3682,0.849431576972012,42.774859552949565,42.73156984313339,f4,1.1775187698197092,1.1787116687943013
n00117,49.554384000000006,0.8849640910754822,42.92193121231113,43.17210661702061,f4,1.1545236339642266,1.1478333554486124
n00118,46.640496000000006,0.8657869706993279,43.06821490152842,43.29038726581128,f4,1.0829447216848733,1.0773868968558404
n00119,49.961292,0.7793826354500019,61.20191061405206,58.08991738567001,f4,0.8163354950642473,0.8600682226538123
n00120,62.484,0.8572373058558084,42.73241272158296,43.11863823897269,f4,1.4622155881322625,1.4491181204216224
n00121,63.573830235372,0.8795135473193173,44.78187736157446,45.175627997005435,f4,1.4196329850593126,1.4072594683041513
n00122,59.28017882574,0.9079806916925328,43.390176723722604,43.43923758493244,f4,1.3662119701238713,1.3646689518856157
n00123,59.28017882574,0.8021870003671773,70.99594553054646,87.83692218624172,f4,0.8349797778273735,0.674889071136253
n00124,56.07635765148,0.8614890657747014,42.407798303743114,42.66148968291254,f4,1.3223124023048005,1.314449121872568
n00125,55.241952000000005,0.883037271218506,42.718658851555354,43.15969555599879,f4,1.293157451219672,1.2799430414963133
n00126,54.199162825740004,0.8632962100968444,42.85770198006748,42.745184607920976,f4,1.2646306339744318,1.2679594981956523
n00127,48.31842,0.7964967665432046,64.83835731859341,61.68224153038189,f4,0.7452135124673176,0.7833441003631577
n00128,42.341292,0.8364263231564987,42.930240914702615,43.1618164228786,f4,0.9862812576367138,0.9809895761837385
n00129,35.012376,0.8814786581643276,43.10533548283017,44.065722744789895,f4,0.8122515602261401,0.7945490013355038
n00130,42.39768000000001,0.8920596087046592,43.53727789100349,44.144280067975785,f4,0.9738247785298729,0.9604342835518833
n00131,46.46980800000001,0.8172039136794778,71.31923231388397,68.75152635221338,f4,0.6515747084248068,0.67590947380478
n00132,50.081688,0.8273821668901398,43.10149783441281,43.60655934525578,f4,1.1619477400159888,1.1484897857562497
n00133,50.081688,0.8967503920768309,43.80641483189681,44.331269475537404,f4,1.1432500968678672,1.1297147271551913
n00134,56.845200000000006,0.914411790211282,43.46552232660839,43.53892156730629,f4,1.3078227744016078,1.3056180069164942
n00135,97.249488,0.8773897107473168,72.10127467018745,64.74821044035599,f4,1.3487901350544482,1.5019641058586966
n00136,97.249488,0.9117584971939149,43.337755628006406,50.71096359302354,f4,2.243989948043223,1.9177211614527259
n00137,126.650496,0.91030566757208,47.595711536174534,50.2298463383771,f4,2.6609644422216663,2.5214191408591917
n00138,126.650496,0.9317003598349568,43.08379016373923,43.21346336139112,f4,2.939632179960651,2.93081105165839
n00139,145.173192,0.8881758750569347,65.6053658743024,82.79313587869675,f4,2.2128249734655365,1.7534447808897897
n00140,145.173192,0.8864193409445952,66.09281506599461,86.4341591196567,f4,2.1965048977720576,1.6795812382350692
n00144,109.441488,0.9215759053021537,,10.256031353408467,f5,,10.670939296965825
n00145,95.32315200000001,0.9188465457806329,,10.101999409219683,f5,,9.436067865238881
n00146,95.32315200000001,0.9185010990011335,,10.192923815911627,f5,,9.351894875462147
n00147,95.32315200000001,0.8767131026947266,,25.71148442447772,f5,,3.7074153489656525
n00148,70.582536,0.901061558498879,68.9617732707186,80.29728691872896,f5,1.0235023354593695,0.8790152034830079
n00149,45.84192,0.940631365587198,51.115756281991295,55.883456072953365,f5,0.8968256235338274,0.8203129015527496
n00150,72.26808,0.9796513058812173,51.05688038111962,55.81896179536664,f5,1.4154425311642052,1.2946869249366575
n00151,72.26808,0.971564079684451,55.70730269506277,57.81593037900816,f5,1.2972819810643061,1.2499682963891061
n00153,29.311092000000002,0.7344318047125633,,,f8,,
n00154,52.114703999999996,0.842386350529492,113.50394965290752,,f9,0.4591444100347659,
n00155,17.105376,0.8758170193389012,16.18616943021614,16.40037853580057,f8,1.0567896297976405,1.04298665806161
n00156,50.3682,0.8569892807986123,42.78382016396949,42.677981773848906,f9,1.1772721511768536,1.1801917032277123
n00157,27.168348,0.8534569231375475,16.186193262835893,16.916672217534003,f8,1.678489040556531,1.6060101922315557
n00158,49.554384000000006,0.8745631925240488,42.93089475387689,43.14789199893376,f9,1.154282580973344,1.1484775200889201
n00159,27.168348,0.8972768868565523,13.704053399629355,13.500390643651894,f8,1.982504534077108,2.012411989928233
n00160,49.554384000000006,0.8732032982806274,43.077478293640006,43.295888854766076,f9,1.150354801694979,1.144551718668434
n00161,17.105376,0.6261985014606439,95.61070397502209,98.30288431300085,f8,0.1789064957043796,0.17400685767810947
n00162,49.554384000000006,0.8238069131875859,60.76609282579861,65.196206869956,f9,0.8154939983069208,0.7600807835161937
n00163,17.105376,0.5802045073743742,,,f8,,
n00164,62.484,0.8471172321908992,42.726749739040734,43.13939463708966,f9,1.4624093894721524,1.4484208813231367
n00165,,0.48653560004736385,,,f8,,
n00166,63.573830235372,0.8554707929926727,44.776040410078686,45.20907498288686,f9,1.4198180467306818,1.4062183369033057
n00167,,0.4427330580581144,,,f8,,
n00168,63.573830235372,0.9079806916925328,43.384403376042485,43.459592912441366,f9,1.4653614038283265,1.4628261788704524
n00169,,0.4844191708171872,,,f8,,
n00170,59.28017882574,0.8206270409832432,69.8138178802786,80.653353166763,f9,0.849118134856879,0.7349995567223259
n00171,55.241952000000005,0.8614890657747014,42.416838470261915,42.66841843194787,f9,1.3023590157180072,1.2946800943209493
n00172,55.241952000000005,0.883037271218506,42.728404537678315,43.169146015489474,f9,1.2928625020690188,1.2796628402187689
n00173,52.321968,0.8632962100968444,42.86674574087351,42.748811521410026,f9,1.2205724296470426,1.2239397105530154
n00174,51.300888,0.7996938488344089,61.47855342940143,58.894429353763485,f9,0.8344517744535271,0.8710652019709528
