file,node_id,side,GVI,VEI,face_id,variant,vertical_greenery,vertical_hardscape,green_eye_level,green_softening,signage_detail,enclosure,facade_variation,walking_room,ground_floor_activity,rest_affordance
east_39th_street/east_to_west/47_n00502_W_R.jpg,n00502,R,0.0,0.8907808313204317,f21,full,1.0,7.0,1.0,1.0,5.0,7.0,5.0,3.0,3.0,1.0
east_39th_street/east_to_west/47_n00502_W_R.jpg,n00502,R,0.0,0.8907808313204317,f21,group,1.0,7.0,1.0,1.0,7.0,7.0,7.0,5.0,5.0,1.0
east_39th_street/east_to_west/47_n00502_W_R.jpg,n00502,R,0.0,0.8907808313204317,f21,solo,1.0,,1.0,,,3.0,,,,
madison_avenue/south_to_north/21_n00743_N_R.jpg,n00743,R,0.0,0.943817569171122,f26,full,1.0,7.0,1.0,1.0,3.0,7.0,3.0,3.0,3.0,1.0
madison_avenue/south_to_north/21_n00743_N_R.jpg,n00743,R,0.0,0.943817569171122,f26,group,1.0,7.0,1.0,1.0,7.0,1.0,7.0,5.0,5.0,1.0
madison_avenue/south_to_north/21_n00743_N_R.jpg,n00743,R,0.0,0.943817569171122,f26,solo,1.0,,1.0,,,3.0,,,,
east_39th_street/west_to_east/01_n00502_E_L.jpg,n00502,L,0.0,0.8907808313204317,f21,full,1.0,7.0,1.0,1.0,3.0,7.0,3.0,3.0,3.0,1.0
east_39th_street/west_to_east/01_n00502_E_L.jpg,n00502,L,0.0,0.8907808313204317,f21,group,1.0,7.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,3.0
east_39th_street/west_to_east/01_n00502_E_L.jpg,n00502,L,0.0,0.8907808313204317,f21,solo,1.0,,1.0,,,3.0,,,,
east_39th_street/east_to_west/03_n00546_W_R.jpg,n00546,R,0.4032331420306188,0.8391940081390562,f21,full,1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0
east_39th_street/east_to_west/03_n00546_W_R.jpg,n00546,R,0.4032331420306188,0.8391940081390562,f21,group,1.0,7.0,1.0,1.0,1.0,7.0,7.0,3.0,3.0,1.0
east_39th_street/east_to_west/03_n00546_W_R.jpg,n00546,R,0.4032331420306188,0.8391940081390562,f21,solo,1.0,,2.0,,,3.0,,,,
Tunnel_Exit_Street/south_to_north/14_n00263_N_R.jpg,n00263,R,0.0726668517417627,0.9463748601763798,f14,full,1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0
Tunnel_Exit_Street/south_to_north/14_n00263_N_R.jpg,n00263,R,0.0726668517417627,0.9463748601763798,f14,group,1.0,7.0,1.0,1.0,1.0,7.0,7.0,3.0,1.0,1.0
Tunnel_Exit_Street/south_to_north/14_n00263_N_R.jpg,n00263,R,0.0726668517417627,0.9463748601763798,f14,solo,1.0,,1.0,,,5.0,,,,
east_42nd_street/west_to_east/02_n00642_E_L.jpg,n00642,L,0.1043861197064571,0.8925224361576712,f24,full,1.0,7.0,1.0,1.0,5.0,7.0,5.0,3.0,3.0,1.0
east_42nd_street/west_to_east/02_n00642_E_L.jpg,n00642,L,0.1043861197064571,0.8925224361576712,f24,group,1.0,7.0,1.0,1.0,7.0,7.0,7.0,5.0,5.0,1.0
east_42nd_street/west_to_east/02_n00642_E_L.jpg,n00642,L,0.1043861197064571,0.8925224361576712,f24,solo,1.0,,1.0,,,3.0,,,,
east_42nd_street/east_to_west/44_n00643_W_L.jpg,n00643,L,0.0,0.9317440206013374,f24,full,1.0,7.0,1.0,1.0,5.0,7.0,5.0,3.0,3.0,1.0
east_42nd_street/east_to_west/44_n00643_W_L.jpg,n00643,L,0.0,0.9317440206013374,f24,group,1.0,7.0,1.0,1.0,5.0,5.0,5.0,5.0,3.0,1.0
east_42nd_street/east_to_west/44_n00643_W_L.jpg,n00643,L,0.0,0.9317440206013374,f24,solo,1.0,,1.0,,,3.0,,,,
lexington_avenue/south_to_north/14_n00702_N_L.jpg,n00702,L,0.5174772628227206,0.8265057504461943,f25,full,1.0,7.0,1.0,1.0,3.0,7.0,3.0,3.0,1.0,1.0
lexington_avenue/south_to_north/14_n00702_N_L.jpg,n00702,L,0.5174772628227206,0.8265057504461943,f25,group,1.0,7.0,1.0,1.0,3.0,5.0,5.0,3.0,3.0,1.0
lexington_avenue/south_to_north/14_n00702_N_L.jpg,n00702,L,0.5174772628227206,0.8265057504461943,f25,solo,1.0,,1.0,,,3.0,,,,
east_42nd_street/east_to_west/26_n00661_W_R.jpg,n00661,R,0.1926988890087937,0.9293001990792286,f24,full,1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0
east_42nd_street/east_to_west/26_n00661_W_R.jpg,n00661,R,0.1926988890087937,0.9293001990792286,f24,group,1.0,7.0,1.0,1.0,1.0,7.0,7.0,3.0,3.0,1.0
east_42nd_street/east_to_west/26_n00661_W_R.jpg,n00661,R,0.1926988890087937,0.9293001990792286,f24,solo,1.0,,1.0,,,3.0,,,,
east_40th_street/east_to_west/43_n00552_W_R.jpg,n00552,R,0.1851728312300274,0.9519333135737756,f22,full,1.0,7.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0
east_40th_street/east_to_west/43_n00552_W_R.jpg,n00552,R,0.1851728312300274,0.9519333135737756,f22,group,1.0,7.0,1.0,1.0,7.0,7.0,7.0,3.0,3.0,1.0
east_40th_street/east_to_west/43_n00552_W_R.jpg,n00552,R,0.1851728312300274,0.9519333135737756,f22,solo,1.0,,1.0,,,3.0,,,,
east_40th_street/west_to_east/15_n00563_E_R.jpg,n00563,R,0.6348939104731744,0.9636591919976218,f22,full,1.0,7.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0
east_40th_street/west_to_east/15_n00563_E_R.jpg,n00563,R,0.6348939104731744,0.9636591919976218,f22,group,1.0,7.0,1.0,1.0,7.0,7.0,7.0,5.0,6.0,3.0
east_40th_street/west_to_east/15_n00563_E_R.jpg,n00563,R,0.6348939104731744,0.9636591919976218,f22,solo,1.0,,2.0,,,3.0,,,,
3rd_avenue/south_to_north/11_n00090_N_L.jpg,n00090,L,0.4190831161712532,0.8948716968585668,f3,full,1.0,7.0,1.0,1.0,5.0,7.0,5.0,3.0,3.0,1.0
3rd_avenue/south_to_north/11_n00090_N_L.jpg,n00090,L,0.4190831161712532,0.8948716968585668,f3,group,1.0,7.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0
3rd_avenue/south_to_north/11_n00090_N_L.jpg,n00090,L,0.4190831161712532,0.8948716968585668,f3,solo,1.0,,1.0,,,3.0,,,,
east_35th_street/west_to_east/07_n00320_E_L.jpg,n00320,L,1.6649049454125913,0.8927107947993884,f16,full,1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0
east_35th_street/west_to_east/07_n00320_E_L.jpg,n00320,L,1.6649049454125913,0.8927107947993884,f16,group,1.0,7.0,1.0,1.0,1.0,7.0,7.0,3.0,1.0,1.0
east_35th_street/west_to_east/07_n00320_E_L.jpg,n00320,L,1.6649049454125913,0.8927107947993884,f16,solo,1.0,,3.0,,,3.0,,,,
east_34th_street/east_to_west/43_n00271_W_L.jpg,n00271,L,0.804102844016135,0.9286648141011012,f15,full,1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0
east_34th_street/east_to_west/43_n00271_W_L.jpg,n00271,L,0.804102844016135,0.9286648141011012,f15,group,1.0,7.0,1.0,1.0,7.0,1.0,7.0,5.0,5.0,3.0
east_34th_street/east_to_west/43_n00271_W_L.jpg,n00271,L,0.804102844016135,0.9286648141011012,f15,solo,1.0,,2.0,,,3.0,,,,
east_36th_street/west_to_east/24_n00384_E_L.jpg,n00384,L,1.3846857557259151,0.8666564606655635,f17,full,1.0,7.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0
east_36th_street/west_to_east/24_n00384_E_L.jpg,n00384,L,1.3846857557259151,0.8666564606655635,f17,group,1.0,7.0,1.0,1.0,7.0,1.0,7.0,5.0,3.0,1.0
east_36th_street/west_to_east/24_n00384_E_L.jpg,n00384,L,1.3846857557259151,0.8666564606655635,f17,solo,1.0,,1.0,,,3.0,,,,
east_42nd_street/west_to_east/34_n00674_E_R.jpg,n00674,R,1.673546051836296,0.9100503576869678,f24,full,1.0,7.0,1.0,1.0,3.0,7.0,3.0,3.0,1.0,1.0
east_42nd_street/west_to_east/34_n00674_E_R.jpg,n00674,R,1.673546051836296,0.9100503576869678,f24,group,1.0,7.0,1.0,1.0,1.0,7.0,7.0,5.0,3.0,1.0
east_42nd_street/west_to_east/34_n00674_E_R.jpg,n00674,R,1.673546051836296,0.9100503576869678,f24,solo,1.0,,1.0,,,3.0,,,,
east_34th_street/west_to_east/46_n00312_E_L.jpg,n00312,L,1.61686151884395,0.8388295087366558,f15,full,1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0
east_34th_street/west_to_east/46_n00312_E_L.jpg,n00312,L,1.61686151884395,0.8388295087366558,f15,group,1.0,7.0,1.0,1.0,1.0,7.0,7.0,5.0,3.0,1.0
east_34th_street/west_to_east/46_n00312_E_L.jpg,n00312,L,1.61686151884395,0.8388295087366558,f15,solo,1.0,,1.0,,,3.0,,,,
tunnel_approach_street/north_to_south/20_n00155_S_R.jpg,n00155,R,0.7621592619073215,0.8758170193389012,f8,full,1.0,7.0,1.0,1.0,3.0,7.0,1.0,3.0,1.0,1.0
tunnel_approach_street/north_to_south/20_n00155_S_R.jpg,n00155,R,0.7621592619073215,0.8758170193389012,f8,group,1.0,7.0,1.0,1.0,3.0,3.0,3.0,5.0,3.0,1.0
tunnel_approach_street/north_to_south/20_n00155_S_R.jpg,n00155,R,0.7621592619073215,0.8758170193389012,f8,solo,1.0,,1.0,,,3.0,,,,
3rd_avenue/south_to_north/23_n00102_N_R.jpg,n00102,R,2.0959043738188905,0.8999478600475814,f3,full,1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0
3rd_avenue/south_to_north/23_n00102_N_R.jpg,n00102,R,2.0959043738188905,0.8999478600475814,f3,group,1.0,7.0,1.0,1.0,1.0,7.0,7.0,5.0,5.0,2.0
3rd_avenue/south_to_north/23_n00102_N_R.jpg,n00102,R,2.0959043738188905,0.8999478600475814,f3,solo,1.0,,1.0,,,3.0,,,,
east_40th_street/west_to_east/35_n00583_E_L.jpg,n00583,L,2.271264359778725,0.8575655521756406,f22,full,1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0
east_40th_street/west_to_east/35_n00583_E_L.jpg,n00583,L,2.271264359778725,0.8575655521756406,f22,group,1.0,7.0,1.0,1.0,3.0,5.0,5.0,5.0,3.0,1.0
east_40th_street/west_to_east/35_n00583_E_L.jpg,n00583,L,2.271264359778725,0.8575655521756406,f22,solo,1.0,,1.0,,,3.0,,,,
lexington_avenue/north_to_south/14_n00708_S_R.jpg,n00708,R,0.819609404381346,0.921177312627784,f25,full,1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0
