file,street,walk,seq,node_id,cardinal,side,vertical_greenery,vertical_hardscape,green_eye_level,sky_openness,walkable_ground,green_softening,signage_detail,facade_variation,ground_floor_activity
1st_avenue/north_to_south/01_n00045_S_L.jpg,1st_avenue,north_to_south,1,n00045,S,L,1.0,3.0,1.0,5.0,3.0,1.0,1.0,3.0,1.0
1st_avenue/north_to_south/01_n00045_S_R.jpg,1st_avenue,north_to_south,1,n00045,S,R,1.0,6.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0
1st_avenue/north_to_south/02_n00043_S_L.jpg,1st_avenue,north_to_south,2,n00043,S,L,1.0,2.0,1.0,5.0,3.0,3.0,1.0,3.0,1.0
1st_avenue/north_to_south/02_n00043_S_R.jpg,1st_avenue,north_to_south,2,n00043,S,R,1.0,6.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0
1st_avenue/north_to_south/03_n00041_S_L.jpg,1st_avenue,north_to_south,3,n00041,S,L,1.0,1.0,3.0,5.0,5.0,3.0,1.0,3.0,3.0
1st_avenue/north_to_south/03_n00041_S_R.jpg,1st_avenue,north_to_south,3,n00041,S,R,1.0,7.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0
1st_avenue/north_to_south/04_n00039_S_L.jpg,1st_avenue,north_to_south,4,n00039,S,L,2.0,1.0,3.0,5.0,6.0,3.0,1.0,3.0,1.0
1st_avenue/north_to_south/04_n00039_S_R.jpg,1st_avenue,north_to_south,4,n00039,S,R,1.0,6.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0
1st_avenue/north_to_south/05_n00037_S_L.jpg,1st_avenue,north_to_south,5,n00037,S,L,1.0,1.0,2.0,5.0,6.0,3.0,3.0,7.0,1.0
1st_avenue/north_to_south/05_n00037_S_R.jpg,1st_avenue,north_to_south,5,n00037,S,R,1.0,7.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0
1st_avenue/north_to_south/06_n00035_S_L.jpg,1st_avenue,north_to_south,6,n00035,S,L,1.0,1.0,1.0,5.0,6.0,1.0,1.0,1.0,1.0
1st_avenue/north_to_south/06_n00035_S_R.jpg,1st_avenue,north_to_south,6,n00035,S,R,1.0,6.0,1.0,3.0,6.0,1.0,1.0,3.0,5.0
1st_avenue/north_to_south/07_n00033_S_L.jpg,1st_avenue,north_to_south,7,n00033,S,L,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0
1st_avenue/north_to_south/07_n00033_S_R.jpg,1st_avenue,north_to_south,7,n00033,S,R,1.0,6.0,1.0,3.0,6.0,1.0,1.0,3.0,3.0
1st_avenue/north_to_south/08_n00031_S_L.jpg,1st_avenue,north_to_south,8,n00031,S,L,1.0,3.0,1.0,5.0,3.0,1.0,1.0,3.0,1.0
1st_avenue/north_to_south/08_n00031_S_R.jpg,1st_avenue,north_to_south,8,n00031,S,R,1.0,6.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0
1st_avenue/north_to_south/09_n00029_S_L.jpg,1st_avenue,north_to_south,9,n00029,S,L,1.0,3.0,1.0,5.0,3.0,1.0,1.0,3.0,3.0
1st_avenue/north_to_south/09_n00029_S_R.jpg,1st_avenue,north_to_south,9,n00029,S,R,1.0,5.0,1.0,3.0,5.0,1.0,3.0,5.0,3.0
1st_avenue/north_to_south/10_n00027_S_L.jpg,1st_avenue,north_to_south,10,n00027,S,L,1.0,3.0,1.0,5.0,3.0,1.0,1.0,3.0,1.0
1st_avenue/north_to_south/10_n00027_S_R.jpg,1st_avenue,north_to_south,10,n00027,S,R,1.0,7.0,1.0,3.0,6.0,1.0,1.0,3.0,3.0
1st_avenue/north_to_south/11_n00025_S_L.jpg,1st_avenue,north_to_south,11,n00025,S,L,1.0,3.0,1.0,5.0,3.0,1.0,1.0,3.0,1.0
1st_avenue/north_to_south/11_n00025_S_R.jpg,1st_avenue,north_to_south,11,n00025,S,R,1.0,7.0,1.0,3.0,6.0,1.0,1.0,3.0,3.0
1st_avenue/north_to_south/12_n00023_S_L.jpg,1st_avenue,north_to_south,12,n00023,S,L,1.0,3.0,1.0,5.0,3.0,1.0,1.0,7.0,1.0
1st_avenue/north_to_south/12_n00023_S_R.jpg,1st_avenue,north_to_south,12,n00023,S,R,1.0,3.0,1.0,3.0,3.0,2.0,1.0,5.0,3.0
1st_avenue/north_to_south/13_n00022_S_L.jpg,1st_avenue,north_to_south,13,n00022,S,L,1.0,3.0,1.0,5.0,3.0,1.0,1.0,7.0,1.0
1st_avenue/north_to_south/13_n00022_S_R.jpg,1st_avenue,north_to_south,13,n00022,S,R,1.0,3.0,1.0,3.0,3.0,2.0,1.0,5.0,3.0
1st_avenue/north_to_south/14_n00021_S_L.jpg,1st_avenue,north_to_south,14,n00021,S,L,1.0,6.0,1.0,5.0,3.0,1.0,1.0,3.0,3.0
1st_avenue/north_to_south/14_n00021_S_R.jpg,1st_avenue,north_to_south,14,n00021,S,R,1.0,5.0,1.0,3.0,3.0,1.0,3.0,5.0,3.0
1st_avenue/north_to_south/15_n00020_S_L.jpg,1st_avenue,north_to_south,15,n00020,S,L,1.0,3.0,1.0,5.0,3.0,1.0,1.0,5.0,3.0
1st_avenue/north_to_south/15_n00020_S_R.jpg,1st_avenue,north_to_south,15,n00020,S,R,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1st_avenue/north_to_south/16_n00019_S_L.jpg,1st_avenue,north_to_south,16,n00019,S,L,1.0,3.0,1.0,5.0,3.0,1.0,1.0,3.0,3.0
1st_avenue/north_to_south/16_n00019_S_R.jpg,1st_avenue,north_to_south,16,n00019,S,R,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1st_avenue/north_to_south/17_n00018_S_L.jpg,1st_avenue,north_to_south,17,n00018,S,L,1.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0
1st_avenue/north_to_south/17_n00018_S_R.jpg,1st_avenue,north_to_south,17,n00018,S,R,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0
1st_avenue/north_to_south/18_n00017_S_L.jpg,1st_avenue,north_to_south,18,n00017,S,L,1.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0
1st_avenue/north_to_south/18_n00017_S_R.jpg,1st_avenue,north_to_south,18,n00017,S,R,3.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0
1st_avenue/north_to_south/19_n00016_S_L.jpg,1st_avenue,north_to_south,19,n00016,S,L,1.0,6.0,1.0,3.0,3.0,1.0,1.0,5.0,3.0
1st_avenue/north_to_south/19_n00016_S_R.jpg,1st_avenue,north_to_south,19,n00016,S,R,3.0,3.0,3.0,3.0,6.0,5.0,1.0,5.0,3.0
1st_avenue/north_to_south/20_n00015_S_L.jpg,1st_avenue,north_to_south,20,n00015,S,L,1.0,5.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0
1st_avenue/north_to_south/20_n00015_S_R.jpg,1st_avenue,north_to_south,20,n00015,S,R,3.0,3.0,3.0,5.0,6.0,5.0,1.0,5.0,3.0
1st_avenue/north_to_south/21_n00014_S_L.jpg,1st_avenue,north_to_south,21,n00014,S,L,1.0,3.0,1.0,3.0,3.0,2.0,1.0,5.0,3.0
1st_avenue/north_to_south/21_n00014_S_R.jpg,1st_avenue,north_to_south,21,n00014,S,R,3.0,2.0,3.0,3.0,3.0,5.0,1.0,3.0,1.0
1st_avenue/north_to_south/22_n00013_S_L.jpg,1st_avenue,north_to_south,22,n00013,S,L,1.0,5.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0
1st_avenue/north_to_south/22_n00013_S_R.jpg,1st_avenue,north_to_south,22,n00013,S,R,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0
1st_avenue/north_to_south/23_n00012_S_L.jpg,1st_avenue,north_to_south,23,n00012,S,L,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0
1st_avenue/north_to_south/23_n00012_S_R.jpg,1st_avenue,north_to_south,23,n00012,S,R,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0
1st_avenue/north_to_south/24_n00011_S_L.jpg,1st_avenue,north_to_south,24,n00011,S,L,3.0,6.0,3.0,3.0,5.0,3.0,1.0,5.0,3.0
1st_avenue/north_to_south/24_n00011_S_R.jpg,1st_avenue,north_to_south,24,n00011,S,R,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0
1st_avenue/north_to_south/25_n00010_S_L.jpg,1st_avenue,north_to_south,25,n00010,S,L,1.0,6.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0
1st_avenue/north_to_south/25_n00010_S_R.jpg,1st_avenue,north_to_south,25,n00010,S,R,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0
1st_avenue/north_to_south/26_n00009_S_L.jpg,1st_avenue,north_to_south,26,n00009,S,L,1.0,5.0,2.0,3.0,3.0,1.0,3.0,5.0,3.0
1st_avenue/north_to_south/26_n00009_S_R.jpg,1st_avenue,north_to_south,26,n00009,S,R,3.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0
1st_avenue/north_to_south/27_n00008_S_L.jpg,1st_avenue,north_to_south,27,n00008,S,L,1.0,5.0,1.0,5.0,5.0,1.0,3.0,5.0,3.0
1st_avenue/north_to_south/27_n00008_S_R.jpg,1st_avenue,north_to_south,27,n00008,S,R,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0
1st_avenue/north_to_south/28_n00007_S_L.jpg,1st_avenue,north_to_south,28,n00007,S,L,1.0,5.0,1.0,3.0,3.0,1.0,3.0,5.0,3.0
1st_avenue/north_to_south/28_n00007_S_R.jpg,1st_avenue,north_to_south,28,n00007,S,R,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0
1st_avenue/north_to_south/29_n00006_S_L.jpg,1st_avenue,north_to_south,29,n00006,S,L,1.0,5.0,1.0,3.0,3.0,1.0,3.0,5.0,3.0
1st_avenue/north_to_south/29_n00006_S_R.jpg,1st_avenue,north_to_south,29,n00006,S,R,1.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0
1st_avenue/north_to_south/30_n00005_S_L.jpg,1st_avenue,north_to_south,30,n00005,S,L,1.0,6.0,2.0,3.0,3.0,2.0,3.0,5.0,3.0
1st_avenue/north_to_south/30_n00005_S_R.jpg,1st_avenue,north_to_south,30,n00005,S,R,1.0,6.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0
1st_avenue/north_to_south/31_n00004_S_L.jpg,1st_avenue,north_to_south,31,n00004,S,L,1.0,5.0,2.0,5.0,3.0,2.0,3.0,7.0,3.0
1st_avenue/north_to_south/31_n00004_S_R.jpg,1st_avenue,north_to_south,31,n00004,S,R,1.0,5.0,1.0,3.0,3.0,1.0,1.0,5.0,3.0
1st_avenue/north_to_south/32_n00003_S_L.jpg,1st_avenue,north_to_south,32,n00003,S,L,2.0,5.0,3.0,5.0,3.0,3.0,1.0,7.0,3.0
1st_avenue/north_to_south/32_n00003_S_R.jpg,1st_avenue,north_to_south,32,n00003,S,R,1.0,5.0,2.0,3.0,3.0,2.0,1.0,5.0,3.0
1st_avenue/north_to_south/33_n00002_S_L.jpg,1st_avenue,north_to_south,33,n00002,S,L,1.0,6.0,1.0,5.0,3.0,1.0,3.0,5.0,3.0
1st_avenue/north_to_south/33_n00002_S_R.jpg,1st_avenue,north_to_south,33,n00002,S,R,1.0,5.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0
1st_avenue/north_to_south/34_n00001_S_L.jpg,1st_avenue,north_to_south,34,n00001,S,L,1.0,5.0,1.0,5.0,3.0,1.0,3.0,5.0,3.0
1st_avenue/north_to_south/34_n00001_S_R.jpg,1st_avenue,north_to_south,34,n00001,S,R,1.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0
1st_avenue/north_to_south/35_n00000_S_L.jpg,1st_avenue,north_to_south,35,n00000,S,L,1.0,5.0,1.0,3.0,3.0,1.0,1.0,7.0,1.0
1st_avenue/north_to_south/35_n00000_S_R.jpg,1st_avenue,north_to_south,35,n00000,S,R,1.0,5.0,2.0,3.0,3.0,2.0,5.0,5.0,5.0
