file,street,walk,seq,node_id,cardinal,side,vertical_greenery,vertical_hardscape,green_eye_level,sky_openness,walkable_ground,green_softening,signage_detail,facade_variation,ground_floor_activity,resting_affordance,vertical_greenery_ev,vertical_hardscape_ev,green_eye_level_ev,sky_openness_ev,walkable_ground_ev,green_softening_ev,signage_detail_ev,facade_variation_ev,ground_floor_activity_ev,resting_affordance_ev,vertical_greenery_argmax,vertical_hardscape_argmax,green_eye_level_argmax,sky_openness_argmax,walkable_ground_argmax,green_softening_argmax,signage_detail_argmax,facade_variation_argmax,ground_floor_activity_argmax,resting_affordance_argmax,vertical_greenery_p1,vertical_greenery_p2,vertical_greenery_p3,vertical_greenery_p4,vertical_greenery_p5,vertical_greenery_p6,vertical_greenery_p7,vertical_hardscape_p1,vertical_hardscape_p2,vertical_hardscape_p3,vertical_hardscape_p4,vertical_hardscape_p5,vertical_hardscape_p6,vertical_hardscape_p7,green_eye_level_p1,green_eye_level_p2,green_eye_level_p3,green_eye_level_p4,green_eye_level_p5,green_eye_level_p6,green_eye_level_p7,sky_openness_p1,sky_openness_p2,sky_openness_p3,sky_openness_p4,sky_openness_p5,sky_openness_p6,sky_openness_p7,walkable_ground_p1,walkable_ground_p2,walkable_ground_p3,walkable_ground_p4,walkable_ground_p5,walkable_ground_p6,walkable_ground_p7,green_softening_p1,green_softening_p2,green_softening_p3,green_softening_p4,green_softening_p5,green_softening_p6,green_softening_p7,signage_detail_p1,signage_detail_p2,signage_detail_p3,signage_detail_p4,signage_detail_p5,signage_detail_p6,signage_detail_p7,facade_variation_p1,facade_variation_p2,facade_variation_p3,facade_variation_p4,facade_variation_p5,facade_variation_p6,facade_variation_p7,ground_floor_activity_p1,ground_floor_activity_p2,ground_floor_activity_p3,ground_floor_activity_p4,ground_floor_activity_p5,ground_floor_activity_p6,ground_floor_activity_p7,resting_affordance_p1,resting_affordance_p2,resting_affordance_p3,resting_affordance_p4,resting_affordance_p5,resting_affordance_p6,resting_affordance_p7
1st_avenue/north_to_south/001_n00045_S.jpg,1st_avenue,north_to_south,1,n00045,S,W,2,5,2,5,5,3,4,6,5,2,1.5355939767323434,5.110577618703246,2.465937120839953,4.984331200830638,4.725539352744818,2.8344013169407845,4.297599667683244,5.636089294450358,4.909378409385681,1.6859068660996854,1,5,2,6,6,2,5,6,6,1,0.6687,0.2171,0.0705,0.0157,0.0157,0.0066,0.0058,0.0126,0.0301,0.0929,0.1192,0.3241,0.286,0.1351,0.1827,0.4383,0.2346,0.0672,0.0408,0.0247,0.0117,0.0068,0.027,0.0831,0.1994,0.2901,0.3288,0.0647,0.0479,0.0697,0.1475,0.1148,0.2146,0.2755,0.1301,0.2216,0.3224,0.1955,0.0719,0.0815,0.0635,0.0436,0.0245,0.0853,0.2047,0.2047,0.232,0.232,0.0168,0.002,0.0101,0.0579,0.0954,0.1782,0.4276,0.2289,0.0379,0.0708,0.1322,0.103,0.1322,0.4073,0.1167,0.6013,0.2507,0.0814,0.0233,0.0206,0.016,0.0067
1st_avenue/north_to_south/002_n00044_S.jpg,1st_avenue,north_to_south,2,n00044,S,W,4,5,4,5,5,4,4,5,5,2,3.647641585674137,4.628895282745361,4.094747458584607,5.4698287434875965,4.774045150727034,4.22707256115973,3.958433919586241,5.446548346662894,4.773464731872082,1.9435751242563128,3,5,3,6,6,3,3,6,6,1,0.0166,0.0842,0.3774,0.3331,0.1389,0.0451,0.0048,0.0329,0.0543,0.1476,0.1476,0.3125,0.2434,0.0615,0.0079,0.0582,0.2958,0.261,0.2304,0.1397,0.007,0.0054,0.0147,0.0514,0.1089,0.2305,0.4306,0.1584,0.0178,0.0547,0.1487,0.1487,0.2451,0.3148,0.0702,0.0203,0.091,0.2473,0.1926,0.2183,0.1926,0.0379,0.0466,0.1268,0.2369,0.209,0.1845,0.1845,0.0118,0.003,0.0152,0.0772,0.1123,0.1851,0.444,0.1633,0.0318,0.0762,0.1423,0.1256,0.1612,0.3868,0.0762,0.4186,0.3694,0.1359,0.0303,0.0236,0.0162,0.006
1st_avenue/north_to_south/003_n00043_S.jpg,1st_avenue,north_to_south,3,n00043,S,W,2,5,3,5,5,3,4,5,5,2,1.6549510406330228,5.241863913834095,2.596875324845314,4.9094860795885324,4.918708950281143,2.857947338372469,3.8424206245690575,5.185359318042174,4.717226762324572,1.769382203463465,1,6,2,6,6,2,3,6,6,1,0.5796,0.2738,0.1007,0.0198,0.0154,0.0057,0.005,0.0164,0.0307,0.0946,0.0946,0.257,0.33,0.1767,0.2087,0.3037,0.3037,0.0986,0.0466,0.0283,0.0104,0.0156,0.0425,0.102,0.1906,0.2448,0.3143,0.0901,0.0233,0.0492,0.1181,0.1339,0.2501,0.3211,0.1043,0.2307,0.2962,0.2036,0.0849,0.0749,0.0583,0.0515,0.0594,0.1614,0.2349,0.1829,0.1614,0.1829,0.017,0.0037,0.0239,0.0945,0.1559,0.2268,0.3739,0.1214,0.0486,0.0908,0.1321,0.1166,0.1497,0.3592,0.1029,0.561,0.265,0.0975,0.0279,0.0246,0.0169,0.0071
1st_avenue/north_to_south/004_n00042_S.jpg,1st_avenue,north_to_south,4,n00042,S,W,2,5,3,4,5,4,5,5,5,2,1.925225696992129,5.122743456624448,3.264802581630647,4.137487031519413,5.322894462384284,3.628826335072517,4.5943939834833145,5.077513370197266,4.847569297999144,1.9659346076659856,1,6,3,4,6,2,6,6,6,1,0.4795,0.2908,0.1374,0.0394,0.0307,0.0145,0.0078,0.0137,0.033,0.1151,0.1016,0.2761,0.3128,0.1478,0.0973,0.2061,0.3397,0.1605,0.0973,0.0859,0.0132,0.0193,0.0866,0.2076,0.3021,0.2076,0.1617,0.015,0.0128,0.0307,0.0835,0.0947,0.2271,0.3744,0.1768,0.1181,0.2206,0.2206,0.092,0.1338,0.1338,0.0812,0.0125,0.0562,0.1731,0.1962,0.2223,0.3235,0.0161,0.0051,0.0334,0.1165,0.1496,0.2467,0.3167,0.132,0.0344,0.0728,0.1361,0.106,0.1747,0.3699,0.106,0.4391,0.342,0.1258,0.036,0.0281,0.0219,0.0071
1st_avenue/north_to_south/005_n00041_S.jpg,1st_avenue,north_to_south,5,n00041,S,W,2,5,3,5,5,3,4,5,5,2,1.7730020945891738,5.049083126708865,2.888219155371189,4.808058676309884,5.046044021844864,3.0303836800158024,3.709197534248233,5.147929097991437,4.519208163022995,2.145481374580413,1,5,3,5,6,2,3,6,6,1,0.4899,0.3367,0.1239,0.0244,0.0148,0.0062,0.0042,0.0205,0.0384,0.1182,0.1043,0.2835,0.2835,0.1517,0.1549,0.2254,0.3716,0.1367,0.057,0.0444,0.0099,0.0156,0.048,0.1151,0.1898,0.2762,0.2762,0.0791,0.0193,0.0409,0.111,0.1258,0.2351,0.342,0.1258,0.1842,0.3036,0.2087,0.087,0.087,0.0768,0.0528,0.0855,0.1811,0.2325,0.1598,0.141,0.1811,0.0191,0.0048,0.0274,0.1082,0.1574,0.2021,0.3776,0.1226,0.08,0.1028,0.1495,0.1028,0.1319,0.3165,0.1164,0.3915,0.3049,0.1849,0.0468,0.0364,0.0284,0.0072
1st_avenue/north_to_south/006_n00040_S.jpg,1st_avenue,north_to_south,6,n00040,S,W,3,5,4,4,5,5,4,5,5,2,2.552348764147609,5.093437623232603,4.097122438251972,4.109982119873166,5.081913199275732,4.594348307698965,4.071735098958015,4.981151727959514,4.837716918438673,2.2596181724220514,2,6,3,4,6,6,6,6,6,1,0.2241,0.326,0.2539,0.1058,0.0567,0.0268,0.0068,0.0382,0.0433,0.1039,0.0809,0.2199,0.3626,0.1512,0.043,0.117,0.2476,0.1702,0.1702,0.2185,0.0335,0.0403,0.1095,0.1806,0.2628,0.2046,0.1806,0.0216,0.0456,0.0516,0.0965,0.0851,0.2042,0.3367,0.1802,0.0379,0.1031,0.17,0.1168,0.1926,0.2473,0.1324,0.0621,0.1315,0.2168,0.149,0.1689,0.2457,0.0259,0.0106,0.0474,0.1459,0.1459,0.2123,0.2726,0.1653,0.051,0.0742,0.1386,0.1079,0.157,0.2934,0.1779,0.4078,0.2803,0.15,0.0487,0.0487,0.0487,0.0158
1st_avenue/north_to_south/007_n00039_S.jpg,1st_avenue,north_to_south,7,n00039,S,W,2,5,3,5,5,3,4,5,4,2,2.072516851592809,5.163654942065477,3.204981259070337,4.810535751283169,5.371149609796703,3.019223675131798,3.8234971314668655,5.24317053379491,4.487281136214733,1.756278436165303,2,5,3,6,6,2,3,6,6,1,0.2975,0.4329,0.2045,0.0403,0.0168,0.0054,0.0026,0.0162,0.0344,0.1059,0.0934,0.2878,0.2878,0.1745,0.0829,0.1754,0.4209,0.1754,0.0731,0.0645,0.0077,0.0128,0.0446,0.1213,0.2,0.2568,0.291,0.0736,0.0129,0.0308,0.0838,0.095,0.201,0.3755,0.201,0.1623,0.3033,0.2362,0.0985,0.0869,0.0767,0.0362,0.0681,0.1633,0.2376,0.1633,0.1633,0.185,0.0195,0.0045,0.026,0.0906,0.1494,0.1918,0.406,0.1318,0.0732,0.1065,0.155,0.1065,0.1368,0.3281,0.094,0.5411,0.2896,0.1065,0.0238,0.0185,0.0144,0.006
1st_avenue/north_to_south/008_n00038_S.jpg,1st_avenue,north_to_south,8,n00038,S,W,2,5,3,4,5,3,4,5,5,2,2.296913476660848,5.210870375856757,3.224359781946987,4.227978494018316,5.227158609777689,3.3676790837198496,4.222222778946161,4.9148881090804935,4.560001708567143,2.029616516083479,2,6,3,4,6,3,6,5,6,1,0.2362,0.3895,0.2677,0.0677,0.0282,0.0081,0.0026,0.0149,0.0279,0.0973,0.0858,0.2644,0.3847,0.1249,0.0833,0.1999,0.3734,0.1764,0.0944,0.0649,0.0077,0.0262,0.0913,0.1707,0.2814,0.2191,0.1934,0.018,0.0391,0.0443,0.0937,0.073,0.1983,0.327,0.2247,0.0769,0.2368,0.304,0.1436,0.1267,0.0871,0.025,0.0502,0.1364,0.1985,0.1204,0.1752,0.2888,0.0304,0.0091,0.0463,0.1427,0.1427,0.2666,0.2666,0.1259,0.0592,0.0976,0.1608,0.1105,0.1608,0.3005,0.1105,0.4482,0.308,0.1284,0.0417,0.0368,0.0287,0.0082
1st_avenue/north_to_south/009_n00037_S.jpg,1st_avenue,north_to_south,9,n00037,S,W,2,5,3,5,5,3,4,5,5,2,1.6680187514284626,5.245185367763042,2.644233584403992,5.044424941763282,5.317235926166177,2.547295518219471,3.981525188311936,5.385826455196366,4.585721857845783,1.5747726149857044,1,5,3,6,6,2,3,6,6,1,0.4754,0.4195,0.0826,0.0127,0.006,0.0019,0.0019,0.0169,0.0279,0.0975,0.086,0.3003,0.265,0.2064,0.1821,0.3003,0.3403,0.0975,0.0359,0.0359,0.008,0.0101,0.0312,0.0849,0.1798,0.2616,0.336,0.0963,0.028,0.0408,0.0863,0.0863,0.1827,0.3413,0.2346,0.2714,0.3485,0.1865,0.0606,0.0534,0.0472,0.0324,0.0463,0.1258,0.2351,0.2074,0.1831,0.1831,0.0193,0.0036,0.0206,0.0816,0.1345,0.1727,0.4143,0.1727,0.0846,0.1086,0.1395,0.0846,0.1086,0.3346,0.1395,0.6624,0.2151,0.0698,0.0177,0.0156,0.0121,0.0074
1st_avenue/north_to_south/010_n00036_S.jpg,1st_avenue,north_to_south,10,n00036,S,W,2,5,3,4,5,4,4,5,5,2,2.2057050759904087,5.305988496169448,3.4837761633098125,4.422227563336492,5.297815140336752,3.5550527796149254,4.209600051864982,5.261210465803742,4.811468105763197,2.0050121834501624,2,6,3,4,6,2,6,6,6,1,0.2847,0.4142,0.1957,0.0495,0.034,0.0161,0.0059,0.0139,0.026,0.0908,0.0802,0.2798,0.317,0.1923,0.0537,0.1875,0.3504,0.1655,0.1289,0.1004,0.0136,0.0219,0.0766,0.1621,0.2358,0.2358,0.2358,0.0319,0.0336,0.0432,0.0914,0.0712,0.1934,0.3189,0.2484,0.0937,0.2546,0.2247,0.1061,0.1363,0.1203,0.0644,0.0368,0.1132,0.2116,0.1648,0.2116,0.2397,0.0223,0.0045,0.0257,0.1017,0.1305,0.2152,0.3548,0.1676,0.0357,0.0755,0.1411,0.1246,0.1599,0.3386,0.1246,0.4749,0.288,0.1201,0.039,0.039,0.0304,0.0087
