file,vertical_greenery_p1,vertical_greenery_p2,vertical_greenery_p3,vertical_greenery_p4,vertical_greenery_p5,vertical_greenery_p6,vertical_greenery_p7,vertical_greenery,vertical_greenery_rounds,vertical_greenery_path,vertical_hardscape_p1,vertical_hardscape_p2,vertical_hardscape_p3,vertical_hardscape_p4,vertical_hardscape_p5,vertical_hardscape_p6,vertical_hardscape_p7,vertical_hardscape,vertical_hardscape_rounds,vertical_hardscape_path,green_eye_level_p1,green_eye_level_p2,green_eye_level_p3,green_eye_level_p4,green_eye_level_p5,green_eye_level_p6,green_eye_level_p7,green_eye_level,green_eye_level_rounds,green_eye_level_path,sky_openness_p1,sky_openness_p2,sky_openness_p3,sky_openness_p4,sky_openness_p5,sky_openness_p6,sky_openness_p7,sky_openness,sky_openness_rounds,sky_openness_path,walkable_ground_p1,walkable_ground_p2,walkable_ground_p3,walkable_ground_p4,walkable_ground_p5,walkable_ground_p6,walkable_ground_p7,walkable_ground,walkable_ground_rounds,walkable_ground_path,green_softening_p1,green_softening_p2,green_softening_p3,green_softening_p4,green_softening_p5,green_softening_p6,green_softening_p7,green_softening,green_softening_rounds,green_softening_path,signage_detail_p1,signage_detail_p2,signage_detail_p3,signage_detail_p4,signage_detail_p5,signage_detail_p6,signage_detail_p7,signage_detail,signage_detail_rounds,signage_detail_path,facade_variation_p1,facade_variation_p2,facade_variation_p3,facade_variation_p4,facade_variation_p5,facade_variation_p6,facade_variation_p7,facade_variation,facade_variation_rounds,facade_variation_path,ground_floor_activity_p1,ground_floor_activity_p2,ground_floor_activity_p3,ground_floor_activity_p4,ground_floor_activity_p5,ground_floor_activity_p6,ground_floor_activity_p7,ground_floor_activity,ground_floor_activity_rounds,ground_floor_activity_path,resting_affordance_p1,resting_affordance_p2,resting_affordance_p3,resting_affordance_p4,resting_affordance_p5,resting_affordance_p6,resting_affordance_p7,resting_affordance,resting_affordance_rounds,resting_affordance_path
1st_avenue/north_to_south/001_n00045_S_L.jpg,0.4495,0.3967,0.1137,0.0224,0.012,0.0034,0.0024,1,3,"1,2,3,4,5,6,7|1,2|1",0.0121,0.0422,0.189,0.2142,0.3531,0.1472,0.0422,5,3,"1,2,3,4,5,6,7|3,4,5,6|5",0.1733,0.3668,0.2857,0.0819,0.0496,0.0301,0.0126,2,3,"1,2,3,4,5,6,7|1,2,3|2",0.0053,0.0185,0.0571,0.1208,0.2558,0.4217,0.1208,6,3,"1,2,3,4,5,6,7|5,6|6",0.0541,0.1011,0.1889,0.1298,0.214,0.2425,0.0695,3,4,"1,2,3,4,5,6,7|3,5,6|3,5|3",0.2372,0.3046,0.2093,0.068,0.068,0.0529,0.06,1,4,"1,2,3,4,5,6,7|1,2,3|1,2|1",0.1132,0.2116,0.2716,0.1648,0.1283,0.0999,0.0105,3,3,"1,2,3,4,5,6,7|2,3,4|3",0.009,0.0456,0.1403,0.1802,0.2314,0.2971,0.0965,6,3,"1,2,3,4,5,6,7|4,5,6|6",0.0455,0.0963,0.1588,0.1588,0.1588,0.3362,0.0455,4,3,"1,2,3,4,5,6,7|3,4,5,6|4",0.487,0.3347,0.1087,0.0275,0.0214,0.0147,0.0061,1,3,"1,2,3,4,5,6,7|1,2|1"
1st_avenue/north_to_south/001_n00045_S_R.jpg,0.2991,0.4351,0.2055,0.0405,0.0149,0.0033,0.0016,1,3,"1,2,3,4,5,6,7|1,2,3|1",0.0049,0.0118,0.0598,0.087,0.3897,0.3035,0.1434,7,3,"1,2,3,4,5,6,7|5,6,7|7",0.1438,0.3449,0.3449,0.0988,0.0412,0.022,0.0043,2,3,"1,2,3,4,5,6,7|1,2,3|2",0.0961,0.2035,0.2035,0.1796,0.1585,0.1399,0.0189,3,3,"1,2,3,4,5,6,7|2,3,4,5|3",0.0203,0.0486,0.1321,0.1321,0.2178,0.3169,0.1321,5,3,"1,2,3,4,5,6,7|5,6|5",0.2809,0.4087,0.1931,0.0488,0.0296,0.0231,0.0158,1,4,"1,2,3,4,5,6,7|1,2,3|1,2|1",0.0205,0.0717,0.172,0.172,0.2503,0.2836,0.0299,6,4,"1,2,3,4,5,6,7|3,4,5,6|5,6|6",0.0048,0.0276,0.1092,0.1589,0.2041,0.3364,0.1589,7,3,"1,2,3,4,5,6,7|4,5,6,7|7",0.0371,0.0786,0.1469,0.1296,0.1664,0.3523,0.0891,3,4,"1,2,3,4,5,6,7|3,5,6|3,5|3",0.5189,0.3147,0.1022,0.0228,0.0201,0.0138,0.0074,1,3,"1,2,3,4,5,6,7|1,2|1"
1st_avenue/north_to_south/002_n00044_S_L.jpg,0.0074,0.0482,0.3558,0.4032,0.1483,0.0331,0.004,3,4,"1,2,3,4,5,6,7|3,4,5|3,4|3",0.0836,0.0947,0.2917,0.2272,0.2005,0.0836,0.0187,5,3,"1,2,3,4,5,6,7|3,4,5|5",0.0063,0.0361,0.2355,0.2669,0.2355,0.2079,0.0117,4,4,"1,2,3,4,5,6,7|3,4,5,6|4,5|4",0.0019,0.0041,0.0142,0.0301,0.119,0.4154,0.4154,7,3,"1,2,3,4,5,6,7|6,7|7",0.0224,0.0418,0.1136,0.1136,0.2123,0.3089,0.1874,6,4,"1,2,3,4,5,6,7|5,6,7|6,7|6",0.0058,0.0432,0.1936,0.2816,0.2485,0.1936,0.0336,4,4,"1,2,3,4,5,6,7|3,4,5,6|4,5|4",0.3267,0.3267,0.1748,0.0729,0.0501,0.039,0.0099,1,3,"1,2,3,4,5,6,7|1,2,3|1",0.0435,0.1182,0.2208,0.1949,0.1949,0.172,0.0558,4,4,"1,2,3,4,5,6,7|3,4,5,6|4,5|4",0.0702,0.1158,0.1908,0.1486,0.1486,0.2777,0.0483,3,4,"1,2,3,4,5,6,7|3,4,5,6|3,4|3",0.585,0.2763,0.0897,0.0177,0.0156,0.0107,0.0051,1,3,"1,2,3,4,5,6,7|1,2|1"
1st_avenue/north_to_south/002_n00044_S_R.jpg,0.0041,0.0393,0.2901,0.4784,0.1553,0.0306,0.0022,3,4,"1,2,3,4,5,6,7|3,4,5|3,4|3",0.0066,0.0178,0.0906,0.1163,0.406,0.2463,0.1163,5,3,"1,2,3,4,5,6,7|5,6|5",0.0047,0.0348,0.257,0.2912,0.2268,0.1766,0.0088,4,4,"1,2,3,4,5,6,7|3,4,5,6|4,5|4",0.0138,0.048,0.1017,0.1677,0.244,0.355,0.0699,6,4,"1,2,3,4,5,6,7|4,5,6|5,6|6",0.0093,0.0325,0.1134,0.1456,0.272,0.3493,0.0779,5,3,"1,2,3,4,5,6,7|4,5,6|5",0.0057,0.0479,0.2148,0.2758,0.2434,0.1896,0.0226,4,4,"1,2,3,4,5,6,7|3,4,5,6|4,5|4",0.0172,0.0773,0.2101,0.238,0.238,0.2101,0.0092,4,4,"1,2,3,4,5,6,7|3,4,5,6|4,5|4",0.0042,0.0241,0.0955,0.1574,0.2021,0.3777,0.1389,6,3,"1,2,3,4,5,6,7|4,5,6|6",0.0246,0.0669,0.1415,0.1415,0.1817,0.3847,0.059,5,3,"1,2,3,4,5,6,7|5,6|5",0.3579,0.4056,0.1492,0.0377,0.0259,0.0178,0.0058,1,3,"1,2,3,4,5,6,7|1,2,3|1"
1st_avenue/north_to_south/003_n00043_S_L.jpg,0.2927,0.4258,0.2011,0.0449,0.024,0.0078,0.0037,1,3,"1,2,3,4,5,6,7|1,2,3|1",0.0163,0.0443,0.1754,0.1987,0.3713,0.1548,0.0391,5,3,"1,2,3,4,5,6,7|3,4,5,6|5",0.1183,0.221,0.3644,0.1341,0.0921,0.0559,0.0141,2,3,"1,2,3,4,5,6,7|2,3|2",0.0046,0.0161,0.0495,0.1047,0.2216,0.4692,0.1344,6,3,"1,2,3,4,5,6,7|5,6|6",0.0121,0.0423,0.1303,0.1477,0.2759,0.3126,0.079,5,4,"1,2,3,4,5,6,7|4,5,6|5,6|5",0.1448,0.2388,0.2388,0.0878,0.1128,0.0995,0.0775,2,3,"1,2,3,4,5,6,7|1,2,3|2",0.1434,0.2364,0.2679,0.1434,0.1117,0.087,0.0104,3,3,"1,2,3,4,5,6,7|1,2,3,4|3",0.019,0.0752,0.1803,0.2044,0.2044,0.2316,0.0852,4,4,"1,2,3,4,5,6,7|3,4,5,6|4,5|4",0.0657,0.1391,0.2024,0.1786,0.1576,0.2293,0.0274,3,4,"1,2,3,4,5,6,7|3,4,5,6|3,4|3",0.3988,0.3519,0.1662,0.0371,0.0255,0.0155,0.005,1,3,"1,2,3,4,5,6,7|1,2,3|1"
1st_avenue/north_to_south/003_n00043_S_R.jpg,0.1923,0.2798,0.3593,0.1167,0.0379,0.0109,0.0031,1,3,"1,2,3,4,5,6,7|1,2,3|1",0.008,0.0168,0.0666,0.0855,0.2986,0.3834,0.141,6,3,"1,2,3,4,5,6,7|5,6|6",0.1205,0.2551,0.3712,0.1366,0.0645,0.0443,0.0077,2,3,"1,2,3,4,5,6,7|2,3|2",0.2069,0.301,0.1826,0.1255,0.0977,0.0761,0.0103,2,3,"1,2,3,4,5,6,7|1,2,3|2",0.0335,0.0709,0.1701,0.1501,0.2475,0.2475,0.0804,5,4,"1,2,3,4,5,6,7|3,4,5,6|4,5|5",0.176,0.2902,0.2561,0.1068,0.0831,0.0571,0.0306,2,3,"1,2,3,4,5,6,7|1,2,3|2",0.0545,0.1307,0.2155,0.1678,0.1902,0.2155,0.0257,5,4,"1,2,3,4,5,6,7|3,4,5,6|5,6|5",0.0073,0.0373,0.1148,0.167,0.2144,0.3119,0.1473,7,4,"1,2,3,4,5,6,7|4,5,6,7|6,7|7",0.0743,0.1225,0.202,0.1573,0.1573,0.2288,0.0579,3,4,"1,2,3,4,5,6,7|3,4,5,6|3,4|3",0.5458,0.2578,0.1218,0.0272,0.024,0.0165,0.0069,1,3,"1,2,3,4,5,6,7|1,2|1"
1st_avenue/north_to_south/004_n00042_S_L.jpg,0.3877,0.3877,0.1616,0.0361,0.0193,0.0043,0.0034,1,3,"1,2,3,4,5,6,7|1,2,3|1",0.0417,0.0778,0.2717,0.1868,0.2398,0.1454,0.0368,5,3,"1,2,3,4,5,6,7|3,4,5,6|5",0.1757,0.372,0.2897,0.083,0.0392,0.0305,0.0099,2,3,"1,2,3,4,5,6,7|1,2,3|2",0.0069,0.04,0.1232,0.2031,0.2608,0.3348,0.0311,6,4,"1,2,3,4,5,6,7|4,5,6|5,6|6",0.0515,0.075,0.1401,0.1091,0.2039,0.2966,0.1237,5,3,"1,2,3,4,5,6,7|5,6|5",0.3031,0.3031,0.1622,0.0527,0.0597,0.0597,0.0597,1,4,"1,2,3,4,5,6,7|1,2,3|1,2|1",0.0277,0.0966,0.1804,0.1804,0.2044,0.2974,0.0131,5,4,"1,2,3,4,5,6,7|3,4,5,6|5,6|5",0.0596,0.1262,0.2081,0.1621,0.1837,0.1837,0.0766,3,4,"1,2,3,4,5,6,7|3,4,5,6|3,4,5|3",0.123,0.1579,0.2028,0.123,0.1394,0.2028,0.0513,3,3,"1,2,3,4,5,6,7|2,3,6|3",0.6866,0.2229,0.0564,0.0111,0.0098,0.0086,0.0046,1,3,"1,2,3,4,5,6,7|1,2|1"
1st_avenue/north_to_south/004_n00042_S_R.jpg,0.1556,0.4228,0.3293,0.0648,0.0211,0.0047,0.0017,1,4,"1,2,3,4,5,6,7|1,2,3|1,2|1",0.0057,0.0156,0.0617,0.0699,0.2153,0.5165,0.1152,6,3,"1,2,3,4,5,6,7|5,6|6",0.1123,0.2695,0.3921,0.1273,0.0531,0.0365,0.0092,2,3,"1,2,3,4,5,6,7|2,3|2",0.2748,0.3114,0.1889,0.1011,0.0695,0.0478,0.0065,1,3,"1,2,3,4,5,6,7|1,2,3|1",0.0068,0.0236,0.0726,0.1198,0.2535,0.418,0.1057,5,3,"1,2,3,4,5,6,7|5,6|5",0.1959,0.4699,0.1959,0.0636,0.034,0.0265,0.0142,2,3,"1,2,3,4,5,6,7|1,2,3|2",0.0212,0.0839,0.2279,0.2279,0.2279,0.2011,0.01,6,5,"1,2,3,4,5,6,7|3,4,5,6|4,5,6|5,6|6",0.0098,0.05,0.12,0.1541,0.2242,0.2878,0.1541,7,4,"1,2,3,4,5,6,7|4,5,6,7|6,7|7",0.0652,0.1218,0.2009,0.1564,0.1773,0.2276,0.0508,3,4,"1,2,3,4,5,6,7|3,4,5,6|3,4|3",0.3109,0.3109,0.2421,0.0612,0.0421,0.0255,0.0073,1,3,"1,2,3,4,5,6,7|1,2,3|1"
1st_avenue/north_to_south/005_n00041_S_L.jpg,0.1135,0.2723,0.3961,0.1457,0.0536,0.0154,0.0034,2,4,"1,2,3,4,5,6,7|2,3,4|2,3|2",0.0461,0.0592,0.2341,0.1823,0.3005,0.142,0.0359,5,3,"1,2,3,4,5,6,7|3,4,5|5",0.0362,0.0983,0.3028,0.2358,0.1621,0.143,0.0219,4,4,"1,2,3,4,5,6,7|3,4,5,6|4,5|4",0.0038,0.0169,0.0589,0.1246,0.2638,0.435,0.0971,6,3,"1,2,3,4,5,6,7|5,6|6",0.0036,0.0142,0.0638,0.135,0.2858,0.4158,0.0819,5,3,"1,2,3,4,5,6,7|5,6|5",0.0674,0.126,0.2077,0.1427,0.1833,0.1617,0.1112,5,4,"1,2,3,4,5,6,7|3,5,6|5,6|5",0.3904,0.304,0.1627,0.0599,0.0363,0.0363,0.0104,1,3,"1,2,3,4,5,6,7|1,2,3|1",0.0294,0.08,0.1694,0.192,0.192,0.2465,0.0907,4,4,"1,2,3,4,5,6,7|3,4,5,6|4,5|4",0.0608,0.1137,0.2123,0.1654,0.1654,0.2406,0.0418,3,4,"1,2,3,4,5,6,7|3,4,5,6|3,4|3",0.1746,0.254,0.3696,0.0934,0.0642,0.039,0.0053,1,3,"1,2,3,4,5,6,7|1,2,3|1"
1st_avenue/north_to_south/005_n00041_S_R.jpg,0.1587,0.2966,0.3808,0.1236,0.0313,0.007,0.002,1,3,"1,2,3,4,5,6,7|1,2,3|1",0.0101,0.0213,0.0743,0.0842,0.2939,0.3774,0.1388,6,3,"1,2,3,4,5,6,7|5,6|6",0.09,0.2159,0.4033,0.1681,0.0794,0.0375,0.0058,3,4,"1,2,3,4,5,6,7|2,3,4|2,3|3",0.1543,0.2883,0.1749,0.1543,0.1202,0.0936,0.0144,1,4,"1,2,3,4,5,6,7|1,2,3,4|1,2|1",0.0436,0.0634,0.1185,0.1046,0.1954,0.3222,0.1522,6,4,"1,2,3,4,5,6,7|5,6,7|6,7|6",0.0988,0.237,0.3044,0.1629,0.112,0.0599,0.025,3,3,"1,2,3,4,5,6,7|2,3,4|3",0.079,0.1476,0.2147,0.1476,0.1672,0.2147,0.0291,5,4,"1,2,3,4,5,6,7|2,3,4,5,6|5,6|5",0.01,0.051,0.1572,0.1781,0.2018,0.2937,0.108,5,4,"1,2,3,4,5,6,7|3,4,5,6|4,5|5",0.1223,0.1223,0.157,0.1223,0.1223,0.2588,0.0952,3,3,"1,2,3,4,5,6,7|3,6|3",0.5124,0.3108,0.1009,0.0255,0.0255,0.0175,0.0073,1,3,"1,2,3,4,5,6,7|1,2|1"
1st_avenue/north_to_south/006_n00040_S_L.jpg,0.256,0.4221,0.256,0.0445,0.0164,0.0032,0.0017,1,3,"1,2,3,4,5,6,7|1,2,3|1",0.0683,0.0877,0.2702,0.2105,0.2105,0.1277,0.0251,3,4,"1,2,3,4,5,6,7|3,4,5|3,5|3",0.1352,0.3244,0.3676,0.1053,0.0387,0.0235,0.0052,2,3,"1,2,3,4,5,6,7|2,3|2",0.0102,0.0518,0.1408,0.2048,0.263,0.298,0.0314,6,4,"1,2,3,4,5,6,7|4,5,6|5,6|6",0.0863,0.0863,0.1423,0.1108,0.1827,0.2659,0.1256,5,3,"1,2,3,4,5,6,7|5,6|5",0.2356,0.3428,0.2079,0.0675,0.0526,0.0526,0.0409,1,4,"1,2,3,4,5,6,7|1,2,3|1,2|1",0.5835,0.2432,0.0895,0.0329,0.02,0.0226,0.0083,1,3,"1,2,3,4,5,6,7|1,2|1",0.0415,0.1127,0.2386,0.2105,0.164,0.1858,0.047,3,4,"1,2,3,4,5,6,7|3,4,5,6|3,4|3",0.14,0.1587,0.2038,0.1587,0.1236,0.1798,0.0354,3,4,"1,2,3,4,5,6,7|2,3,4,6|2,3|3",0.5602,0.2998,0.0859,0.0192,0.0169,0.0132,0.0048,1,3,"1,2,3,4,5,6,7|1,2|1"
