file,street,walk,seq,node_id,cardinal,side,resting_affordance,resting_affordance_ev,resting_affordance_argmax,resting_affordance_p1,resting_affordance_p2,resting_affordance_p3,resting_affordance_p4,resting_affordance_p5,resting_affordance_p6,resting_affordance_p7
1st_avenue/north_to_south/001_n00045_S_L.jpg,1st_avenue,north_to_south,1,n00045,S,L,2,1.8225450608879328,1,0.6016,0.2145,0.0802,0.0295,0.03,0.0264,0.0179
1st_avenue/north_to_south/001_n00045_S_R.jpg,1st_avenue,north_to_south,1,n00045,S,R,2,2.353755623102188,1,0.4116,0.2309,0.1538,0.0798,0.0602,0.0469,0.0167
1st_avenue/north_to_south/002_n00044_S_L.jpg,1st_avenue,north_to_south,2,n00044,S,L,2,1.7233073003590107,1,0.6419,0.1898,0.0803,0.0282,0.0245,0.0213,0.014
1st_avenue/north_to_south/002_n00044_S_R.jpg,1st_avenue,north_to_south,2,n00044,S,R,2,2.1253796499222517,1,0.4965,0.2309,0.1125,0.0523,0.0455,0.0434,0.019
1st_avenue/north_to_south/003_n00043_S_L.jpg,1st_avenue,north_to_south,3,n00043,S,L,2,2.241192327812314,1,0.4401,0.2213,0.1619,0.0753,0.0494,0.0391,0.0129
1st_avenue/north_to_south/003_n00043_S_R.jpg,1st_avenue,north_to_south,3,n00043,S,R,2,2.445902230218053,1,0.398,0.2065,0.1712,0.0902,0.061,0.0564,0.0167
1st_avenue/north_to_south/004_n00042_S_L.jpg,1st_avenue,north_to_south,4,n00042,S,L,2,1.8286076355725527,1,0.5981,0.2099,0.0875,0.0327,0.0284,0.0284,0.015
1st_avenue/north_to_south/004_n00042_S_R.jpg,1st_avenue,north_to_south,4,n00042,S,R,3,2.822944696061313,1,0.259,0.2049,0.251,0.1223,0.0802,0.0676,0.0151
1st_avenue/north_to_south/005_n00041_S_L.jpg,1st_avenue,north_to_south,5,n00041,S,L,3,2.7180007258430123,1,0.2862,0.1998,0.2525,0.1212,0.0659,0.0609,0.0136
1st_avenue/north_to_south/005_n00041_S_R.jpg,1st_avenue,north_to_south,5,n00041,S,R,2,2.225368060171604,1,0.4565,0.2482,0.1172,0.059,0.0474,0.0537,0.018
1st_avenue/north_to_south/006_n00040_S_L.jpg,1st_avenue,north_to_south,6,n00040,S,L,2,1.9142736475914717,1,0.558,0.24,0.0829,0.0374,0.03,0.034,0.0177
1st_avenue/north_to_south/006_n00040_S_R.jpg,1st_avenue,north_to_south,6,n00040,S,R,3,3.0896557942032814,1,0.2556,0.196,0.1812,0.1246,0.0897,0.1189,0.0341
1st_avenue/north_to_south/007_n00039_S_L.jpg,1st_avenue,north_to_south,7,n00039,S,L,2,2.1336006559431553,1,0.4696,0.2218,0.1623,0.0597,0.0385,0.0346,0.0135
