file,street,walk,seq,node_id,cardinal,side,vertical_greenery,vertical_hardscape,green_eye_level,sky_openness,walkable_ground,green_softening,signage_detail,facade_variation,ground_floor_activity
1st_avenue/north_to_south/13_n00022_S_R.jpg,1st_avenue,north_to_south,13,n00022,S,R,1.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0
1st_avenue/north_to_south/27_n00008_S_R.jpg,1st_avenue,north_to_south,27,n00008,S,R,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0
1st_avenue/north_to_south/32_n00003_S_R.jpg,1st_avenue,north_to_south,32,n00003,S,R,1.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0
1st_avenue/north_to_south/34_n00001_S_R.jpg,1st_avenue,north_to_south,34,n00001,S,R,1.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0
1st_avenue_west_branch/south_to_north/3_n00030_N_L.jpg,1st_avenue_west_branch,south_to_north,3,n00030,N,L,1.0,5.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0
2nd_avenue/north_to_south/11_n00069_S_L.jpg,2nd_avenue,north_to_south,11,n00069,S,L,1.0,6.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0
2nd_avenue/south_to_north/03_n00048_N_L.jpg,2nd_avenue,south_to_north,3,n00048,N,L,1.0,5.0,2.0,5.0,3.0,3.0,5.0,5.0,3.0
3rd_avenue/north_to_south/28_n00086_S_L.jpg,3rd_avenue,north_to_south,28,n00086,S,L,2.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0
Park_Ave_East/north_to_south/22_n00117_S_R.jpg,Park_Ave_East,north_to_south,22,n00117,S,R,3.0,3.0,5.0,3.0,3.0,5.0,1.0,3.0,3.0
east_34th_street/west_to_east/30_n00296_E_L.jpg,east_34th_street,west_to_east,30,n00296,E,L,2.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
east_35th_street/east_to_west/02_n00359_W_L.jpg,east_35th_street,east_to_west,2,n00359,W,L,1.0,6.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0
east_35th_street/east_to_west/23_n00338_W_L.jpg,east_35th_street,east_to_west,23,n00338,W,L,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
east_35th_street/east_to_west/29_n00332_W_R.jpg,east_35th_street,east_to_west,29,n00332,W,R,2.0,5.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0
east_35th_street/west_to_east/12_n00325_E_L.jpg,east_35th_street,west_to_east,12,n00325,E,L,3.0,6.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0
east_35th_street/west_to_east/47_n00360_E_L.jpg,east_35th_street,west_to_east,47,n00360,E,L,1.0,5.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0
east_36th_street/east_to_west/33_n00375_W_L.jpg,east_36th_street,east_to_west,33,n00375,W,L,1.0,6.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0
east_36th_street/west_to_east/01_n00361_E_R.jpg,east_36th_street,west_to_east,1,n00361,E,R,1.0,6.0,1.0,5.0,3.0,1.0,3.0,5.0,3.0
east_36th_street/west_to_east/34_n00394_E_R.jpg,east_36th_street,west_to_east,34,n00394,E,R,1.0,5.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0
