file,street,walk,seq,node_id,cardinal,side,vertical_greenery,vertical_hardscape,green_eye_level,sky_openness,walkable_ground,green_softening,signage_detail,facade_variation,ground_floor_activity,resting_affordance,vertical_greenery_ev,vertical_hardscape_ev,green_eye_level_ev,sky_openness_ev,walkable_ground_ev,green_softening_ev,signage_detail_ev,facade_variation_ev,ground_floor_activity_ev,resting_affordance_ev,vertical_greenery_argmax,vertical_hardscape_argmax,green_eye_level_argmax,sky_openness_argmax,walkable_ground_argmax,green_softening_argmax,signage_detail_argmax,facade_variation_argmax,ground_floor_activity_argmax,resting_affordance_argmax,vertical_greenery_p1,vertical_greenery_p2,vertical_greenery_p3,vertical_greenery_p4,vertical_greenery_p5,vertical_greenery_p6,vertical_greenery_p7,vertical_hardscape_p1,vertical_hardscape_p2,vertical_hardscape_p3,vertical_hardscape_p4,vertical_hardscape_p5,vertical_hardscape_p6,vertical_hardscape_p7,green_eye_level_p1,green_eye_level_p2,green_eye_level_p3,green_eye_level_p4,green_eye_level_p5,green_eye_level_p6,green_eye_level_p7,sky_openness_p1,sky_openness_p2,sky_openness_p3,sky_openness_p4,sky_openness_p5,sky_openness_p6,sky_openness_p7,walkable_ground_p1,walkable_ground_p2,walkable_ground_p3,walkable_ground_p4,walkable_ground_p5,walkable_ground_p6,walkable_ground_p7,green_softening_p1,green_softening_p2,green_softening_p3,green_softening_p4,green_softening_p5,green_softening_p6,green_softening_p7,signage_detail_p1,signage_detail_p2,signage_detail_p3,signage_detail_p4,signage_detail_p5,signage_detail_p6,signage_detail_p7,facade_variation_p1,facade_variation_p2,facade_variation_p3,facade_variation_p4,facade_variation_p5,facade_variation_p6,facade_variation_p7,ground_floor_activity_p1,ground_floor_activity_p2,ground_floor_activity_p3,ground_floor_activity_p4,ground_floor_activity_p5,ground_floor_activity_p6,ground_floor_activity_p7,resting_affordance_p1,resting_affordance_p2,resting_affordance_p3,resting_affordance_p4,resting_affordance_p5,resting_affordance_p6,resting_affordance_p7
1st_avenue/north_to_south/001_n00045_S_L.jpg,1st_avenue,north_to_south,1,n00045,S,L,2,4,3,5,4,3,3,5,4,2,1.9105361339170486,4.411916012875736,2.586984170600772,5.419570905156434,4.46523617208004,2.899073600769043,3.0538496673107147,4.565128833055496,4.324606943875551,1.7003099750727415,2,5,2,6,6,2,3,5,6,1,0.3536,0.4541,0.1474,0.0256,0.0137,0.0035,0.0021,0.009,0.0312,0.2038,0.2309,0.3807,0.1091,0.0354,0.165,0.3957,0.272,0.0779,0.0473,0.0287,0.0135,0.004,0.0138,0.0482,0.1157,0.2449,0.4576,0.1157,0.0561,0.0816,0.1728,0.1346,0.2219,0.2514,0.0816,0.2506,0.284,0.1952,0.0634,0.0718,0.0634,0.0718,0.1652,0.2403,0.2723,0.1286,0.1002,0.078,0.0154,0.0133,0.0594,0.1829,0.2073,0.2349,0.2349,0.0673,0.0688,0.1134,0.165,0.1456,0.1456,0.3082,0.0536,0.5779,0.273,0.0886,0.0198,0.0198,0.0136,0.0073
1st_avenue/north_to_south/001_n00045_S_R.jpg,1st_avenue,north_to_south,1,n00045,S,R,2,5,3,4,5,3,4,5,5,2,2.2943388181738555,5.413318884558976,2.7605750164948404,3.6660684160888195,4.6542295180261135,2.6407814566046,4.341656293720007,5.172200442291796,4.723071344196796,1.87133127450943,2,5,3,3,6,2,6,6,6,1,0.2544,0.3266,0.3266,0.0643,0.0209,0.0053,0.0019,0.0055,0.0117,0.0595,0.0764,0.3425,0.3425,0.1618,0.1366,0.2892,0.3713,0.1205,0.0502,0.0269,0.0053,0.0879,0.1861,0.2109,0.1861,0.1643,0.145,0.0196,0.0375,0.07,0.1678,0.1307,0.2155,0.2767,0.1018,0.237,0.3448,0.2092,0.0679,0.0599,0.0529,0.0283,0.0403,0.0966,0.1804,0.1804,0.2044,0.2625,0.0355,0.0054,0.0276,0.1092,0.1588,0.2039,0.3362,0.1588,0.0536,0.078,0.1458,0.1135,0.1458,0.3497,0.1135,0.5186,0.2776,0.1157,0.0293,0.0293,0.0201,0.0095
1st_avenue/north_to_south/002_n00044_S_L.jpg,1st_avenue,north_to_south,2,n00044,S,L,4,4,4,6,5,4,2,4,4,2,3.6743327090516686,3.808892285451293,4.2235091854818165,6.112307258415967,5.00609683804214,4.291805944405496,2.2784439949318767,4.2580846305936575,4.2599207535386086,1.7858699541538954,3,3,4,6,6,3,1,3,6,1,0.0072,0.0529,0.3909,0.3909,0.1269,0.0283,0.003,0.0689,0.0884,0.2724,0.2404,0.2122,0.1002,0.0174,0.0048,0.0356,0.263,0.298,0.2321,0.1595,0.007,0.0023,0.0048,0.0149,0.0357,0.1245,0.4345,0.3834,0.0201,0.0426,0.1157,0.1311,0.2449,0.3145,0.1311,0.0135,0.0686,0.2393,0.2393,0.2112,0.1864,0.0416,0.3795,0.2956,0.1582,0.0659,0.0453,0.0453,0.0101,0.0282,0.0983,0.2081,0.2081,0.2081,0.2081,0.041,0.0655,0.1223,0.178,0.1386,0.1571,0.2935,0.045,0.5124,0.3108,0.1143,0.0255,0.0199,0.0121,0.005
1st_avenue/north_to_south/002_n00044_S_R.jpg,1st_avenue,north_to_south,2,n00044,S,R,4,5,4,4,5,4,4,5,5,2,3.6041648036334664,5.091711203567684,4.090173999778926,4.456199761480093,4.816955010406673,4.155863218009472,4.266448188573122,5.105649121105671,4.6934377029538155,1.9056085729971528,3,5,3,6,6,3,5,6,6,1,0.0116,0.0759,0.3854,0.3854,0.1104,0.0279,0.0033,0.0119,0.0253,0.1,0.1133,0.3491,0.2719,0.1284,0.0081,0.0531,0.3056,0.2696,0.21,0.1443,0.0092,0.0326,0.1004,0.1461,0.1877,0.2126,0.273,0.0474,0.0122,0.0425,0.131,0.1682,0.2773,0.3142,0.0546,0.0145,0.0945,0.2569,0.2267,0.2001,0.1766,0.0307,0.0242,0.0958,0.2028,0.2028,0.2298,0.2298,0.0147,0.0056,0.0286,0.1131,0.1646,0.2114,0.3485,0.1282,0.0336,0.0805,0.1505,0.1328,0.1705,0.361,0.0711,0.4472,0.3483,0.1281,0.0324,0.0223,0.0153,0.0064
1st_avenue/north_to_south/003_n00043_S_L.jpg,1st_avenue,north_to_south,3,n00043,S,L,2,4,4,6,5,4,3,5,4,2,2.4129889248870313,4.275583131238818,3.557741403579712,5.584868141449988,5.206254723947495,3.929142378270626,3.1739262780174613,4.503000624477863,4.2069281451404095,2.175109694711864,2,5,3,6,6,3,3,6,6,1,0.2501,0.3212,0.2834,0.0812,0.0435,0.016,0.0046,0.026,0.0551,0.218,0.218,0.3172,0.1322,0.0334,0.067,0.1607,0.3402,0.1607,0.1418,0.1104,0.0192,0.004,0.0124,0.0381,0.0914,0.2192,0.4641,0.1707,0.007,0.0246,0.0857,0.1247,0.264,0.3841,0.11,0.096,0.1583,0.2303,0.1088,0.1583,0.1397,0.1088,0.1477,0.2148,0.2759,0.1477,0.115,0.0896,0.0094,0.0202,0.0705,0.1918,0.1918,0.2173,0.2462,0.0623,0.0566,0.1198,0.1976,0.1539,0.1744,0.2537,0.0441,0.3571,0.3151,0.2166,0.0483,0.0376,0.0201,0.0051
1st_avenue/north_to_south/003_n00043_S_R.jpg,1st_avenue,north_to_south,3,n00043,S,R,2,5,3,3,5,3,4,5,4,2,2.452791168820113,5.369486642070115,2.970820864662528,2.69242509547621,4.652050565928221,3.1066399440169334,3.9521052669733763,4.7362128887325525,4.255285419523716,2.1190877873450518,3,6,3,2,6,3,3,6,6,1,0.2292,0.2943,0.3335,0.0956,0.0352,0.0089,0.0033,0.0077,0.0163,0.0644,0.0827,0.2886,0.42,0.1203,0.112,0.2371,0.3909,0.1438,0.0679,0.0412,0.0072,0.2463,0.3163,0.1693,0.1163,0.08,0.0623,0.0096,0.029,0.0613,0.1667,0.1471,0.2425,0.2748,0.0787,0.1503,0.2478,0.2808,0.1171,0.1033,0.071,0.0296,0.0645,0.1367,0.2253,0.1755,0.1755,0.1988,0.0237,0.0113,0.0508,0.1565,0.2009,0.2276,0.258,0.0949,0.0743,0.1081,0.1782,0.1573,0.1573,0.2593,0.0656,0.4474,0.2395,0.1865,0.0472,0.0416,0.0286,0.0093
1st_avenue/north_to_south/004_n00042_S_L.jpg,1st_avenue,north_to_south,4,n00042,S,L,2,4,3,5,5,3,4,4,4,2,1.6247493126429617,4.025179874151945,2.6000224631279707,4.633231133688241,4.7648407109081745,2.598332814872265,4.268031760118902,4.192767724394798,4.026438377797604,1.5633851112797856,1,3,2,6,6,2,6,3,6,1,0.5882,0.2778,0.0902,0.0201,0.0157,0.0045,0.0035,0.048,0.0791,0.2761,0.1898,0.2437,0.1304,0.033,0.2013,0.3762,0.2282,0.0839,0.0509,0.0449,0.0146,0.0076,0.0494,0.1342,0.2507,0.2507,0.2841,0.0233,0.0363,0.0679,0.1437,0.1268,0.2091,0.3042,0.1119,0.295,0.3343,0.1579,0.0513,0.0581,0.0581,0.0452,0.0296,0.1034,0.1931,0.1931,0.2188,0.248,0.014,0.0543,0.1303,0.1896,0.1674,0.1896,0.1896,0.0791,0.1052,0.1351,0.1966,0.1192,0.1351,0.2524,0.0563,0.6476,0.2382,0.0683,0.0152,0.0152,0.0105,0.0049
1st_avenue/north_to_south/004_n00042_S_R.jpg,1st_avenue,north_to_south,4,n00042,S,R,2,5,3,3,5,3,4,5,4,2,2.352657041279599,5.46890216274187,3.2304549794644117,2.829713744111359,5.33381811529398,3.049882151186466,4.332002413459122,4.9019332733005285,4.49141451343894,2.370584004558623,2,6,3,2,6,2,6,5,6,1,0.1951,0.4131,0.2839,0.0718,0.0264,0.0076,0.0022,0.0043,0.0133,0.0596,0.0765,0.2358,0.4991,0.1114,0.075,0.2039,0.381,0.18,0.085,0.0662,0.009,0.239,0.2708,0.1862,0.1279,0.0879,0.0776,0.0105,0.0053,0.0184,0.0642,0.1199,0.2538,0.4185,0.1199,0.0972,0.3393,0.2643,0.1248,0.0858,0.0668,0.0217,0.0206,0.0814,0.1952,0.2212,0.2212,0.2507,0.0097,0.0079,0.0455,0.1402,0.1589,0.2619,0.2619,0.1237,0.0431,0.0913,0.1705,0.1505,0.1705,0.3186,0.0554,0.3268,0.2884,0.2246,0.0644,0.0501,0.0344,0.0112
1st_avenue/north_to_south/005_n00041_S_L.jpg,1st_avenue,north_to_south,5,n00041,S,L,3,4,4,5,5,4,2,4,4,3,2.9494454201776534,4.13396811299026,3.9005907960236073,5.309049665462226,5.2579102111049,4.0975842252373695,2.242927120067179,4.430198911577463,4.2021692134439945,2.6554898535832763,3,5,3,6,6,3,1,6,6,3,0.0777,0.2712,0.3946,0.1645,0.0686,0.0196,0.0039,0.0435,0.0633,0.2504,0.195,0.2838,0.134,0.0299,0.0331,0.102,0.3143,0.216,0.1682,0.1485,0.0177,0.0048,0.019,0.0587,0.1242,0.263,0.4335,0.0967,0.0041,0.0142,0.0637,0.1349,0.2856,0.4156,0.0818,0.0774,0.1446,0.2103,0.1276,0.1638,0.1638,0.1126,0.3637,0.321,0.1718,0.0558,0.0383,0.0383,0.011,0.0219,0.0764,0.2077,0.2077,0.1833,0.2354,0.0674,0.0548,0.1024,0.2168,0.1688,0.1688,0.2456,0.0427,0.2068,0.2655,0.3409,0.0862,0.0592,0.0359,0.0055
1st_avenue/north_to_south/005_n00041_S_R.jpg,1st_avenue,north_to_south,5,n00041,S,R,2,5,3,3,5,3,4,5,4,2,2.474094856181182,5.393491304945201,2.8938236380927265,2.9392416942864656,4.74690654873848,2.9983054734766483,4.173532413318753,4.656162677332759,4.0733006447553635,1.7225496489554644,3,6,3,2,6,2,6,6,6,1,0.1771,0.3308,0.3749,0.0836,0.0272,0.0047,0.0017,0.0069,0.0146,0.0652,0.0739,0.2923,0.4253,0.1218,0.1052,0.2524,0.4162,0.1351,0.0563,0.0301,0.0046,0.188,0.31,0.1659,0.1464,0.1006,0.0784,0.0106,0.0746,0.0746,0.123,0.0958,0.179,0.2951,0.1579,0.1626,0.3038,0.2366,0.0986,0.0986,0.0678,0.032,0.0552,0.1168,0.1925,0.1699,0.1925,0.2472,0.0261,0.009,0.0457,0.1595,0.2321,0.2321,0.263,0.0587,0.1356,0.1197,0.1537,0.1356,0.1197,0.2534,0.0823,0.5915,0.2466,0.0907,0.0229,0.0229,0.0179,0.0074
