file,street,walk,seq,node_id,cardinal,side,vertical_greenery,vertical_hardscape,green_eye_level,sky_openness,walkable_ground,green_softening,signage_detail,facade_variation,ground_floor_activity,vertical_greenery_ev,vertical_hardscape_ev,green_eye_level_ev,sky_openness_ev,walkable_ground_ev,green_softening_ev,signage_detail_ev,facade_variation_ev,ground_floor_activity_ev,vertical_greenery_argmax,vertical_hardscape_argmax,green_eye_level_argmax,sky_openness_argmax,walkable_ground_argmax,green_softening_argmax,signage_detail_argmax,facade_variation_argmax,ground_floor_activity_argmax,vertical_greenery_p1,vertical_greenery_p2,vertical_greenery_p3,vertical_greenery_p4,vertical_greenery_p5,vertical_greenery_p6,vertical_greenery_p7,vertical_hardscape_p1,vertical_hardscape_p2,vertical_hardscape_p3,vertical_hardscape_p4,vertical_hardscape_p5,vertical_hardscape_p6,vertical_hardscape_p7,green_eye_level_p1,green_eye_level_p2,green_eye_level_p3,green_eye_level_p4,green_eye_level_p5,green_eye_level_p6,green_eye_level_p7,sky_openness_p1,sky_openness_p2,sky_openness_p3,sky_openness_p4,sky_openness_p5,sky_openness_p6,sky_openness_p7,walkable_ground_p1,walkable_ground_p2,walkable_ground_p3,walkable_ground_p4,walkable_ground_p5,walkable_ground_p6,walkable_ground_p7,green_softening_p1,green_softening_p2,green_softening_p3,green_softening_p4,green_softening_p5,green_softening_p6,green_softening_p7,signage_detail_p1,signage_detail_p2,signage_detail_p3,signage_detail_p4,signage_detail_p5,signage_detail_p6,signage_detail_p7,facade_variation_p1,facade_variation_p2,facade_variation_p3,facade_variation_p4,facade_variation_p5,facade_variation_p6,facade_variation_p7,ground_floor_activity_p1,ground_floor_activity_p2,ground_floor_activity_p3,ground_floor_activity_p4,ground_floor_activity_p5,ground_floor_activity_p6,ground_floor_activity_p7
Park_Ave_East/north_to_south/22_n00117_S_R.jpg,Park_Ave_East,north_to_south,22,n00117,S,R,5,4,4,4,5,5,4,5,6,4.732083861948922,4.374073047190905,4.339665731880814,3.680519662797451,4.943089943844825,5.37065294891363,4.142096724361181,5.281930484808981,5.502561170142144,5,4,5,3,6,5,3,6,6,0.0014,0.011,0.0895,0.2846,0.389,0.2148,0.0097,0.0086,0.0398,0.1264,0.4016,0.2633,0.1388,0.0216,0.0048,0.0404,0.165,0.3231,0.3387,0.1227,0.0053,0.0642,0.1858,0.2277,0.2073,0.1692,0.1339,0.0119,0.0078,0.0293,0.1054,0.1822,0.2778,0.3403,0.0573,0.0007,0.004,0.0422,0.074,0.4194,0.3759,0.0839,0.0397,0.1131,0.2147,0.1924,0.2017,0.2147,0.0237,0.0023,0.0145,0.0877,0.1469,0.2172,0.4057,0.1257,0.0043,0.0172,0.069,0.0872,0.1654,0.5176,0.1393
east_35th_street/east_to_west/02_n00359_W_L.jpg,east_35th_street,east_to_west,2,n00359,W,L,2,5,2,3,4,3,4,5,5,1.559872175566852,5.080685970373452,1.7668908098712564,3.273817677050829,4.007651785388589,3.3564456049352884,3.989757489413023,4.982048972509801,4.698004510253668,1,6,1,2,3,3,3,6,6,0.6303,0.2587,0.073,0.0137,0.0131,0.0057,0.0055,0.0053,0.0215,0.0785,0.1796,0.2961,0.3356,0.0835,0.5444,0.3054,0.0784,0.0211,0.0236,0.0152,0.0118,0.0843,0.2897,0.2221,0.1841,0.1208,0.0897,0.0093,0.0376,0.0975,0.2528,0.245,0.1969,0.1396,0.0307,0.1046,0.2215,0.2801,0.1114,0.1925,0.0686,0.0213,0.0397,0.1166,0.2587,0.1923,0.1984,0.1806,0.0137,0.0061,0.0352,0.1192,0.1629,0.2603,0.319,0.0973,0.034,0.0767,0.155,0.1305,0.1624,0.3777,0.0636
east_35th_street/west_to_east/12_n00325_E_L.jpg,east_35th_street,west_to_east,12,n00325,E,L,4,5,3,4,5,5,4,5,5,3.9187224749475718,4.796296630986035,3.38668754324317,3.933256638236344,4.5583357978612185,4.7156395392958075,4.482506167143583,5.4577842485159636,5.122622041031718,4,4,3,4,4,5,5,6,6,0.015,0.0839,0.2665,0.3265,0.2244,0.0776,0.0062,0.0061,0.0255,0.0876,0.2871,0.2871,0.2534,0.0531,0.0532,0.1856,0.3207,0.2577,0.1316,0.0469,0.0042,0.0261,0.137,0.2258,0.2599,0.1993,0.1435,0.0084,0.0128,0.047,0.1492,0.2745,0.2461,0.2172,0.0532,0.0034,0.0282,0.1499,0.1408,0.4544,0.1924,0.0309,0.0167,0.064,0.1633,0.2164,0.2651,0.2651,0.0095,0.0022,0.0118,0.067,0.1313,0.1712,0.4654,0.1511,0.0193,0.0492,0.1108,0.1125,0.1587,0.4181,0.1316
east_36th_street/east_to_west/33_n00375_W_L.jpg,east_36th_street,east_to_west,33,n00375,W,L,3,5,3,3,4,4,4,5,5,3.322716634022072,4.586965455207974,2.9445432072971016,3.043342598248273,4.219482995569706,4.169243767857552,4.270137287676334,5.230891175335273,4.911382131278515,3,4,3,2,4,5,6,6,6,0.0347,0.1414,0.4223,0.2948,0.0845,0.0197,0.0026,0.0064,0.0312,0.1024,0.3465,0.2873,0.1944,0.0317,0.083,0.2988,0.3231,0.2022,0.0732,0.0182,0.0015,0.1419,0.2866,0.2303,0.1558,0.1054,0.0725,0.0074,0.0122,0.0572,0.2028,0.3396,0.2262,0.1394,0.0227,0.0087,0.072,0.2674,0.1699,0.3712,0.0968,0.014,0.0272,0.0981,0.195,0.1981,0.2316,0.2389,0.0112,0.0026,0.0165,0.085,0.1468,0.2459,0.3991,0.1041,0.017,0.0549,0.136,0.136,0.1801,0.3997,0.0763
east_39th_street/east_to_west/10_n00539_W_R.jpg,east_39th_street,east_to_west,10,n00539,W,R,4,4,3,3,4,4,4,5,4,3.7745198849588633,4.366911234334111,2.912651291117072,2.7516235667280853,3.931717064231634,3.87492099404335,3.5969681972637773,4.910514825023711,4.302042078226805,4,4,2,2,4,3,3,6,6,0.0257,0.0939,0.2846,0.3488,0.1754,0.0666,0.0051,0.0201,0.0679,0.1682,0.2646,0.2564,0.1936,0.0292,0.17,0.276,0.2361,0.1648,0.1,0.0487,0.0045,0.1672,0.3768,0.1955,0.1204,0.0841,0.0502,0.0059,0.0619,0.1157,0.2195,0.2374,0.1849,0.1581,0.0224,0.038,0.1349,0.3039,0.1392,0.2404,0.1084,0.0352,0.093,0.1969,0.2338,0.1582,0.1463,0.1582,0.0136,0.0085,0.0417,0.1266,0.193,0.2055,0.3335,0.0912,0.0435,0.1059,0.2009,0.1615,0.159,0.3017,0.0276
east_39th_street/east_to_west/13_n00536_W_R.jpg,east_39th_street,east_to_west,13,n00536,W,R,1,7,2,3,5,3,5,5,6,1.3233059365302324,6.576541587826796,1.9667067117989063,2.5997679280117154,4.8215309008955956,3.436179678887129,5.43931216862984,5.33093661442399,5.8788434765301645,1,7,1,1,5,3,6,6,6,0.849,0.0765,0.035,0.0081,0.0142,0.0071,0.01,0.0019,0.0043,0.0188,0.0265,0.0503,0.1347,0.7633,0.4949,0.2955,0.099,0.0297,0.0382,0.0246,0.018,0.3076,0.2673,0.1753,0.1014,0.0742,0.0645,0.0097,0.007,0.0259,0.1008,0.2418,0.3105,0.2574,0.0565,0.1201,0.1981,0.2665,0.1094,0.1861,0.0865,0.0334,0.0034,0.0145,0.0584,0.0919,0.1886,0.5809,0.0622,0.0029,0.0172,0.0807,0.1175,0.2526,0.3852,0.1439,0.0015,0.0058,0.0282,0.0458,0.1099,0.6129,0.1959
east_40th_street/east_to_west/30_n00565_W_R.jpg,east_40th_street,east_to_west,30,n00565,W,R,2,5,2,3,4,3,4,5,5,1.5627277102321386,4.647386210039258,1.8825268801301718,3.122023775242269,3.9956849440932274,3.245565962046385,4.233651492744684,5.136811659671366,4.736215779557824,1,6,1,2,4,3,6,6,6,0.7458,0.1162,0.0642,0.0181,0.0259,0.0187,0.0111,0.0218,0.0593,0.1423,0.2136,0.2204,0.2743,0.0683,0.5263,0.3046,0.0701,0.0217,0.0306,0.0297,0.0169,0.1677,0.2764,0.1813,0.1434,0.1171,0.1001,0.014,0.032,0.087,0.2479,0.2944,0.1961,0.11,0.0325,0.14,0.2308,0.2656,0.1008,0.1611,0.0738,0.028,0.0456,0.1219,0.1918,0.159,0.1802,0.279,0.0226,0.0062,0.0321,0.1053,0.1508,0.2093,0.3732,0.1231,0.0277,0.0708,0.1546,0.1323,0.1571,0.4139,0.0436
east_40th_street/west_to_east/13_n00561_E_R.jpg,east_40th_street,west_to_east,13,n00561,E,R,2,4,2,3,4,4,5,5,5,2.0713847037404776,4.4842114094644785,2.1159981386736035,2.6819425309076905,3.919033747166395,3.7815444748848677,4.625375801697373,5.093346796231344,4.927117086946964,1,4,1,2,4,3,6,6,6,0.4933,0.2089,0.1577,0.058,0.0466,0.0261,0.0093,0.0078,0.0437,0.1325,0.3279,0.2719,0.1928,0.0234,0.3775,0.3659,0.1325,0.0503,0.0424,0.0241,0.0074,0.221,0.337,0.1861,0.1202,0.074,0.0542,0.0076,0.0341,0.0972,0.2601,0.2812,0.1963,0.1136,0.0174,0.0522,0.1511,0.278,0.1334,0.2736,0.0902,0.0214,0.0102,0.0516,0.1565,0.2041,0.258,0.3016,0.0181,0.0026,0.0177,0.0886,0.179,0.2688,0.3731,0.0701,0.011,0.0449,0.1342,0.1406,0.1952,0.4331,0.0409
east_40th_street/west_to_east/23_n00571_E_R.jpg,east_40th_street,west_to_east,23,n00571,E,R,1,6,2,3,5,3,6,5,6,1.4708287557587028,5.54653679812327,1.9129106532782316,3.2811458110809326,4.521656550467014,3.3495916221290827,5.881772389344405,5.165995472576469,6.183102547191083,1,6,2,2,4,3,6,6,6,0.7436,0.1441,0.064,0.0154,0.0186,0.0078,0.0065,0.0051,0.0183,0.063,0.1159,0.2034,0.325,0.2694,0.3859,0.4583,0.0835,0.0271,0.0263,0.0128,0.0062,0.1522,0.232,0.1807,0.1864,0.1261,0.1113,0.0112,0.0092,0.0347,0.1193,0.3452,0.2817,0.1736,0.0364,0.0771,0.2337,0.3049,0.1251,0.1792,0.0659,0.014,0.001,0.0034,0.0187,0.0401,0.1057,0.689,0.1422,0.0048,0.0271,0.0959,0.1353,0.2648,0.3509,0.1213,0.0007,0.0018,0.0094,0.0186,0.066,0.5789,0.3247
east_41st_street/east_to_west/39_n00600_W_R.jpg,east_41st_street,east_to_west,39,n00600,W,R,2,5,2,2,4,3,4,5,5,2.382751025259495,4.588657516986132,1.7728068884462118,2.1021537771448493,4.174718925729394,2.894481413066387,4.291725704446435,5.245170629117638,4.767220851965249,1,6,1,2,4,2,6,6,6,0.4302,0.1822,0.1711,0.0821,0.0748,0.0446,0.015,0.0289,0.0673,0.1564,0.1858,0.2241,0.2703,0.0673,0.5792,0.2779,0.0592,0.0172,0.0251,0.0243,0.0172,0.3359,0.4313,0.1161,0.0566,0.0354,0.0215,0.0033,0.0162,0.067,0.2031,0.3296,0.2337,0.1251,0.0254,0.2193,0.2687,0.2372,0.0782,0.1036,0.0555,0.0375,0.0334,0.1113,0.1984,0.1645,0.1984,0.267,0.0269,0.0046,0.0238,0.0913,0.1308,0.2444,0.3613,0.1437,0.0152,0.0603,0.1613,0.1492,0.18,0.387,0.0469
