file,street,walk,seq,node_id,cardinal,side,vertical_greenery,vertical_hardscape,green_eye_level,sky_openness,walkable_ground,green_softening,signage_detail,facade_variation,ground_floor_activity,vertical_greenery_ev,vertical_hardscape_ev,green_eye_level_ev,sky_openness_ev,walkable_ground_ev,green_softening_ev,signage_detail_ev,facade_variation_ev,ground_floor_activity_ev,vertical_greenery_argmax,vertical_hardscape_argmax,green_eye_level_argmax,sky_openness_argmax,walkable_ground_argmax,green_softening_argmax,signage_detail_argmax,facade_variation_argmax,ground_floor_activity_argmax,vertical_greenery_p1,vertical_greenery_p2,vertical_greenery_p3,vertical_greenery_p4,vertical_greenery_p5,vertical_greenery_p6,vertical_greenery_p7,vertical_hardscape_p1,vertical_hardscape_p2,vertical_hardscape_p3,vertical_hardscape_p4,vertical_hardscape_p5,vertical_hardscape_p6,vertical_hardscape_p7,green_eye_level_p1,green_eye_level_p2,green_eye_level_p3,green_eye_level_p4,green_eye_level_p5,green_eye_level_p6,green_eye_level_p7,sky_openness_p1,sky_openness_p2,sky_openness_p3,sky_openness_p4,sky_openness_p5,sky_openness_p6,sky_openness_p7,walkable_ground_p1,walkable_ground_p2,walkable_ground_p3,walkable_ground_p4,walkable_ground_p5,walkable_ground_p6,walkable_ground_p7,green_softening_p1,green_softening_p2,green_softening_p3,green_softening_p4,green_softening_p5,green_softening_p6,green_softening_p7,signage_detail_p1,signage_detail_p2,signage_detail_p3,signage_detail_p4,signage_detail_p5,signage_detail_p6,signage_detail_p7,facade_variation_p1,facade_variation_p2,facade_variation_p3,facade_variation_p4,facade_variation_p5,facade_variation_p6,facade_variation_p7,ground_floor_activity_p1,ground_floor_activity_p2,ground_floor_activity_p3,ground_floor_activity_p4,ground_floor_activity_p5,ground_floor_activity_p6,ground_floor_activity_p7
1st_avenue/north_to_south/001_n00045_S_L.jpg,1st_avenue,north_to_south,1,n00045,S,L,2,4,3,5,4,3,3,5,4,1.974669993040152,4.398040380328894,2.5905614737421274,5.478209107881412,3.6605707742273808,3.1135755609720945,3.016165747307241,4.602413894608617,4.431846275925636,2,5,2,6,3,3,3,5,6,0.3205,0.4591,0.1716,0.0298,0.0139,0.0033,0.0018,0.0089,0.033,0.2085,0.2289,0.3775,0.1081,0.0351,0.1661,0.3742,0.296,0.0809,0.044,0.0271,0.0117,0.0039,0.0128,0.0448,0.1059,0.2387,0.46,0.1339,0.0799,0.1257,0.3015,0.2072,0.154,0.0964,0.0354,0.0846,0.269,0.3508,0.1087,0.1311,0.0419,0.0138,0.1737,0.2411,0.269,0.1291,0.099,0.0747,0.0134,0.0121,0.0586,0.1778,0.1984,0.2431,0.2393,0.0707,0.0565,0.1008,0.1661,0.1443,0.1537,0.3202,0.0583
1st_avenue/north_to_south/001_n00045_S_R.jpg,1st_avenue,north_to_south,1,n00045,S,R,2,5,3,4,4,4,4,5,5,2.282653572736308,5.461326724849641,2.719896110706032,3.653707483783364,4.000064715743065,3.696169720962644,4.430554712191224,5.246097407303751,4.820095174014568,2,5,3,3,4,3,6,6,6,0.2639,0.3284,0.3085,0.0688,0.0231,0.0054,0.0019,0.0051,0.0111,0.0553,0.0768,0.3337,0.3337,0.1843,0.1338,0.311,0.3693,0.1092,0.0462,0.0251,0.0054,0.0876,0.1944,0.2005,0.1914,0.1663,0.14,0.0199,0.0528,0.1017,0.2153,0.268,0.1842,0.1412,0.0368,0.0444,0.1575,0.3181,0.1326,0.2516,0.0767,0.0191,0.0309,0.0881,0.1807,0.1698,0.2113,0.2888,0.0304,0.0043,0.0231,0.0971,0.1552,0.1962,0.3665,0.1576,0.0412,0.0723,0.1351,0.1192,0.1531,0.3672,0.112
1st_avenue/north_to_south/002_n00044_S_L.jpg,1st_avenue,north_to_south,2,n00044,S,L,4,4,4,6,4,4,2,4,4,3.5643427229952067,3.749676045961678,4.052442113403231,5.982002221280709,3.9471797980368137,4.012808351777494,2.296550713479519,4.193536790087819,4.170284751802683,3,3,3,6,3,3,1,3,6,0.0091,0.063,0.4373,0.3625,0.1039,0.0218,0.0025,0.0651,0.0978,0.292,0.231,0.2103,0.089,0.0148,0.0072,0.0467,0.3095,0.3,0.203,0.127,0.0066,0.0034,0.007,0.0213,0.0458,0.1456,0.4486,0.3282,0.108,0.1132,0.2049,0.1699,0.1672,0.1753,0.0615,0.0087,0.0847,0.3049,0.2031,0.2956,0.0916,0.0115,0.3478,0.3216,0.1695,0.0674,0.0442,0.0403,0.0093,0.0293,0.1006,0.2197,0.2163,0.2064,0.1879,0.04,0.0721,0.1227,0.19,0.1457,0.1551,0.2765,0.038
1st_avenue/north_to_south/002_n00044_S_R.jpg,1st_avenue,north_to_south,2,n00044,S,R,4,5,4,4,4,4,4,5,5,3.568946797400713,5.168081214651465,4.135594465769827,4.286284349858761,4.21731885150075,4.232600466348231,4.336172139272094,5.203944006469101,4.6385713294148445,3,5,3,6,4,5,6,6,6,0.0122,0.0806,0.4032,0.3671,0.1068,0.027,0.003,0.0108,0.0229,0.0935,0.1059,0.3366,0.2879,0.1425,0.0084,0.0572,0.2904,0.2604,0.2125,0.1604,0.0107,0.0436,0.1168,0.1547,0.1986,0.2049,0.2434,0.0379,0.0389,0.0876,0.1974,0.2419,0.2037,0.1884,0.042,0.0055,0.0586,0.2585,0.1891,0.3645,0.1112,0.0127,0.0216,0.0869,0.1959,0.2021,0.229,0.2515,0.0129,0.0045,0.0244,0.0998,0.1521,0.2047,0.3824,0.1322,0.0375,0.082,0.1556,0.1352,0.1763,0.3453,0.068
1st_avenue/north_to_south/003_n00043_S_L.jpg,1st_avenue,north_to_south,3,n00043,S,L,2,4,4,6,4,4,3,5,4,2.432323744054884,4.339847547933459,3.549074741080404,5.507504280656576,4.414601323194802,4.052073441445828,3.282879678532481,4.523048922419548,4.3201721757650375,2,5,3,6,4,5,3,6,6,0.2597,0.3133,0.268,0.083,0.0511,0.0194,0.0054,0.0225,0.0508,0.2072,0.2171,0.3209,0.1492,0.0323,0.069,0.1629,0.3396,0.1604,0.1372,0.1085,0.0224,0.0036,0.0115,0.0396,0.1028,0.2317,0.4828,0.1279,0.0126,0.046,0.163,0.3093,0.2687,0.163,0.0375,0.0179,0.1001,0.2896,0.1574,0.2988,0.1116,0.0245,0.1319,0.2142,0.2543,0.1642,0.1201,0.1044,0.0108,0.0185,0.0733,0.1815,0.1933,0.2224,0.2481,0.0627,0.0507,0.104,0.1855,0.1562,0.1855,0.2741,0.0441
1st_avenue/north_to_south/003_n00043_S_R.jpg,1st_avenue,north_to_south,3,n00043,S,R,2,5,3,3,4,4,4,5,4,2.338666904019192,5.356456379406154,2.969087675679475,2.603708696551621,4.354381317272782,3.786399194970727,3.9535127263516174,4.665746149607003,4.05279365926981,3,6,3,2,4,3,3,6,6,0.2694,0.2958,0.3149,0.0796,0.0302,0.0072,0.0029,0.0079,0.0168,0.0673,0.0812,0.2835,0.4323,0.111,0.1191,0.2369,0.3785,0.1437,0.0722,0.0425,0.0072,0.2715,0.3125,0.1673,0.1097,0.0754,0.0552,0.0083,0.0234,0.0625,0.1672,0.289,0.2396,0.178,0.0403,0.0375,0.1437,0.3089,0.1414,0.2642,0.0819,0.0224,0.0658,0.135,0.2226,0.1734,0.1846,0.1965,0.022,0.0124,0.0564,0.1658,0.1969,0.2375,0.2489,0.0821,0.0944,0.1193,0.203,0.1485,0.1485,0.23,0.0564
1st_avenue/north_to_south/022_n00024_S_L.jpg,1st_avenue,north_to_south,22,n00024,S,L,1,4,2,2,3,3,2,4,4,1.3065395476296544,3.9278464317321777,1.9176203962415457,1.645983180962503,3.187516435980797,3.243051677942276,1.9442850165069103,3.6450643464922905,4.058519683778286,1,1,1,1,1,1,1,1,1,0.8694,0.065,0.0254,0.0063,0.0117,0.0079,0.0143,0.2272,0.0992,0.1444,0.0651,0.1274,0.1854,0.1513,0.5523,0.2865,0.049,0.0195,0.0262,0.0288,0.0376,0.6001,0.2705,0.0717,0.0229,0.0155,0.0143,0.005,0.2996,0.153,0.1629,0.0958,0.1004,0.1102,0.0782,0.2674,0.1648,0.1987,0.0635,0.1345,0.0743,0.0969,0.5507,0.2601,0.0668,0.0274,0.0287,0.0438,0.0224,0.2416,0.1488,0.1488,0.062,0.1234,0.1334,0.142,0.2178,0.1148,0.1203,0.0664,0.0827,0.2145,0.1834
1st_avenue/north_to_south/022_n00024_S_R.jpg,1st_avenue,north_to_south,22,n00024,S,R,1,4,2,2,4,4,2,3,4,1.283669120632112,4.425563812255859,1.9907773323357103,1.6495532365515828,3.761559069156647,3.6323264837265015,1.6815063636749985,2.9196375235915184,4.191365800797939,1,6,1,1,1,1,1,1,7,0.8958,0.0453,0.0183,0.0047,0.0095,0.0086,0.0177,0.2665,0.0567,0.0509,0.0233,0.0509,0.3165,0.2352,0.5686,0.2484,0.0482,0.0207,0.0316,0.0381,0.0445,0.6413,0.2323,0.056,0.0191,0.0182,0.0234,0.0097,0.3065,0.0935,0.0995,0.0653,0.098,0.1425,0.1948,0.3011,0.1091,0.1316,0.0427,0.14,0.0811,0.1944,0.7065,0.1652,0.0346,0.0151,0.0149,0.0399,0.0238,0.4735,0.1216,0.0823,0.0263,0.0693,0.0849,0.1422,0.3188,0.069,0.0648,0.0274,0.0452,0.1191,0.3557
1st_avenue/north_to_south/005_n00041_S_L.jpg,1st_avenue,north_to_south,5,n00041,S,L,3,4,4,5,5,4,2,5,4,2.92290832917206,4.1396777741611,3.9988646432757378,5.256294678896666,4.603128622286022,4.428525882773101,2.3100147247314453,4.501309346407652,4.25569586455822,3,5,3,6,4,5,1,6,6,0.0831,0.2641,0.4155,0.1482,0.0657,0.0197,0.0036,0.0463,0.0624,0.2428,0.2077,0.2667,0.1427,0.0314,0.0281,0.095,0.2882,0.2244,0.1861,0.1592,0.019,0.0058,0.0215,0.0632,0.1359,0.2579,0.4252,0.0905,0.0063,0.0283,0.1156,0.3193,0.3046,0.1877,0.0381,0.0067,0.0552,0.215,0.1728,0.3545,0.1675,0.0282,0.346,0.325,0.166,0.065,0.044,0.042,0.012,0.0192,0.0735,0.1936,0.2028,0.1906,0.2525,0.0679,0.0527,0.1064,0.202,0.1598,0.1727,0.2634,0.043
1st_avenue/north_to_south/005_n00041_S_R.jpg,1st_avenue,north_to_south,5,n00041,S,R,2,5,3,3,4,4,4,5,4,2.434842997114174,5.382026429288089,2.8518342464230955,3.169752782210708,3.664546564221382,3.792943136766553,4.147219084203243,4.642433138564229,4.035519257187843,2,6,3,2,3,3,6,6,6,0.1794,0.3568,0.3513,0.0821,0.0243,0.0045,0.0016,0.0079,0.0169,0.068,0.0795,0.2731,0.4296,0.125,0.1102,0.2643,0.4094,0.1308,0.0545,0.0266,0.0042,0.1606,0.269,0.1792,0.1533,0.1213,0.1021,0.0145,0.1535,0.1442,0.1881,0.1634,0.1465,0.1584,0.0461,0.0317,0.1465,0.3101,0.142,0.2694,0.0796,0.0208,0.0534,0.1221,0.1983,0.1644,0.1983,0.2392,0.0244,0.0114,0.0543,0.1698,0.2146,0.218,0.2589,0.073,0.1347,0.1246,0.16,0.1306,0.1266,0.2478,0.0756
