file,street,walk,seq,node_id,cardinal,side,vertical_greenery,vertical_hardscape,green_eye_level,sky_openness,walkable_ground,green_softening,signage_detail,facade_variation,ground_floor_activity,vertical_greenery_ev,vertical_hardscape_ev,green_eye_level_ev,sky_openness_ev,walkable_ground_ev,green_softening_ev,signage_detail_ev,facade_variation_ev,ground_floor_activity_ev,vertical_greenery_argmax,vertical_hardscape_argmax,green_eye_level_argmax,sky_openness_argmax,walkable_ground_argmax,green_softening_argmax,signage_detail_argmax,facade_variation_argmax,ground_floor_activity_argmax,vertical_greenery_p1,vertical_greenery_p2,vertical_greenery_p3,vertical_greenery_p4,vertical_greenery_p5,vertical_greenery_p6,vertical_greenery_p7,vertical_hardscape_p1,vertical_hardscape_p2,vertical_hardscape_p3,vertical_hardscape_p4,vertical_hardscape_p5,vertical_hardscape_p6,vertical_hardscape_p7,green_eye_level_p1,green_eye_level_p2,green_eye_level_p3,green_eye_level_p4,green_eye_level_p5,green_eye_level_p6,green_eye_level_p7,sky_openness_p1,sky_openness_p2,sky_openness_p3,sky_openness_p4,sky_openness_p5,sky_openness_p6,sky_openness_p7,walkable_ground_p1,walkable_ground_p2,walkable_ground_p3,walkable_ground_p4,walkable_ground_p5,walkable_ground_p6,walkable_ground_p7,green_softening_p1,green_softening_p2,green_softening_p3,green_softening_p4,green_softening_p5,green_softening_p6,green_softening_p7,signage_detail_p1,signage_detail_p2,signage_detail_p3,signage_detail_p4,signage_detail_p5,signage_detail_p6,signage_detail_p7,facade_variation_p1,facade_variation_p2,facade_variation_p3,facade_variation_p4,facade_variation_p5,facade_variation_p6,facade_variation_p7,ground_floor_activity_p1,ground_floor_activity_p2,ground_floor_activity_p3,ground_floor_activity_p4,ground_floor_activity_p5,ground_floor_activity_p6,ground_floor_activity_p7,street_dir,walk_dir,arc_veg,arc_sky,arc_bld,face_id
1st_avenue/north_to_south/01_n00045_S_L.jpg,1st_avenue,north_to_south,1,n00045,S,L,2,4,2,5,4,3,3,5,4,1.967119652312249,4.077475964091718,2.030727277509868,5.465788576286286,3.6572418212890634,3.086476813070476,3.04843120649457,4.587294593453407,4.422630567103624,2,4,2,6,3,3,3,5,6,0.3248,0.4581,0.1685,0.0293,0.0141,0.0033,0.0019,0.0086,0.0472,0.162,0.4991,0.2181,0.0534,0.0116,0.3794,0.3854,0.1418,0.04,0.0332,0.0124,0.0079,0.0041,0.0136,0.046,0.1086,0.2373,0.4573,0.1331,0.0785,0.1254,0.3056,0.2068,0.1537,0.0947,0.0354,0.0851,0.2748,0.3528,0.1076,0.1278,0.039,0.0129,0.1678,0.2366,0.2723,0.1307,0.1018,0.0768,0.014,0.0124,0.0601,0.1794,0.2001,0.2413,0.2376,0.0691,0.057,0.1016,0.1675,0.1433,0.1549,0.3179,0.0579,1st_avenue,north_to_south,0.0013080345376361938,0.4154690722102874,0.09912452194814982,f1
1st_avenue/north_to_south/01_n00045_S_R.jpg,1st_avenue,north_to_south,1,n00045,S,R,2,5,2,4,4,4,4,5,5,2.3216135657858104,5.015449944883585,2.227555757388473,3.6712746154516935,3.990338463336229,3.7045867424458265,4.441846551373601,5.244815453886986,4.826878111809492,2,6,2,3,4,3,6,6,6,0.2463,0.3263,0.3263,0.0706,0.0233,0.0053,0.0019,0.0082,0.0273,0.0866,0.1952,0.2752,0.3168,0.0908,0.3001,0.3975,0.1683,0.068,0.0453,0.0164,0.0043,0.0842,0.1897,0.2052,0.1927,0.1675,0.141,0.0197,0.0536,0.1017,0.2153,0.2722,0.1813,0.139,0.0368,0.0452,0.1577,0.3137,0.1328,0.2521,0.0781,0.0204,0.0302,0.0874,0.1793,0.171,0.2096,0.291,0.0316,0.0044,0.0238,0.0985,0.1549,0.1928,0.3659,0.1598,0.041,0.0719,0.1343,0.1185,0.1522,0.3708,0.1113,1st_avenue,north_to_south,0.0034217622714841126,0.1137467497856785,0.38285510797893624,f1
1st_avenue/north_to_south/02_n00043_S_L.jpg,1st_avenue,north_to_south,2,n00043,S,L,2,4,3,6,4,4,3,5,4,2.438328994438052,3.895914423279464,2.724678105674684,5.510794012341648,4.385432114824653,4.0619732439517975,3.2835238510742784,4.529610671103001,4.318193156272173,2,4,2,6,4,5,3,6,6,0.2565,0.3143,0.2688,0.0846,0.0513,0.0192,0.0052,0.0251,0.0862,0.1974,0.4379,0.1769,0.0651,0.0113,0.2116,0.2938,0.2398,0.1206,0.0896,0.0362,0.0083,0.0036,0.0114,0.0397,0.1014,0.2321,0.4837,0.1282,0.0132,0.0485,0.1691,0.3111,0.262,0.1589,0.0372,0.0179,0.0981,0.2885,0.1568,0.3023,0.1112,0.0252,0.132,0.2143,0.2544,0.1643,0.1183,0.1061,0.0107,0.019,0.0741,0.1806,0.1922,0.2178,0.2507,0.0654,0.0517,0.1044,0.1862,0.1543,0.1833,0.2751,0.0449,1st_avenue,north_to_south,0.05603902983858175,0.3814351754698197,0.09954058388545065,f1
1st_avenue/north_to_south/02_n00043_S_R.jpg,1st_avenue,north_to_south,2,n00043,S,R,2,5,3,3,4,4,4,5,4,2.3384572460781783,4.5799306482076645,2.520845665829256,2.616284228861332,4.374168567359448,3.793061126023531,3.9610727299004793,4.655214251019061,4.0624680034816265,3,5,2,2,4,3,3,6,6,0.2694,0.2958,0.3149,0.0796,0.0302,0.0072,0.0029,0.0257,0.0536,0.1456,0.173,0.344,0.2086,0.0496,0.2328,0.344,0.2119,0.1208,0.0657,0.0213,0.0036,0.2682,0.3136,0.1679,0.1084,0.0768,0.0562,0.0089,0.0218,0.0602,0.1637,0.2918,0.2419,0.1798,0.0407,0.0361,0.1407,0.3122,0.143,0.2629,0.0827,0.0223,0.0665,0.1343,0.2214,0.1724,0.1836,0.1985,0.0233,0.0124,0.0575,0.1665,0.1977,0.2385,0.2461,0.0812,0.0938,0.1185,0.2017,0.1475,0.1522,0.2285,0.0578,1st_avenue,north_to_south,0.0,0.05681214697987741,0.44875537296760737,f1
1st_avenue/north_to_south/03_n00041_S_L.jpg,1st_avenue,north_to_south,3,n00041,S,L,3,4,3,5,5,4,2,5,4,2.9272035295143723,3.637852263636887,3.233426872873679,5.256719719152898,4.600401951931417,4.445623197127134,2.313751237466932,4.50582810305059,4.229598306119442,3,4,3,6,4,5,1,6,6,0.0812,0.2622,0.419,0.1494,0.0653,0.0193,0.0035,0.0653,0.1279,0.228,0.3477,0.1567,0.0623,0.0121,0.0982,0.2213,0.2547,0.2547,0.1203,0.0479,0.0031,0.0057,0.0211,0.063,0.1354,0.261,0.4237,0.0902,0.0062,0.0279,0.1139,0.3244,0.3047,0.1848,0.0381,0.0065,0.0527,0.2116,0.1727,0.36,0.1674,0.0291,0.3421,0.3264,0.1693,0.0653,0.0435,0.0415,0.0119,0.0192,0.0737,0.1911,0.2035,0.1911,0.2532,0.0682,0.0541,0.1076,0.2073,0.159,0.1719,0.258,0.0421,1st_avenue,north_to_south,0.04101459123907342,0.3551768396569288,0.13528624654631544,f1
1st_avenue/north_to_south/03_n00041_S_R.jpg,1st_avenue,north_to_south,3,n00041,S,R,2,5,2,3,4,4,4,5,4,2.434989535599016,4.738620346412063,2.4330524019896984,3.171100947074592,3.6446726992726326,3.782951191067696,4.140323905274272,4.637961494736373,4.052137158811092,2,5,2,2,3,3,6,6,6,0.1786,0.3552,0.3552,0.0818,0.0234,0.0043,0.0015,0.0121,0.0402,0.1181,0.2138,0.316,0.2423,0.0575,0.2392,0.3823,0.1983,0.0967,0.0577,0.0216,0.0042,0.1613,0.2701,0.1771,0.1515,0.1217,0.1041,0.0141,0.1588,0.1468,0.1856,0.1588,0.1468,0.1563,0.0469,0.0315,0.1478,0.3129,0.141,0.2676,0.0791,0.02,0.0536,0.1226,0.199,0.165,0.199,0.2363,0.0245,0.0115,0.0539,0.1712,0.2164,0.2164,0.257,0.0736,0.1314,0.1234,0.161,0.1314,0.1274,0.2494,0.076,1st_avenue,north_to_south,0.0028876418815127875,0.0469928929970659,0.46905000987133605,f1
1st_avenue/north_to_south/04_n00039_S_L.jpg,1st_avenue,north_to_south,4,n00039,S,L,3,3,3,5,4,4,2,4,4,3.424596772994846,3.298524827696383,3.109444327885285,5.27814439451322,4.447612394113094,4.391051151324064,2.020853456109762,4.043504118919373,4.276750929653645,3,4,3,6,4,5,1,3,6,0.0326,0.1438,0.3972,0.2646,0.1211,0.0358,0.0048,0.115,0.1896,0.2323,0.2802,0.1224,0.0487,0.0117,0.0974,0.2646,0.273,0.2093,0.1103,0.0425,0.0028,0.0041,0.0167,0.0584,0.1357,0.2742,0.4246,0.0863,0.0075,0.0367,0.1522,0.3324,0.2756,0.1671,0.0286,0.0068,0.0524,0.2275,0.1718,0.3693,0.1424,0.0298,0.4514,0.3151,0.1159,0.0483,0.0275,0.0312,0.0105,0.0534,0.1281,0.2214,0.1984,0.1671,0.1807,0.051,0.0558,0.1075,0.1977,0.154,0.1639,0.2703,0.0508,1st_avenue,north_to_south,0.04981751828436763,0.3625012320695629,0.1002328063668567,f1
1st_avenue/north_to_south/04_n00039_S_R.jpg,1st_avenue,north_to_south,4,n00039,S,R,3,5,3,3,4,4,5,5,5,2.5461822150973603,4.642952213995159,2.670080976327881,3.414937224239111,4.240803420543671,4.057617356069386,4.659567981958389,5.178671750007197,4.756932832300663,3,4,2,2,6,5,6,6,6,0.1598,0.3177,0.3893,0.0939,0.03,0.0074,0.0019,0.0097,0.0367,0.1113,0.3074,0.2713,0.2048,0.0587,0.1573,0.349,0.2761,0.1284,0.0646,0.022,0.0026,0.1263,0.2359,0.1866,0.1647,0.1387,0.1303,0.0176,0.0767,0.0984,0.1674,0.1727,0.1839,0.2513,0.0495,0.0123,0.0994,0.2833,0.1589,0.3312,0.0994,0.0155,0.0191,0.0666,0.1573,0.1648,0.2183,0.3329,0.041,0.0034,0.019,0.0948,0.169,0.2136,0.3929,0.1074,0.049,0.0784,0.1354,0.1158,0.1441,0.3797,0.0975,1st_avenue,north_to_south,0.0009712553197032253,0.06488332444758967,0.44281268164970816,f1
1st_avenue/north_to_south/05_n00037_S_L.jpg,1st_avenue,north_to_south,5,n00037,S,L,3,4,3,6,4,4,4,4,4,2.882423839531839,3.7810058165341616,2.564520299434662,5.569419828010723,4.453740242868662,4.052423570305109,3.867186419665813,4.328663006424904,3.671859048306942,3,4,2,6,4,3,3,6,3,0.0731,0.3079,0.3893,0.1478,0.0606,0.0174,0.0039,0.0692,0.1334,0.2132,0.2737,0.1795,0.1039,0.0271,0.2245,0.3477,0.221,0.0981,0.0695,0.0328,0.0064,0.0035,0.0117,0.0416,0.0909,0.2214,0.4688,0.162,0.0164,0.049,0.163,0.2906,0.2486,0.1819,0.0505,0.0169,0.1001,0.2897,0.1677,0.2852,0.1135,0.0269,0.0709,0.1188,0.2326,0.222,0.1784,0.1599,0.0174,0.063,0.1158,0.1822,0.1487,0.1633,0.213,0.114,0.1587,0.1689,0.1974,0.1057,0.1198,0.1855,0.0641,1st_avenue,north_to_south,0.07384875882892919,0.34142516187709143,0.07137622830034819,f1
1st_avenue/north_to_south/05_n00037_S_R.jpg,1st_avenue,north_to_south,5,n00037,S,R,2,5,2,3,4,4,5,5,5,2.02721824683249,5.069811408873648,2.2627967223525047,3.257521152496338,4.055189721286297,3.5839249715209007,4.857878462411463,5.120411533862352,5.2994880098849535,1,5,2,2,4,3,6,6,6,0.4184,0.2921,0.1976,0.0477,0.0294,0.0098,0.005,0.0052,0.0196,0.0707,0.2469,0.267,0.2431,0.1474,0.2838,0.4129,0.1617,0.0695,0.0471,0.0202,0.0047,0.1295,0.2657,0.1974,0.1611,0.1315,0.1008,0.0139,0.0489,0.1002,0.2025,0.26,0.2025,0.1553,0.0306,0.0511,0.2022,0.2988,0.1285,0.2186,0.0804,0.0203,0.0112,0.0417,0.1284,0.1675,0.2362,0.3775,0.0374,0.0038,0.0228,0.1004,0.1709,0.2335,0.3617,0.1069,0.0152,0.0382,0.0901,0.0944,0.144,0.4871,0.1311,1st_avenue,north_to_south,0.00030044315292152506,0.09203938676753554,0.3971203662683081,f1
