street,direction,seq,node_id,cardinal,file,bearing,in_view,nearest_m,shed_in_view,shed_nearest_m,supported_in_view,supported_nearest_m,suspended_in_view,suspended_nearest_m,fence_in_view,fence_nearest_m
1st_avenue,north_to_south,1,n00043,S,1st_avenue/north_to_south/01_n00043_S.jpg,208.0,False,78.1,False,78.1,False,78.1,False,78.1,False,329.5
1st_avenue,north_to_south,2,n00042,S,1st_avenue/north_to_south/02_n00042_S.jpg,208.0,False,57.5,False,57.5,False,57.5,False,57.5,False,309.1
1st_avenue,north_to_south,3,n00041,S,1st_avenue/north_to_south/03_n00041_S.jpg,208.0,False,90.3,False,90.3,False,90.3,False,90.3,False,311.1
1st_avenue,north_to_south,4,n00040,S,1st_avenue/north_to_south/04_n00040_S.jpg,208.0,False,72.8,False,72.8,False,72.8,False,72.8,False,301.9
1st_avenue,north_to_south,5,n00039,S,1st_avenue/north_to_south/05_n00039_S.jpg,208.0,False,87.7,False,104.8,False,87.7,False,104.8,False,292.8
1st_avenue,north_to_south,6,n00038,S,1st_avenue/north_to_south/06_n00038_S.jpg,208.0,False,87.8,False,90.0,False,87.8,False,90.0,False,282.9
1st_avenue,north_to_south,7,n00037,S,1st_avenue/north_to_south/07_n00037_S.jpg,208.0,False,68.0,False,120.9,False,68.0,False,120.9,False,274.8
1st_avenue,north_to_south,8,n00036,S,1st_avenue/north_to_south/08_n00036_S.jpg,208.0,False,68.1,False,108.2,False,68.1,False,108.2,False,263.9
1st_avenue,north_to_south,9,n00035,S,1st_avenue/north_to_south/09_n00035_S.jpg,208.0,False,48.1,False,135.7,False,48.1,False,135.7,False,255.5
1st_avenue,north_to_south,10,n00034,S,1st_avenue/north_to_south/10_n00034_S.jpg,208.0,False,48.4,False,127.3,False,48.4,False,127.3,False,245.8
1st_avenue,north_to_south,11,n00033,S,1st_avenue/north_to_south/11_n00033_S.jpg,208.0,True,28.6,False,149.6,True,28.6,False,149.6,False,235.7
1st_avenue,north_to_south,12,n00032,S,1st_avenue/north_to_south/12_n00032_S.jpg,208.0,True,28.9,False,146.8,True,28.9,False,146.8,False,228.4
1st_avenue,north_to_south,13,n00031,S,1st_avenue/north_to_south/13_n00031_S.jpg,208.0,True,9.2,False,161.6,True,9.2,False,161.6,False,216.6
1st_avenue,north_to_south,14,n00030,S,1st_avenue/north_to_south/14_n00030_S.jpg,208.0,True,12.7,False,153.8,True,12.7,False,153.8,False,210.5
1st_avenue,north_to_south,15,n00029,S,1st_avenue/north_to_south/15_n00029_S.jpg,208.0,False,11.2,False,167.7,False,11.2,False,167.7,False,199.1
1st_avenue,north_to_south,16,n00028,S,1st_avenue/north_to_south/16_n00028_S.jpg,208.0,False,16.9,False,161.1,False,16.9,False,161.1,False,193.0
1st_avenue,north_to_south,17,n00027,S,1st_avenue/north_to_south/17_n00027_S.jpg,208.0,False,31.0,False,176.3,False,31.0,False,176.3,False,182.4
1st_avenue,north_to_south,18,n00026,S,1st_avenue/north_to_south/18_n00026_S.jpg,208.0,False,34.7,False,170.3,False,34.7,False,170.3,False,176.0
1st_avenue,north_to_south,19,n00025,S,1st_avenue/north_to_south/19_n00025_S.jpg,208.0,False,51.0,False,166.6,False,51.0,False,166.6,False,166.6
1st_avenue,north_to_south,20,n00023,S,1st_avenue/north_to_south/20_n00023_S.jpg,208.0,False,71.0,False,151.8,False,71.0,False,151.8,False,151.8
