street,direction,seq,node_id,cardinal,file,road,sidewalk,building,wall,fence,pole,traffic_light,traffic_sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
1st_avenue,north_to_south,1,n00043,S,1st_avenue/north_to_south/01_n00043_S.jpg,38.6339,4.5275,25.3312,0.0151,5.0914,1.3583,0.0335,0.064,3.8459,0.1714,20.1449,0.3884,0.0,0.1428,0.2371,0.0,0.0011,0.0,0.0136
1st_avenue,north_to_south,2,n00042,S,1st_avenue/north_to_south/02_n00042_S.jpg,36.3355,5.3382,24.4692,0.3539,4.3216,2.0579,0.0569,0.3938,5.8443,0.1431,20.0327,0.2738,0.0238,0.1534,0.004,0.0,0.0,0.0,0.1977
1st_avenue,north_to_south,3,n00041,S,1st_avenue/north_to_south/03_n00041_S.jpg,34.8866,1.9413,29.3238,3.0412,4.453,0.5709,0.0273,0.0069,5.7972,0.0,18.8592,1.0432,0.0,0.0493,0.0,0.0,0.0,0.0,0.0
1st_avenue,north_to_south,4,n00040,S,1st_avenue/north_to_south/04_n00040_S.jpg,37.5633,1.7015,27.2439,0.3572,6.5843,0.8308,0.0,0.173,3.7011,0.027,19.5801,0.1281,0.0887,0.5435,0.0109,0.0,0.0,0.0054,1.4613
1st_avenue,north_to_south,5,n00039,S,1st_avenue/north_to_south/05_n00039_S.jpg,36.31,2.8101,29.2653,3.3712,2.9966,0.4598,0.038,0.0075,5.8342,0.2037,17.9654,0.5345,0.0294,0.1167,0.0,0.0,0.0,0.0,0.0575
1st_avenue,north_to_south,6,n00038,S,1st_avenue/north_to_south/06_n00038_S.jpg,38.8963,1.273,26.8169,3.6253,3.6212,0.6146,0.0081,0.1707,3.3225,1.0345,20.113,0.0435,0.0,0.1574,0.0,0.0002,0.0301,0.0,0.2727
1st_avenue,north_to_south,7,n00037,S,1st_avenue/north_to_south/07_n00037_S.jpg,43.795,2.517,26.5406,0.798,2.623,1.2726,0.0639,0.1702,5.7342,0.0,16.2679,0.1088,0.0,0.1089,0.0,0.0,0.0,0.0,0.0
1st_avenue,north_to_south,8,n00036,S,1st_avenue/north_to_south/08_n00036_S.jpg,43.2242,1.3537,26.4835,2.1882,2.7796,0.5002,0.021,0.0409,2.4107,0.2222,20.5488,0.0459,0.0,0.181,0.0,0.0,0.0,0.0,0.0
1st_avenue,north_to_south,9,n00035,S,1st_avenue/north_to_south/09_n00035_S.jpg,39.146,5.4815,31.8068,3.0186,1.3864,0.4714,0.0284,0.0227,0.0878,0.0,17.5267,0.0243,0.0,0.9063,0.0477,0.0,0.0,0.0,0.0456
1st_avenue,north_to_south,10,n00034,S,1st_avenue/north_to_south/10_n00034_S.jpg,40.8038,0.8138,29.745,3.6705,2.1075,0.2048,0.0046,0.0565,0.8781,0.0,21.3715,0.0713,0.013,0.1532,0.0957,0.0,0.0,0.0,0.0107
