vertical_greenery,vertical_hardscape,green_eye_level,green_softening,signage_detail,enclosure,facade_variation,walking_room,ground_floor_activity,street_trees,seating_places,planters,people,greenery_layer,dominant_edge,file,street,direction,node_id,cardinal,seq,nat_built,gvi_eye_n,gmi_n,signage_n,enclosure_vlm,sfv_n,walkroom_vlm,gfapi_n,Imageability_vlm,Identity_vlm,Dependence_vlm,SIM_vlm,VEI,sidewalk,Imageability_hybrid,Identity_hybrid,Dependence_hybrid,SIM_hybrid
1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,none,blank_wall,1st_avenue/north_to_south/01_n00043_S.jpg,1st_avenue,north_to_south,n00043,S,1,0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0425,0.33,0.0,0.12335000000000002,0.610083536095573,4.5275,0.0425,0.20132756691153908,0.129133600657685,0.12350218529784396
1.0,7.0,1.0,1.0,3.0,7.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,none,blank_wall,1st_avenue/north_to_south/02_n00042_S.jpg,1st_avenue,north_to_south,n00042,S,2,0.125,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0425,0.5533333333333333,0.22333333333333333,0.27075,0.6083693140264618,5.3382,0.0425,0.4240952069620657,0.2622564300454675,0.24094604021248597
1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,none,blank_wall,1st_avenue/north_to_south/03_n00041_S.jpg,1st_avenue,north_to_south,n00041,S,3,0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0425,0.33,0.0,0.12335000000000002,0.6165555665346012,1.9413,0.0425,0.2034633369564184,0.05536986393302351,0.09986495629351584
1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,none,blank_wall,1st_avenue/north_to_south/04_n00040_S.jpg,1st_avenue,north_to_south,n00040,S,4,0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0425,0.33,0.0,0.12335000000000002,0.6301954983937154,1.7015,0.0425,0.2079645144699261,0.048530275321712,0.09909328063124058
1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,none,blank_wall,1st_avenue/north_to_south/05_n00039_S.jpg,1st_avenue,north_to_south,n00039,S,5,0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0425,0.33,0.0,0.12335000000000002,0.5980649727436176,2.8101,0.0425,0.19736144100539382,0.0801498246732547,0.10602871767395403
1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,none,blank_wall,1st_avenue/north_to_south/06_n00038_S.jpg,1st_avenue,north_to_south,n00038,S,6,0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0425,0.33,0.0,0.12335000000000002,0.6348132757776395,1.273,0.0425,0.20948838100662104,0.03630857507172458,0.09556299550585406
1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,none,blank_wall,1st_avenue/north_to_south/07_n00037_S.jpg,1st_avenue,north_to_south,n00037,S,7,0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0425,0.33,0.0,0.12335000000000002,0.5898574533034389,2.517,0.0425,0.19465295959013484,0.07179001056993775,0.10237618015282396
1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,none,blank_wall,1st_avenue/north_to_south/08_n00036_S.jpg,1st_avenue,north_to_south,n00036,S,8,0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0425,0.33,0.0,0.12335000000000002,0.596876532546461,1.3537,0.0425,0.19696925574033214,0.03861030485042699,0.09219125499495053
1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,none,blank_wall,1st_avenue/north_to_south/09_n00035_S.jpg,1st_avenue,north_to_south,n00035,S,9,0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0425,0.33,0.0,0.12335000000000002,0.5539720459261379,5.4815,0.0425,0.18281077515562552,0.1563436404207842,0.1263709571402152
1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,none,blank_wall,1st_avenue/north_to_south/10_n00034_S.jpg,1st_avenue,north_to_south,n00034,S,10,0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0425,0.33,0.0,0.12335000000000002,0.583737671518041,0.8138,0.0425,0.19263343160095353,0.023211247755985435,0.08567874418778987
