idx,sheet,street,direction,seq,node_id,file,vlm_structure,vlm_type,in_view,shed_in_view,shed_nearest_m
1,1,1st_avenue,north_to_south,1,n00043,1st_avenue/north_to_south/01_n00043_S.jpg,False,,False,False,78.1
2,1,1st_avenue,north_to_south,2,n00042,1st_avenue/north_to_south/02_n00042_S.jpg,False,,False,False,57.5
3,1,1st_avenue,north_to_south,3,n00041,1st_avenue/north_to_south/03_n00041_S.jpg,False,,False,False,90.3
4,1,1st_avenue,north_to_south,4,n00040,1st_avenue/north_to_south/04_n00040_S.jpg,False,,False,False,72.8
5,1,1st_avenue,north_to_south,5,n00039,1st_avenue/north_to_south/05_n00039_S.jpg,False,,False,False,104.8
6,1,1st_avenue,north_to_south,6,n00038,1st_avenue/north_to_south/06_n00038_S.jpg,False,,False,False,90.0
7,1,1st_avenue,north_to_south,7,n00037,1st_avenue/north_to_south/07_n00037_S.jpg,False,,False,False,120.9
8,1,1st_avenue,north_to_south,8,n00036,1st_avenue/north_to_south/08_n00036_S.jpg,False,,False,False,108.2
9,1,1st_avenue,north_to_south,9,n00035,1st_avenue/north_to_south/09_n00035_S.jpg,False,,False,False,135.7
10,1,1st_avenue,north_to_south,10,n00034,1st_avenue/north_to_south/10_n00034_S.jpg,False,,False,False,127.3
11,1,1st_avenue,north_to_south,11,n00033,1st_avenue/north_to_south/11_n00033_S.jpg,False,,True,False,149.6
12,1,1st_avenue,north_to_south,12,n00032,1st_avenue/north_to_south/12_n00032_S.jpg,False,,True,False,146.8
13,2,1st_avenue,north_to_south,13,n00031,1st_avenue/north_to_south/13_n00031_S.jpg,False,,True,False,161.6
14,2,1st_avenue,north_to_south,14,n00030,1st_avenue/north_to_south/14_n00030_S.jpg,False,,True,False,153.8
15,2,1st_avenue,north_to_south,15,n00029,1st_avenue/north_to_south/15_n00029_S.jpg,False,,False,False,167.7
16,2,1st_avenue,north_to_south,16,n00028,1st_avenue/north_to_south/16_n00028_S.jpg,False,,False,False,161.1
17,2,1st_avenue,north_to_south,17,n00027,1st_avenue/north_to_south/17_n00027_S.jpg,False,,False,False,176.3
18,2,1st_avenue,north_to_south,18,n00026,1st_avenue/north_to_south/18_n00026_S.jpg,False,,False,False,170.3
19,2,1st_avenue,north_to_south,19,n00025,1st_avenue/north_to_south/19_n00025_S.jpg,False,,False,False,166.6
20,2,1st_avenue,north_to_south,20,n00023,1st_avenue/north_to_south/20_n00023_S.jpg,True,facade_scaffold,False,False,151.8
21,2,1st_avenue,north_to_south,21,n00022,1st_avenue/north_to_south/21_n00022_S.jpg,True,facade_scaffold,False,False,149.2
22,2,1st_avenue,north_to_south,22,n00021,1st_avenue/north_to_south/22_n00021_S.jpg,True,facade_scaffold,False,False,135.6
23,2,1st_avenue,north_to_south,23,n00020,1st_avenue/north_to_south/23_n00020_S.jpg,True,hoarding_fence,False,False,115.6
24,2,1st_avenue,north_to_south,24,n00019,1st_avenue/north_to_south/24_n00019_S.jpg,True,hoarding_fence,False,False,95.6
25,3,1st_avenue,north_to_south,25,n00018,1st_avenue/north_to_south/25_n00018_S.jpg,True,hoarding_fence,False,False,75.6
26,3,1st_avenue,north_to_south,26,n00017,1st_avenue/north_to_south/26_n00017_S.jpg,False,,False,False,55.6
27,3,1st_avenue,north_to_south,27,n00016,1st_avenue/north_to_south/27_n00016_S.jpg,True,facade_scaffold,False,False,35.6
28,3,1st_avenue,north_to_south,28,n00015,1st_avenue/north_to_south/28_n00015_S.jpg,True,facade_scaffold,True,True,15.6
29,3,1st_avenue,north_to_south,29,n00014,1st_avenue/north_to_south/29_n00014_S.jpg,False,,True,True,4.6
30,3,1st_avenue,north_to_south,30,n00013,1st_avenue/north_to_south/30_n00013_S.jpg,False,,True,True,11.1
31,3,1st_avenue,north_to_south,31,n00012,1st_avenue/north_to_south/31_n00012_S.jpg,False,,False,False,31.2
32,3,1st_avenue,north_to_south,32,n00011,1st_avenue/north_to_south/32_n00011_S.jpg,False,,False,False,44.9
33,3,1st_avenue,north_to_south,33,n00010,1st_avenue/north_to_south/33_n00010_S.jpg,False,,False,False,61.6
34,3,1st_avenue,north_to_south,34,n00009,1st_avenue/north_to_south/34_n00009_S.jpg,True,hoarding_fence,True,False,79.8
35,3,1st_avenue,north_to_south,35,n00008,1st_avenue/north_to_south/35_n00008_S.jpg,False,,False,False,98.8
36,3,1st_avenue,north_to_south,36,n00007,1st_avenue/north_to_south/36_n00007_S.jpg,False,,False,False,106.1
37,4,1st_avenue,north_to_south,37,n00006,1st_avenue/north_to_south/37_n00006_S.jpg,False,,False,False,86.1
38,4,1st_avenue,north_to_south,38,n00005,1st_avenue/north_to_south/38_n00005_S.jpg,False,,False,False,66.1
39,4,1st_avenue,north_to_south,39,n00004,1st_avenue/north_to_south/39_n00004_S.jpg,False,,False,False,46.2
40,4,1st_avenue,north_to_south,40,n00003,1st_avenue/north_to_south/40_n00003_S.jpg,False,,True,True,26.2
41,4,1st_avenue,north_to_south,41,n00002,1st_avenue/north_to_south/41_n00002_S.jpg,False,,True,True,6.2
42,4,1st_avenue,north_to_south,42,n00001,1st_avenue/north_to_south/42_n00001_S.jpg,False,,True,True,13.9
43,4,1st_avenue,south_to_north,1,n00001,1st_avenue/south_to_north/01_n00001_N.jpg,False,,True,True,13.9
44,4,1st_avenue,south_to_north,2,n00002,1st_avenue/south_to_north/02_n00002_N.jpg,False,,False,False,6.2
45,4,1st_avenue,south_to_north,3,n00003,1st_avenue/south_to_north/03_n00003_N.jpg,False,,False,False,26.2
46,4,1st_avenue,south_to_north,4,n00004,1st_avenue/south_to_north/04_n00004_N.jpg,False,,False,False,46.2
47,4,1st_avenue,south_to_north,5,n00005,1st_avenue/south_to_north/05_n00005_N.jpg,False,,False,False,66.1
48,4,1st_avenue,south_to_north,6,n00006,1st_avenue/south_to_north/06_n00006_N.jpg,False,,False,False,86.1
49,5,1st_avenue,south_to_north,7,n00007,1st_avenue/south_to_north/07_n00007_N.jpg,False,,False,False,106.1
50,5,1st_avenue,south_to_north,8,n00008,1st_avenue/south_to_north/08_n00008_N.jpg,False,,True,False,98.8
51,5,1st_avenue,south_to_north,9,n00009,1st_avenue/south_to_north/09_n00009_N.jpg,False,,False,False,79.8
52,5,1st_avenue,south_to_north,10,n00010,1st_avenue/south_to_north/10_n00010_N.jpg,False,,False,False,61.6
53,5,1st_avenue,south_to_north,11,n00011,1st_avenue/south_to_north/11_n00011_N.jpg,False,,False,False,44.9
54,5,1st_avenue,south_to_north,12,n00012,1st_avenue/south_to_north/12_n00012_N.jpg,False,,False,False,31.2
55,5,1st_avenue,south_to_north,13,n00013,1st_avenue/south_to_north/13_n00013_N.jpg,False,,True,True,11.1
56,5,1st_avenue,south_to_north,14,n00014,1st_avenue/south_to_north/14_n00014_N.jpg,True,sidewalk_shed,True,True,4.6
57,5,1st_avenue,south_to_north,15,n00015,1st_avenue/south_to_north/15_n00015_N.jpg,True,sidewalk_shed,False,False,15.6
58,5,1st_avenue,south_to_north,16,n00016,1st_avenue/south_to_north/16_n00016_N.jpg,True,sidewalk_shed,False,False,35.6
59,5,1st_avenue,south_to_north,17,n00017,1st_avenue/south_to_north/17_n00017_N.jpg,True,hoarding_fence,False,False,55.6
60,5,1st_avenue,south_to_north,18,n00018,1st_avenue/south_to_north/18_n00018_N.jpg,True,hoarding_fence,False,False,75.6
61,6,1st_avenue,south_to_north,19,n00019,1st_avenue/south_to_north/19_n00019_N.jpg,True,hoarding_fence,False,False,95.6
62,6,1st_avenue,south_to_north,20,n00020,1st_avenue/south_to_north/20_n00020_N.jpg,True,hoarding_fence,False,False,115.6
63,6,1st_avenue,south_to_north,21,n00021,1st_avenue/south_to_north/21_n00021_N.jpg,False,,False,False,135.6
64,6,1st_avenue,south_to_north,22,n00022,1st_avenue/south_to_north/22_n00022_N.jpg,False,,False,False,149.2
65,6,1st_avenue,south_to_north,23,n00023,1st_avenue/south_to_north/23_n00023_N.jpg,False,,False,False,151.8
66,6,1st_avenue,south_to_north,24,n00025,1st_avenue/south_to_north/24_n00025_N.jpg,False,,False,False,166.6
67,6,1st_avenue,south_to_north,25,n00026,1st_avenue/south_to_north/25_n00026_N.jpg,False,,False,False,170.3
68,6,1st_avenue,south_to_north,26,n00027,1st_avenue/south_to_north/26_n00027_N.jpg,False,,False,False,176.3
69,6,1st_avenue,south_to_north,27,n00028,1st_avenue/south_to_north/27_n00028_N.jpg,False,,True,False,161.1
70,6,1st_avenue,south_to_north,28,n00029,1st_avenue/south_to_north/28_n00029_N.jpg,False,,True,False,167.7
71,6,1st_avenue,south_to_north,29,n00030,1st_avenue/south_to_north/29_n00030_N.jpg,False,,False,False,153.8
72,6,1st_avenue,south_to_north,30,n00031,1st_avenue/south_to_north/30_n00031_N.jpg,False,,False,False,161.6
73,7,1st_avenue,south_to_north,31,n00032,1st_avenue/south_to_north/31_n00032_N.jpg,False,,False,False,146.8
74,7,1st_avenue,south_to_north,32,n00033,1st_avenue/south_to_north/32_n00033_N.jpg,False,,False,False,149.6
75,7,1st_avenue,south_to_north,33,n00034,1st_avenue/south_to_north/33_n00034_N.jpg,False,,False,False,127.3
76,7,1st_avenue,south_to_north,34,n00035,1st_avenue/south_to_north/34_n00035_N.jpg,False,,False,False,135.7
77,7,1st_avenue,south_to_north,35,n00036,1st_avenue/south_to_north/35_n00036_N.jpg,False,,False,False,108.2
78,7,1st_avenue,south_to_north,36,n00037,1st_avenue/south_to_north/36_n00037_N.jpg,False,,False,False,120.9
79,7,1st_avenue,south_to_north,37,n00038,1st_avenue/south_to_north/37_n00038_N.jpg,False,,False,False,90.0
80,7,1st_avenue,south_to_north,38,n00039,1st_avenue/south_to_north/38_n00039_N.jpg,False,,False,False,104.8
81,7,1st_avenue,south_to_north,39,n00040,1st_avenue/south_to_north/39_n00040_N.jpg,False,,False,False,72.8
82,7,1st_avenue,south_to_north,40,n00041,1st_avenue/south_to_north/40_n00041_N.jpg,False,,False,False,90.3
83,7,1st_avenue,south_to_north,41,n00042,1st_avenue/south_to_north/41_n00042_N.jpg,False,,False,False,57.5
84,7,1st_avenue,south_to_north,42,n00043,1st_avenue/south_to_north/42_n00043_N.jpg,False,,False,False,78.1
85,8,2nd_avenue,north_to_south,1,n00078,2nd_avenue/north_to_south/01_n00078_S.jpg,False,,False,False,44.9
86,8,2nd_avenue,north_to_south,2,n00077,2nd_avenue/north_to_south/02_n00077_S.jpg,True,facade_scaffold,True,True,27.7
87,8,2nd_avenue,north_to_south,3,n00076,2nd_avenue/north_to_south/03_n00076_S.jpg,True,facade_scaffold,True,True,17.6
88,8,2nd_avenue,north_to_south,4,n00075,2nd_avenue/north_to_south/04_n00075_S.jpg,True,facade_scaffold,False,False,25.6
89,8,2nd_avenue,north_to_south,5,n00074,2nd_avenue/north_to_south/05_n00074_S.jpg,False,,False,False,31.7
90,8,2nd_avenue,north_to_south,6,n00073,2nd_avenue/north_to_south/06_n00073_S.jpg,False,,False,False,35.1
91,8,2nd_avenue,north_to_south,7,n00072,2nd_avenue/north_to_south/07_n00072_S.jpg,False,,False,False,47.4
92,8,2nd_avenue,north_to_south,8,n00071,2nd_avenue/north_to_south/08_n00071_S.jpg,False,,False,False,63.7
93,8,2nd_avenue,north_to_south,9,n00070,2nd_avenue/north_to_south/09_n00070_S.jpg,False,,False,False,68.8
94,8,2nd_avenue,north_to_south,10,n00069,2nd_avenue/north_to_south/10_n00069_S.jpg,True,sidewalk_shed,False,False,48.8
95,8,2nd_avenue,north_to_south,11,n00068,2nd_avenue/north_to_south/11_n00068_S.jpg,False,,True,True,28.8
96,8,2nd_avenue,north_to_south,12,n00067,2nd_avenue/north_to_south/12_n00067_S.jpg,False,,True,True,8.9
97,9,2nd_avenue,north_to_south,13,n00066,2nd_avenue/north_to_south/13_n00066_S.jpg,True,facade_scaffold,False,False,11.2
98,9,2nd_avenue,north_to_south,14,n00065,2nd_avenue/north_to_south/14_n00065_S.jpg,False,,False,False,31.2
99,9,2nd_avenue,north_to_south,15,n00064,2nd_avenue/north_to_south/15_n00064_S.jpg,False,,False,False,51.2
100,9,2nd_avenue,north_to_south,16,n00063,2nd_avenue/north_to_south/16_n00063_S.jpg,False,,False,False,41.2
101,9,2nd_avenue,north_to_south,17,n00062,2nd_avenue/north_to_south/17_n00062_S.jpg,False,,False,False,35.9
102,9,2nd_avenue,north_to_south,18,n00061,2nd_avenue/north_to_south/18_n00061_S.jpg,False,,False,False,40.9
103,9,2nd_avenue,north_to_south,19,n00060,2nd_avenue/north_to_south/19_n00060_S.jpg,False,,False,False,38.9
104,9,2nd_avenue,north_to_south,20,n00059,2nd_avenue/north_to_south/20_n00059_S.jpg,False,,True,True,21.0
105,9,2nd_avenue,north_to_south,21,n00058,2nd_avenue/north_to_south/21_n00058_S.jpg,False,,False,False,13.0
