file,street,direction,seq,node_id,cardinal,vlm_p_yes
1st_avenue/north_to_south/01_n00043_S.jpg,1st_avenue,north_to_south,1,n00043,S,0.32082
1st_avenue/north_to_south/02_n00042_S.jpg,1st_avenue,north_to_south,2,n00042,S,0.26894
1st_avenue/north_to_south/03_n00041_S.jpg,1st_avenue,north_to_south,3,n00041,S,0.37754
1st_avenue/north_to_south/04_n00040_S.jpg,1st_avenue,north_to_south,4,n00040,S,0.2227
1st_avenue/north_to_south/05_n00039_S.jpg,1st_avenue,north_to_south,5,n00039,S,0.37754
1st_avenue/north_to_south/06_n00038_S.jpg,1st_avenue,north_to_south,6,n00038,S,0.26894
1st_avenue/north_to_south/07_n00037_S.jpg,1st_avenue,north_to_south,7,n00037,S,0.32082
1st_avenue/north_to_south/08_n00036_S.jpg,1st_avenue,north_to_south,8,n00036,S,0.43782
1st_avenue/north_to_south/09_n00035_S.jpg,1st_avenue,north_to_south,9,n00035,S,0.59267
1st_avenue/north_to_south/10_n00034_S.jpg,1st_avenue,north_to_south,10,n00034,S,0.37754
1st_avenue/north_to_south/11_n00033_S.jpg,1st_avenue,north_to_south,11,n00033,S,0.46879
1st_avenue/north_to_south/12_n00032_S.jpg,1st_avenue,north_to_south,12,n00032,S,0.2227
1st_avenue/north_to_south/13_n00031_S.jpg,1st_avenue,north_to_south,13,n00031,S,0.32082
1st_avenue/north_to_south/14_n00030_S.jpg,1st_avenue,north_to_south,14,n00030,S,0.29421
1st_avenue/north_to_south/15_n00029_S.jpg,1st_avenue,north_to_south,15,n00029,S,0.32082
1st_avenue/north_to_south/16_n00028_S.jpg,1st_avenue,north_to_south,16,n00028,S,0.32082
1st_avenue/north_to_south/17_n00027_S.jpg,1st_avenue,north_to_south,17,n00027,S,0.40733
1st_avenue/north_to_south/18_n00026_S.jpg,1st_avenue,north_to_south,18,n00026,S,0.40733
1st_avenue/north_to_south/19_n00025_S.jpg,1st_avenue,north_to_south,19,n00025,S,0.53121
1st_avenue/north_to_south/20_n00023_S.jpg,1st_avenue,north_to_south,20,n00023,S,0.46879
1st_avenue/north_to_south/21_n00022_S.jpg,1st_avenue,north_to_south,21,n00022,S,0.46879
1st_avenue/north_to_south/22_n00021_S.jpg,1st_avenue,north_to_south,22,n00021,S,0.65135
1st_avenue/north_to_south/23_n00020_S.jpg,1st_avenue,north_to_south,23,n00020,S,0.70579
1st_avenue/north_to_south/24_n00019_S.jpg,1st_avenue,north_to_south,24,n00019,S,0.70579
1st_avenue/north_to_south/25_n00018_S.jpg,1st_avenue,north_to_south,25,n00018,S,0.62246
1st_avenue/north_to_south/26_n00017_S.jpg,1st_avenue,north_to_south,26,n00017,S,0.32082
1st_avenue/north_to_south/27_n00016_S.jpg,1st_avenue,north_to_south,27,n00016,S,0.7773
1st_avenue/north_to_south/28_n00015_S.jpg,1st_avenue,north_to_south,28,n00015,S,0.81757
1st_avenue/north_to_south/29_n00014_S.jpg,1st_avenue,north_to_south,29,n00014,S,0.32082
1st_avenue/north_to_south/30_n00013_S.jpg,1st_avenue,north_to_south,30,n00013,S,0.18243
1st_avenue/north_to_south/31_n00012_S.jpg,1st_avenue,north_to_south,31,n00012,S,0.40733
1st_avenue/north_to_south/32_n00011_S.jpg,1st_avenue,north_to_south,32,n00011,S,0.43782
1st_avenue/north_to_south/33_n00010_S.jpg,1st_avenue,north_to_south,33,n00010,S,0.34865
1st_avenue/north_to_south/34_n00009_S.jpg,1st_avenue,north_to_south,34,n00009,S,0.46879
1st_avenue/north_to_south/35_n00008_S.jpg,1st_avenue,north_to_south,35,n00008,S,0.18243
1st_avenue/north_to_south/36_n00007_S.jpg,1st_avenue,north_to_south,36,n00007,S,0.32082
1st_avenue/north_to_south/37_n00006_S.jpg,1st_avenue,north_to_south,37,n00006,S,0.43782
1st_avenue/north_to_south/38_n00005_S.jpg,1st_avenue,north_to_south,38,n00005,S,0.32082
1st_avenue/north_to_south/39_n00004_S.jpg,1st_avenue,north_to_south,39,n00004,S,0.29421
1st_avenue/north_to_south/40_n00003_S.jpg,1st_avenue,north_to_south,40,n00003,S,0.34865
1st_avenue/north_to_south/41_n00002_S.jpg,1st_avenue,north_to_south,41,n00002,S,0.13296
1st_avenue/north_to_south/42_n00001_S.jpg,1st_avenue,north_to_south,42,n00001,S,0.13296
1st_avenue/south_to_north/01_n00001_N.jpg,1st_avenue,south_to_north,1,n00001,N,0.18243
1st_avenue/south_to_north/02_n00002_N.jpg,1st_avenue,south_to_north,2,n00002,N,0.2227
1st_avenue/south_to_north/03_n00003_N.jpg,1st_avenue,south_to_north,3,n00003,N,0.24509
1st_avenue/south_to_north/04_n00004_N.jpg,1st_avenue,south_to_north,4,n00004,N,0.37754
1st_avenue/south_to_north/05_n00005_N.jpg,1st_avenue,south_to_north,5,n00005,N,0.56218
1st_avenue/south_to_north/06_n00006_N.jpg,1st_avenue,south_to_north,6,n00006,N,0.29421
1st_avenue/south_to_north/07_n00007_N.jpg,1st_avenue,south_to_north,7,n00007,N,0.24509
1st_avenue/south_to_north/08_n00008_N.jpg,1st_avenue,south_to_north,8,n00008,N,0.43782
1st_avenue/south_to_north/09_n00009_N.jpg,1st_avenue,south_to_north,9,n00009,N,0.24509
1st_avenue/south_to_north/10_n00010_N.jpg,1st_avenue,south_to_north,10,n00010,N,0.32082
1st_avenue/south_to_north/11_n00011_N.jpg,1st_avenue,south_to_north,11,n00011,N,0.24509
1st_avenue/south_to_north/12_n00012_N.jpg,1st_avenue,south_to_north,12,n00012,N,0.16452
1st_avenue/south_to_north/13_n00013_N.jpg,1st_avenue,south_to_north,13,n00013,N,0.18243
1st_avenue/south_to_north/14_n00014_N.jpg,1st_avenue,south_to_north,14,n00014,N,0.56218
1st_avenue/south_to_north/15_n00015_N.jpg,1st_avenue,south_to_north,15,n00015,N,0.81757
1st_avenue/south_to_north/16_n00016_N.jpg,1st_avenue,south_to_north,16,n00016,N,0.59267
1st_avenue/south_to_north/17_n00017_N.jpg,1st_avenue,south_to_north,17,n00017,N,0.7773
1st_avenue/south_to_north/18_n00018_N.jpg,1st_avenue,south_to_north,18,n00018,N,0.59267
1st_avenue/south_to_north/19_n00019_N.jpg,1st_avenue,south_to_north,19,n00019,N,0.62246
1st_avenue/south_to_north/20_n00020_N.jpg,1st_avenue,south_to_north,20,n00020,N,0.56218
1st_avenue/south_to_north/21_n00021_N.jpg,1st_avenue,south_to_north,21,n00021,N,0.24509
1st_avenue/south_to_north/22_n00022_N.jpg,1st_avenue,south_to_north,22,n00022,N,0.46879
1st_avenue/south_to_north/23_n00023_N.jpg,1st_avenue,south_to_north,23,n00023,N,0.46879
1st_avenue/south_to_north/24_n00025_N.jpg,1st_avenue,south_to_north,24,n00025,N,0.34865
1st_avenue/south_to_north/25_n00026_N.jpg,1st_avenue,south_to_north,25,n00026,N,0.29421
1st_avenue/south_to_north/26_n00027_N.jpg,1st_avenue,south_to_north,26,n00027,N,0.29421
1st_avenue/south_to_north/27_n00028_N.jpg,1st_avenue,south_to_north,27,n00028,N,0.32082
1st_avenue/south_to_north/28_n00029_N.jpg,1st_avenue,south_to_north,28,n00029,N,0.32082
1st_avenue/south_to_north/29_n00030_N.jpg,1st_avenue,south_to_north,29,n00030,N,0.70579
1st_avenue/south_to_north/30_n00031_N.jpg,1st_avenue,south_to_north,30,n00031,N,0.40733
1st_avenue/south_to_north/31_n00032_N.jpg,1st_avenue,south_to_north,31,n00032,N,0.29421
1st_avenue/south_to_north/32_n00033_N.jpg,1st_avenue,south_to_north,32,n00033,N,0.53121
1st_avenue/south_to_north/33_n00034_N.jpg,1st_avenue,south_to_north,33,n00034,N,0.32082
1st_avenue/south_to_north/34_n00035_N.jpg,1st_avenue,south_to_north,34,n00035,N,0.40733
1st_avenue/south_to_north/35_n00036_N.jpg,1st_avenue,south_to_north,35,n00036,N,0.2227
1st_avenue/south_to_north/36_n00037_N.jpg,1st_avenue,south_to_north,36,n00037,N,0.34865
1st_avenue/south_to_north/37_n00038_N.jpg,1st_avenue,south_to_north,37,n00038,N,0.24509
1st_avenue/south_to_north/38_n00039_N.jpg,1st_avenue,south_to_north,38,n00039,N,0.59267
1st_avenue/south_to_north/39_n00040_N.jpg,1st_avenue,south_to_north,39,n00040,N,0.26894
1st_avenue/south_to_north/40_n00041_N.jpg,1st_avenue,south_to_north,40,n00041,N,0.34865
1st_avenue/south_to_north/41_n00042_N.jpg,1st_avenue,south_to_north,41,n00042,N,0.43782
1st_avenue/south_to_north/42_n00043_N.jpg,1st_avenue,south_to_north,42,n00043,N,0.37754
2nd_avenue/north_to_south/01_n00078_S.jpg,2nd_avenue,north_to_south,1,n00078,S,0.26894
2nd_avenue/north_to_south/02_n00077_S.jpg,2nd_avenue,north_to_south,2,n00077,S,0.75491
2nd_avenue/north_to_south/03_n00076_S.jpg,2nd_avenue,north_to_south,3,n00076,S,0.8808
2nd_avenue/north_to_south/04_n00075_S.jpg,2nd_avenue,north_to_south,4,n00075,S,0.75491
2nd_avenue/north_to_south/05_n00074_S.jpg,2nd_avenue,north_to_south,5,n00074,S,0.2227
2nd_avenue/north_to_south/06_n00073_S.jpg,2nd_avenue,north_to_south,6,n00073,S,0.73106
2nd_avenue/north_to_south/07_n00072_S.jpg,2nd_avenue,north_to_south,7,n00072,S,0.20181
2nd_avenue/north_to_south/08_n00071_S.jpg,2nd_avenue,north_to_south,8,n00071,S,0.20181
2nd_avenue/north_to_south/09_n00070_S.jpg,2nd_avenue,north_to_south,9,n00070,S,0.59267
2nd_avenue/north_to_south/10_n00069_S.jpg,2nd_avenue,north_to_south,10,n00069,S,0.62246
2nd_avenue/north_to_south/11_n00068_S.jpg,2nd_avenue,north_to_south,11,n00068,S,0.5
2nd_avenue/north_to_south/12_n00067_S.jpg,2nd_avenue,north_to_south,12,n00067,S,0.43782
