vertical_greenery,vertical_hardscape,green_eye_level,green_softening,signage_detail,enclosure,facade_variation,walking_room,ground_floor_activity,rest_affordance,greenery_layer,dominant_edge,file,street,direction,node_id,cardinal,side,seq
1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,none,blank_wall,1st_avenue/north_to_south/01_n00045_S_L.jpg,1st_avenue,north_to_south,n00045,S,L,1
1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,none,blank_wall,1st_avenue/north_to_south/01_n00045_S_R.jpg,1st_avenue,north_to_south,n00045,S,R,1
1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,none,blank_wall,1st_avenue/north_to_south/02_n00043_S_L.jpg,1st_avenue,north_to_south,n00043,S,L,2
1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,none,blank_wall,1st_avenue/north_to_south/02_n00043_S_R.jpg,1st_avenue,north_to_south,n00043,S,R,2
1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,none,blank_wall,1st_avenue/north_to_south/03_n00041_S_L.jpg,1st_avenue,north_to_south,n00041,S,L,3
1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,none,blank_wall,1st_avenue/north_to_south/03_n00041_S_R.jpg,1st_avenue,north_to_south,n00041,S,R,3
1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,none,blank_wall,1st_avenue/north_to_south/04_n00039_S_L.jpg,1st_avenue,north_to_south,n00039,S,L,4
1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,none,blank_wall,1st_avenue/north_to_south/04_n00039_S_R.jpg,1st_avenue,north_to_south,n00039,S,R,4
1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,none,blank_wall,1st_avenue/north_to_south/05_n00037_S_L.jpg,1st_avenue,north_to_south,n00037,S,L,5
1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,none,blank_wall,1st_avenue/north_to_south/05_n00037_S_R.jpg,1st_avenue,north_to_south,n00037,S,R,5
