file,field,typology,n_keep,keep,gap,ev1,evp,ev2,top1,top2,final,rounds
east_42nd_street/west_to_east/011_n00651_E_L.jpg,vertical_greenery,mid_block,2,1;2,0,1.9933830564841628,1.2689414024353027,1.1192029416561127,1,1,1,2
east_42nd_street/west_to_east/011_n00651_E_L.jpg,walkable_ground,mid_block,3,2;3;6,1,3.4635694604367018,3.3573044538497925,3.560258388519287,2,2,2,2
east_42nd_street/west_to_east/011_n00651_E_L.jpg,resting_affordance,mid_block,3,1;2;3,0,3.03064083494246,2.1580815613269806,1.8350463807582855,3,1,1,2
east_42nd_street/west_to_east/011_n00651_E_L.jpg,green_softening,mid_block,3,1;2;3,0,3.2053316459059715,1.9240374267101288,1.5546914041042328,2,1,1,3
east_41st_street/west_to_east/026_n00620_E_L.jpg,vertical_greenery,mid_block,2,1;2,0,1.8329119170084596,1.2942149639129639,1.1645164489746094,1,1,1,2
east_41st_street/west_to_east/026_n00620_E_L.jpg,walkable_ground,mid_block,4,2;3;4;6,1,3.573624179698527,3.4574873745441437,3.5655103623867035,2,3,3,3
east_41st_street/west_to_east/026_n00620_E_L.jpg,resting_affordance,mid_block,3,1;2;3,0,2.599000404588878,2.0371078550815582,1.6502934247255325,2,1,1,2
east_41st_street/west_to_east/026_n00620_E_L.jpg,green_softening,mid_block,2,1;2,0,2.415807534009218,1.5312094688415527,1.2227001786231995,2,1,1,2
Park_Ave_Tunnel_Segment/west_to_east/048_n00199_E_R.jpg,vertical_greenery,avenue_canyon,2,1;2,0,1.7802897654473782,1.2018132209777832,1.1329642236232758,1,1,1,2
Park_Ave_Tunnel_Segment/west_to_east/048_n00199_E_R.jpg,walkable_ground,avenue_canyon,3,2;3;6,1,4.019098825752735,4.040565848350525,3.8992043137550354,6,6,2,3
Park_Ave_Tunnel_Segment/west_to_east/048_n00199_E_R.jpg,resting_affordance,avenue_canyon,2,1;2,0,2.0164197124540806,1.320821225643158,1.2018132209777832,1,1,1,2
Park_Ave_Tunnel_Segment/west_to_east/048_n00199_E_R.jpg,green_softening,avenue_canyon,3,1;2;6,1,3.565699063241482,2.6806626319885254,2.0771350264549255,1,1,1,2
east_40th_street/west_to_east/032_n00580_E_R.jpg,vertical_greenery,mid_block,3,1;2;3,0,2.11960125900805,1.7830141484737396,1.3979175835847855,1,1,1,2
east_40th_street/west_to_east/032_n00580_E_R.jpg,walkable_ground,mid_block,4,3;4;5;6,0,4.338966863229871,4.628233879804611,4.7345449179410934,6,5,4,3
east_40th_street/west_to_east/032_n00580_E_R.jpg,resting_affordance,mid_block,3,1;2;3,0,2.84426729939878,2.2343819588422775,1.7118018567562103,3,1,1,2
east_40th_street/west_to_east/032_n00580_E_R.jpg,green_softening,mid_block,3,1;2;3,0,2.9446836672723293,2.0000000596046448,1.619911640882492,2,1,1,3
Tunnel_Exit_Street/south_to_north/021_n00266_N_R.jpg,vertical_greenery,other,3,1;2;3,0,2.8731952495872974,2.1649537682533264,1.498075619339943,3,1,1,2
Tunnel_Exit_Street/south_to_north/021_n00266_N_R.jpg,walkable_ground,other,2,2;3,0,3.342978890053928,2.437823563814163,2.1480472832918167,2,2,2,2
Tunnel_Exit_Street/south_to_north/021_n00266_N_R.jpg,resting_affordance,other,3,1;2;3,0,2.645442291162908,1.962892085313797,1.6083498746156693,2,1,1,2
Tunnel_Exit_Street/south_to_north/021_n00266_N_R.jpg,green_softening,other,3,1;2;3,0,3.0274663232266903,1.9667245149612427,1.613790050148964,2,1,1,3
3rd_avenue/north_to_south/023_n00091_S_R.jpg,vertical_greenery,avenue_secondary,3,1;2;3,0,2.7995882155373693,2.171534448862076,1.4736545979976654,3,1,1,2
3rd_avenue/north_to_south/023_n00091_S_R.jpg,walkable_ground,avenue_secondary,4,3;4;5;6,0,4.661164473742247,4.807095095515251,4.791524410247803,6,5,4,3
3rd_avenue/north_to_south/023_n00091_S_R.jpg,resting_affordance,avenue_secondary,2,2;3,0,3.541459174826741,2.7057852149009705,2.6224594116210938,3,3,3,2
3rd_avenue/north_to_south/023_n00091_S_R.jpg,green_softening,avenue_secondary,2,2;3,0,3.3877900317311287,2.4378236532211304,2.32082137465477,2,2,2,2
tudor_city_place/south_to_north/003_n00759_N_L.jpg,vertical_greenery,other,3,3;4;5,0,4.014132271520793,3.927779257297516,4.274777457118034,4,4,4,3
tudor_city_place/south_to_north/003_n00759_N_L.jpg,walkable_ground,other,4,3;4;5;6,0,4.536127215251327,4.780338704586029,4.7628753036260605,6,5,4,3
tudor_city_place/south_to_north/003_n00759_N_L.jpg,resting_affordance,other,2,2;3,0,2.969682431779802,2.5621765851974487,2.5312095284461975,3,3,3,2
tudor_city_place/south_to_north/003_n00759_N_L.jpg,green_softening,other,3,5;6;7,0,5.016696524806321,5.93546399474144,6.258884608745575,6,6,6,3
east_39th_street/west_to_east/046_n00547_E_R.jpg,vertical_greenery,mid_block,2,1;2,0,1.7477366579696536,1.2450850009918213,1.1192029416561127,1,1,1,2
east_39th_street/west_to_east/046_n00547_E_R.jpg,walkable_ground,mid_block,3,1;2;3,0,2.579319866374135,1.9999999403953552,1.4663363210856915,2,1,1,3
east_39th_street/west_to_east/046_n00547_E_R.jpg,resting_affordance,mid_block,2,1;2,0,1.9945220993831754,1.3775405883789062,1.2227001786231995,1,1,1,2
east_39th_street/west_to_east/046_n00547_E_R.jpg,green_softening,mid_block,2,1;2,0,2.684260278940201,1.5312094688415527,1.2689414024353027,2,1,1,2
madison_avenue/south_to_north/028_n00750_N_L.jpg,vertical_greenery,avenue_canyon,3,2;3;4,0,3.2166743529960513,3.060651421546936,2.279297575354576,3,2,2,2
madison_avenue/south_to_north/028_n00750_N_L.jpg,walkable_ground,avenue_canyon,4,3;4;5;6,0,4.535526496358216,4.768179357051849,4.807537294924259,6,5,5,3
madison_avenue/south_to_north/028_n00750_N_L.jpg,resting_affordance,avenue_canyon,2,2;3,0,3.3423449378460646,2.5926666855812073,2.592666745185852,3,3,3,2
madison_avenue/south_to_north/028_n00750_N_L.jpg,green_softening,avenue_canyon,3,1;2;3,0,2.7783039286732674,1.8638775944709778,1.4986161664128304,2,1,1,2
1st_avenue/north_to_south/019_n00027_S_R.jpg,vertical_greenery,avenue_secondary,2,1;2,0,1.7985151754692197,1.2227001786231995,1.1192029416561127,1,1,1,2
1st_avenue/north_to_south/019_n00027_S_R.jpg,walkable_ground,avenue_secondary,2,5;6,0,4.656862931326032,5.622459143400192,5.377540826797485,6,5,5,2
1st_avenue/north_to_south/019_n00027_S_R.jpg,resting_affordance,avenue_secondary,3,1;2;3,0,2.3857286237180233,1.7344136387109756,1.4867760688066483,1,1,1,2
1st_avenue/north_to_south/019_n00027_S_R.jpg,green_softening,avenue_secondary,3,1;2;3,0,3.2778221368789673,1.9277794659137726,1.4621734395623207,2,1,1,2
Tunnel_Exit_Street/south_to_north/016_n00261_N_R.jpg,vertical_greenery,other,4,3;4;5;6,0,4.32960245013237,4.624352723360062,5.080077655613422,5,5,6,3
Tunnel_Exit_Street/south_to_north/016_n00261_N_R.jpg,walkable_ground,other,3,4;5;6,0,4.923811691813171,5.307576030492783,5.3297021090984344,6,5,5,3
Tunnel_Exit_Street/south_to_north/016_n00261_N_R.jpg,resting_affordance,other,3,2;3;6,1,3.5024105049669743,3.389903247356415,3.8280308842658997,3,3,3,3
Tunnel_Exit_Street/south_to_north/016_n00261_N_R.jpg,green_softening,other,3,5;6;7,0,5.489568491000682,6.099516749382019,6.380088120698929,6,6,6,3
lexington_avenue/north_to_south/028_n00695_S_R.jpg,vertical_greenery,avenue_canyon,3,1;2;3,0,2.485762911848724,1.955847442150116,1.4085305482149124,1,1,1,2
lexington_avenue/north_to_south/028_n00695_S_R.jpg,walkable_ground,avenue_canyon,5,2;3;4;5;6,0,3.889516679570079,3.9821310341358185,3.849868878722191,3,3,3,4
lexington_avenue/north_to_south/028_n00695_S_R.jpg,resting_affordance,avenue_canyon,3,1;2;3,0,2.9415817772969604,2.2008322924375534,1.790898621082306,3,1,1,2
lexington_avenue/north_to_south/028_n00695_S_R.jpg,green_softening,avenue_canyon,3,1;2;3,0,3.365623489022255,2.072220653295517,1.611939750611782,2,1,1,3
east_40th_street/east_to_west/034_n00561_W_L.jpg,vertical_greenery,mid_block,3,1;2;3,0,2.7881993083283305,2.0864869952201843,1.3620477318763733,3,1,1,2
east_40th_street/east_to_west/034_n00561_W_L.jpg,walkable_ground,mid_block,2,2;3,0,3.1338100219145417,2.4378233551979065,2.119202956557274,2,2,2,2
east_40th_street/east_to_west/034_n00561_W_L.jpg,resting_affordance,mid_block,3,1;2;3,0,2.4768356001004577,2.0,1.6368930637836456,2,1,1,2
east_40th_street/east_to_west/034_n00561_W_L.jpg,green_softening,mid_block,3,1;2;3,0,2.831205829977989,1.9354637563228607,1.5768531262874603,2,1,1,3
tudor_city_place/south_to_north/004_n00760_N_L.jpg,vertical_greenery,other,3,2;3;4,0,3.3482129126787186,3.0529478192329407,2.8907409012317657,3,3,3,2
tudor_city_place/south_to_north/004_n00760_N_L.jpg,walkable_ground,other,3,4;5;6,0,4.852878691162914,5.27713730931282,5.309861361980438,6,5,5,3
tudor_city_place/south_to_north/004_n00760_N_L.jpg,resting_affordance,other,2,2;3,0,3.0345082208514214,2.5621763467788696,2.5312095284461975,3,3,3,2
tudor_city_place/south_to_north/004_n00760_N_L.jpg,green_softening,other,4,2;3;5;6,1,4.3098957054317,4.050533592700958,4.477478846907616,3,5,3,3
Park_Ave_East/south_to_north/037_n00150_N_R.jpg,vertical_greenery,avenue_canyon,2,1;2,0,1.8828846057876945,1.2018132507801056,1.1066906154155731,1,1,1,2
Park_Ave_East/south_to_north/037_n00150_N_R.jpg,walkable_ground,avenue_canyon,4,2;3;5;6,1,4.029250096529722,4.098457261919975,4.253704220056534,6,5,3,3
Park_Ave_East/south_to_north/037_n00150_N_R.jpg,resting_affordance,avenue_canyon,3,1;2;3,0,2.526791164651513,1.962892085313797,1.594344899058342,2,1,1,2
Park_Ave_East/south_to_north/037_n00150_N_R.jpg,green_softening,avenue_canyon,2,1;2,0,2.651232674717903,1.4378235340118408,1.2450850307941437,1,1,1,2
Park_Ave_West/north_to_south/029_n00217_S_L.jpg,vertical_greenery,avenue_canyon,2,5;6,0,5.22696883790195,5.43782365322113,5.622459501028061,5,6,6,2
Park_Ave_West/north_to_south/029_n00217_S_L.jpg,walkable_ground,avenue_canyon,4,3;4;5;6,0,4.656326233409345,4.841529086232185,4.769722804427147,6,5,4,3
Park_Ave_West/north_to_south/029_n00217_S_L.jpg,resting_affordance,avenue_canyon,2,2;3,0,3.429275566712022,2.6224591732025146,2.5621765851974487,3,3,3,2
Park_Ave_West/north_to_south/029_n00217_S_L.jpg,green_softening,avenue_canyon,2,6;7,0,5.920822724234313,6.531209766864777,6.592666983604431,7,7,7,2
tudor_city_place/south_to_north/001_n00757_N_L.jpg,vertical_greenery,other,3,3;4;5,0,3.902672253549099,3.894757002592087,4.068402484059334,4,4,4,2
tudor_city_place/south_to_north/001_n00757_N_L.jpg,walkable_ground,other,4,3;4;5;6,0,4.1911526545882225,4.605219975113869,4.534026592969894,6,4,4,3
tudor_city_place/south_to_north/001_n00757_N_L.jpg,resting_affordance,other,2,2;3,0,2.969682431779802,2.5621765851974487,2.5312095284461975,3,3,3,2
tudor_city_place/south_to_north/001_n00757_N_L.jpg,green_softening,other,4,3;4;5;6,0,4.717866774648428,4.680692970752716,4.549574166536331,6,5,5,3
1st_avenue/north_to_south/011_n00035_S_R.jpg,vertical_greenery,avenue_secondary,3,1;2;3,0,2.6945382663980126,2.0,1.462842345237732,1,1,1,2
1st_avenue/north_to_south/011_n00035_S_R.jpg,walkable_ground,avenue_secondary,3,4;5;6,0,4.875440860167146,5.265586078166962,5.309861361980438,6,5,5,3
1st_avenue/north_to_south/011_n00035_S_R.jpg,resting_affordance,avenue_secondary,2,2;3,0,3.5596673265099525,2.6224594116210938,2.592666745185852,3,3,3,2
1st_avenue/north_to_south/011_n00035_S_R.jpg,green_softening,avenue_secondary,3,1;2;3,0,3.5130730345845222,2.038964480161667,1.6385159492492676,2,1,1,3
