section,street,n,M,sd
1,1st Avenue,3,0.5821449946629981,0.041912720767256745
2,1st Avenue,3,0.5572218958405561,0.03012098795131552
3,1st Avenue,6,0.7355144797253269,0.042650043648234714
4,1st Avenue,2,0.34019380280599076,0.02952234197465302
6,1st Avenue,15,0.41330870020769567,0.06082502701729012
7,1st Avenue,2,0.4237294662006568,0.05703779431099355
8,2nd Avenue,3,0.5680637583108046,0.10969012899489168
9,2nd Avenue,2,0.625035507949167,0.039304538723364084
10,2nd Avenue,2,0.5639365876932132,0.04521717392870428
11,2nd Avenue,3,0.616519330551102,0.1761692153209067
12,2nd Avenue,3,0.5223873285091301,0.09431041326907875
13,2nd Avenue,3,0.39897938057531485,0.036657290170136546
14,2nd Avenue,3,0.6334631138031249,0.11111935707552874
15,2nd Avenue,3,0.5439016787010361,0.10082352346535076
16,2nd Avenue,1,0.5078647702910275,
17,3rd Avenue,1,0.5825190228289878,
18,3rd Avenue,3,0.5999124843937018,0.019144943249988926
19,3rd Avenue,3,0.6283181127072653,0.11776338584026776
20,3rd Avenue,3,0.576949004552339,0.07482406392024901
21,3rd Avenue,3,0.5714980262414993,0.04960291237899319
22,3rd Avenue,3,0.6189836555669849,0.07928776917796256
23,3rd Avenue,3,0.4813219449965011,0.05372074172894971
24,3rd Avenue,2,0.4070657535099789,0.06457279789427729
25,3rd Avenue,3,0.49109369894720906,0.036415613276762904
26,East 34th Street,7,0.49835327233070476,0.10442348622080476
27,East 34th Street,6,0.6754106879191779,0.05085254854606979
28,East 34th Street,6,0.5310336899982723,0.0878356296813604
29,East 34th Street,9,0.6492086332094227,0.05595225229317927
30,East 34th Street,2,0.508822847322955,0.01814336085112664
31,East 34th Street,7,0.5776948352847503,0.057754113941949264
32,East 35th Street,6,0.5095758377586691,0.05965920831086694
33,East 35th Street,6,0.699543440100154,0.08725472679093776
34,East 35th Street,7,0.6411681286809936,0.10037112743244472
35,East 35th Street,3,0.5138547404168973,0.024797537972818164
36,East 35th Street,6,0.5668080275257134,0.05416073569196527
37,East 35th Street,2,0.46341035625468596,0.014996503748794814
38,East 35th Street,1,0.609589950461961,
39,East 36th Street,6,0.5658072331947711,0.06900764856810244
40,East 36th Street,6,0.6678315152039844,0.0736984331789671
41,East 36th Street,7,0.5148322774816044,0.09820485788129071
42,East 36th Street,9,0.4680802464665869,0.06131382324060168
43,East 36th Street,1,0.596691691085012,
44,East 36th Street,5,0.6120636819838139,0.04025326170756238
45,East 37th Street,6,0.6035403118612971,0.07019546686202605
46,East 37th Street,6,0.6616374470212141,0.09835894228624413
47,East 37th Street,7,0.5703067930086964,0.09470721455265917
48,East 37th Street,2,0.41464900382339903,0.0179271379170836
49,East 37th Street,5,0.5612455358689461,0.14688058192672926
50,East 37th Street,3,0.677122823997311,0.051337923522409644
51,East 38th Street,6,0.5878891699094333,0.10432070483435028
52,East 38th Street,6,0.5530858616618494,0.053958557806651035
53,East 38th Street,6,0.6828342759683351,0.13467652973030447
54,East 38th Street,3,0.6022649599929837,0.04612091627681656
55,East 38th Street,5,0.6287028993907103,0.11433455433106736
56,East 38th Street,2,0.591331301379104,0.005336122005163826
57,East 38th Street,6,0.5282267529502456,0.0659937115051444
58,East 39th Street,7,0.512860620559439,0.07019690471591064
59,East 39th Street,6,0.5893457747345957,0.11315869984916549
60,East 39th Street,6,0.5990394031956944,0.1213870139173118
61,East 39th Street,3,0.5593492749694907,0.13483430419648182
